अफ्रीका	Afrika
कराइना तारामण्डल	Kölen (stjärnbild)
डेभिड बेक्ह्याम	David Beckham
गर्डन ब्राउन	Gordon Brown
आवर्त सारणी	Periodiska systemet
आत्महत्या	Självmord
ड्वेन जोनसन ‘रक’	Dwayne Johnson
सुँगुर	Svin
सरीसृप	Kräldjur
यौन खेलौना	Sexuella hjälpmedel
ढुकुर	Duvor
अन्धोपन	Blindhet
जीवाणु	Bakterier
रूख	Träd
क्रान्ति	Revolution
अङ्गूर	Druva
मह	Honung
मासु	Kött
टाइगर वुड्स	Tiger Woods
आलु	Potatis
भटमास	Sojaböna
रोबोट	Robot
प्रविधि	Teknologi
इन्जिनियरिङ	Ingenjörsvetenskap
सञ्चार	Kommunikation
सूचना	Information
पत्रकारिता	Journalistik
समाचार पत्र	Tidning
टेलिफोन	Telefon
द रोलिङ्ग स्टोन्स	The Rolling Stones
संस्कृति	Kultur
संस्कृत	Sanskrit
अल्जाइमर	Alzheimers sjukdom
पार्किनसन	Parkinsons sjukdom
विधायिका	Lagstiftande församling
अंकगणित	Aritmetik
विन्डोज ७	Windows 7
प्रतिशत	Procent
नून	Salt
फिडेल कास्ट्रो	Fidel Castro
माइक्रोसफ्ट एक्सल	Microsoft Excel
रसायनिक तत्व	Grundämne
कोण	Vinkel
कार्बोहाइड्रेट	Kolhydrat
आर्यभट	Aryabhata
हर्मोन	Hormon
युनिक्स	Unix
इन्टरनेट सेवा प्रदायक	Internetleverantör
प्रवेग	Acceleration
शिव	Shiva
ऊर्जा	Energi
विष्णु	Vishnu
विद्युतचुम्बकीय विकिरण	Elektromagnetisk strålning
ब्रह्मा	Brahma
रक संगीत	Rockmusik
बल	Kraft
चुम्बकीय क्षेत्र	Magnetfält
गुरुत्व बल	Gravitation
जुडो	Judo
चुम्बक	Magnet
खेलौना	Leksak
पिण्ड	Massa
चलचित्र	Film
धातु	Metall
नाभिकीय विखण्डन	Fission
ग्यास	Gas
तरल	Vätska
ठोस	Fast form
साईकल	Cykel
पानी जहाज	Skepp
कृषि	Jordbruk
कपास	Bomull
सेरेना विलियम्स	Serena Williams
ध्वनि	Ljud
हलो	Plog
गति	Hastighet
तापक्रम	Temperatur
समय	Tid
कागज	Papper
क्षेत्रफल	Area
पाइथागोरस साध्य	Pythagoras sats
अंक	Tal
क्रिष्टियानो रोनाल्डो	Cristiano Ronaldo
मिटर	Meter
मकै	Majs
जौ	Korn
केल्भिन	Kelvin
इकर क्यासिलास	Iker Casillas
नृत्य	Dans
निर्भाना	Nirvana (musikgrupp)
इलेक्ट्रोनिक्स	Elektronik
विद्युत धारा	Elektrisk ström
डायोड	Diod
सूचना प्रविधि	Informationsteknik
मौसम	Väder
मारिया सारापोभा	Marija Sjarapova
शेयर	Aktie
लाहोर	Lahore
सार्वभौम सम्पन्न राष्ट्रहरूको सूची	Lista över självständiga stater
पाषाण युग	Stenåldern
कांस्य युग	Bronsåldern
लौह युग	Järnåldern
भालु	Björnar
जोन एडम्स	John Adams
थोमस जेफर्सन	Thomas Jefferson
जेम्स म्याडिसन	James Madison
जेम्स मुनरो	James Monroe
जोन क्विन्से एडम्स	John Quincy Adams
एन्ड्रयु ज्याक्सन	Andrew Jackson
मार्टिन भान बरेन	Martin Van Buren
राजकोट	Rajkot
जूनागढ	Junagadh
विलियम हेनरी ह्यारिसन	William Henry Harrison
जोन टेलर	John Tyler
जेम्स के. पोल्क	James K. Polk
गन एन’ रोजेज	Guns N' Roses
ज्याचरी टेलर	Zachary Taylor
वदोदरा	Vadodara
माइकल बालाक	Michael Ballack
ब्रिट्नी स्पेयर्स	Britney Spears
पाचन प्रणाली	Matspjälkning
प्रकाश संश्लेषण	Fotosyntes
प्रजनन (पुनरुत्पादन)	Fortplantning
गर्भावस्था	Graviditet
सल्ला	Tallsläktet
क्यान्सर	Cancer
हैजा	Kolera
राजा	Kung
तरवारबाजी	Fäktsport
गहुँ	Vetesläktet
सन् २०४०	2040
सन् २०३९	2039
सन् २०३८	2038
सन् २०३७	2037
रुघा खोकी	Förkylning
सन् २०३५	2035
पात्रो	Kalender
बहिरोपना	Dövhet
मानसिक रोग	Psykisk störning
रोग	Sjukdom
ग्रेगोरियन क्यालेण्डर	Gregorianska kalendern
स्वस्थ	Hälsa
औलो	Malaria
कुपोषण	Näringsbrist
मोटोपन	Fetma
मित्र तारा	Alfa Centauri
एन्टिबायोटिक	Antibiotikum
अगस्ति तारा	Canopus
न्युमोनिया	Lunginflammation
एड्स	Aids
क्षयरोग	Tuberkulos
मधुमेह	Diabetes
ढाँचा:Location map Sweden	Mall:Kartposition Sverige
ढाँचा:Location map United Kingdom	Mall:Kartposition Storbritannien
ढाँचा:Location map Belgium	Mall:Kartposition Belgien
ढाँचा:Location map Italy	Mall:Kartposition Italien
ढाँचा:Location map Poland	Mall:Kartposition Polen
पुल	Bro
नहर	Kanal
ढाँचा:Location map Croatia	Mall:Kartposition Kroatien
ढाँचा:Location map Greece	Mall:Kartposition Grekland
मिलार्ड फिलमोर	Millard Fillmore
फ्र्यांकलिन पार्स	Franklin Pierce
बाँध	Dammbyggnad
जेम्स बुकानान	James Buchanan
ढाँचा:Location map Jordan	Mall:Kartposition Jordanien
ढाँचा:Location map Iraq	Mall:Kartposition Irak
ढाँचा:Location map India	Mall:Kartposition Indien
ढाँचा:Location map Bangladesh	Mall:Kartposition Bangladesh
ढाँचा:Location map Japan	Mall:Kartposition Japan
ढाँचा:Location map Australia	Mall:Kartposition Australien
ढाँचा:Location map New Zealand	Mall:Kartposition Nya Zeeland
ढाँचा:Location map Colombia	Mall:Kartposition Colombia
मोना लिजा	Mona Lisa
नाप	Mätning
तथ्याङ्क	Statistik
बुर्ज खलिफा	Burj Khalifa
चीनको विशाल पर्खाल	Kinesiska muren
ह्यागिया सोफिया	Hagia Sofia
भर्याङ्ग	Trappa
ल्याटिन अमेरिका	Latinamerika
कुल घरेलु उत्पादन	Bruttonationalprodukt
बेडेन पावेल	Robert Baden-Powell
जाँ जोर	Jean Jaurès
नविकरणीय उर्जा	Förnybara energikällor
म्याक्सिम गोर्की	Maksim Gorkij
जीवावशेष ऊर्जा	Fossila bränslen
वाष्प इन्जिन	Ångmaskin
सन् २०३४	2034
सन् २०३३	2033
सन् २०३२	2032
सन् २०३१	2031
सन् २०३०	2030
परमाणु बम	Kärnvapen
सन् २०२९	2029
सन् २०२८	2028
सन् २०२७	2027
बारूद	Krut
विस्फोटक	Sprängämne
पाउलो कोहेल्हो	Paulo Coelho
पेले	Pelé
वास्तविक सङ्ख्या	Reella tal
स्वाति तारा	Arcturus
प्रस्वा तारा	Procyon
नाभिकीय संलयन	Fusion
मिसेल ओबामा	Michelle Obama
वर्डप्रेस	Wordpress
जूमला	Joomla
कालो ऐँसेलु	Björnbär
लिची	Litchi
किसमिस	Russin
नरिवल	Kokospalm
दारिम	Granatäpple
आरू	Persika
ठेकीफल	Kiwi
रोमानी	Romani
सिन्हाला भाषा	Singalesiska
केक	Kaka
दही	Yoghurt
डेबिट कार्ड	Kontokort
ढाँचा:Location map Canada	Mall:Kartposition Kanada
ढाँचा:Location map Earth	Mall:Kartposition Världen
ल्वाङकसानी	Underblomma
ब्रेसियर	Behå
एन्जेलिना जोली	Angelina Jolie
मेरो सानु साथी	XO (dator)
अरबी भाषा	Arabiska
कण्डम	Kondom
खजुर	Palmer
विकिनी	Bikini
प्रधानमन्त्री	Premiärminister
इन्टरनेट शीर्षस्तर क्षेत्राधिकार	Toppdomän
उल्लू नीहारिका	Ugglenebulosan
सन माइक्रो सिस्टमस्	Sun Microsystems
सिसाकलम	Blyertspenna
घर भँगेरा	Gråsparv
मकाउ	Macao
बगलिस	Skohorn
हु जिन्ताओ	Hu Jintao
सि जिनपिङ	Xi Jinping
जिराफ	Giraff
ओठ	Läpp
सोभियत संघ	Sovjetunionen
आदिलाबाद जिल्ला	Adilabad (distrikt)
द लर्ड अफ द रिङ्ग्स	Sagan om ringen
नगरपालिका	Kommun
क्यामरा	Kamera
लिल व्यान	Lil Wayne
सि	C (programspråk)
एचआइभी	HIV
पाइताला	Fot
छेपारो	Ödlor
एमी वाइनहाउस	Amy Winehouse
मेटालिका	Metallica
क्यानी वेस्ट	Kanye West
शार्ल लुई मोन्टेस्क्ये	Charles-Louis de Secondat Montesquieu
काँध	Axel (kroppsdel)
ब्रुस ली	Bruce Lee
थाइरोइड	Sköldkörtel
ढाँचा:Link FA	Mall:Link FA
हाइपरथाइरोडिजम	Giftstruma
हाइपोथाइरोडिजम	Hypotyreos
विश्व	Världen
विकिपीडिया:चौतारी	Wikipedia:Bybrunnen
कमल	Indisk lotus
भर्मांट	Vermont
सान होसे,क्यालिफोर्निया	San Jose, Kalifornien
ह्युस्टन	Houston
जियाङ जेमिन	Jiang Zemin
वेन जियाबाओ	Wen Jiabao
ग्वाम	Guam
अमेरिकी सामोआ	Amerikanska Samoa
अस्पताल	Sjukhus
गिर्जाघर	Kyrka
ग्वाडलप	Guadeloupe
ओकल्याण्ड	Oakland
ब्याकस्ट्रीट ब्वाईज	Backstreet Boys
कार्लोस पुयोल	Carles Puyol
तिब्बत	Tibet
वृत	Cirkel
चौधौं दलाई लामा	Tenzin Gyatso
वैश्विक डाक संघ	Världspostföreningen
जावी हर्नान्डेज	Xavi
जेरार्ड पिके	Gerard Piqué
जोसे म्यानुअल पिन्टो	José Manuel Pinto
डिएगो म्याराडोना	Diego Maradona
मोबाइल फोन	Mobiltelefoni
अनुशेह अन्सारी	Anousheh Ansari
अस्ट्रिच	Struts
स्टिफन हकिङ	Stephen Hawking
अरागत्सोत्न प्रान्त	Aragatsotn
कोरिया	Korea
सन् १९२५	1925
सन् १९२७	1927
ली कच्याङ	Li Keqiang
म्यानचेस्टर	Manchester
जु रोङजी	Zhu Rongji
ई.पू. १०००	1000
ई.पू. ९९९	999
ब्वाँसो	Varg
भकुण्डो	Boll
सन् १९५५	1955
सन् १९५४	1954
सन् १९५३	1953
सन् १९५१	1951
सन् १९५०	1950
सन् १९४६	1946
सन् १९४३	1943
सन् १९४२	1942
सन् १९४०	1940
सन् १९३९	1939
सन् १९३८	1938
सन् १९३७	1937
सन् १९३६	1936
म्यानचेष्टर यूनाइटेड (फुटबल क्लब)	Manchester United FC
१९३५	1935
सन् १९३४	1934
न्युक्यासल युनाइटेड फुटबल क्लब	Newcastle United FC
सन् १९३३	1933
सन् १९३२	1932
टाडी निरबिरालो	Indisk palmmård
सन् १९३१	1931
सन् १९३०	1930
बकुल्लो	Hägrar
सन् १९२९	1929
फ्रान्स मेरिङ	Franz Mehring
प्योङ्गयाङ्ग	Pyongyang
नयाँ करार	Nya Testamentet
जेस्सी जे	Jessie J
गंगाचीलठुँडे फ्यालफ्याले	Sandtärna
फुस्रे सर्षपी	Kustpipare
सानो गट्टेबट्टाई	Springhöna
वन सुड्सुडिया	Grönbena
टिमटिमा	Gluttsnäppa
मलगुझा	Rödspov
बगाले सिमकुखुरा	Rörhöna
चञ्चले सुड्सुडिया	Drillsnäppa
लघु राजपुत्रिका	Mindre strandpipare
आँसीठुँडे	Storspov
अलकचन्द्र राजपुत्रिका	Svartbent strandpipare
फालीठुँडे सुड्सुडिया	Tereksnäppa
बडा राजपुत्रिका	Ökenpipare
सानो आँसीठुँडे	Småspov
लालखुट्टे टिमटिमा	Rödbena
जलअप्सरा	Fasanjaçana
प्रशान्त सर्षपी	Sibirisk tundrapipare
वायु फ्यालफ्याले	Fisktärna
ओस्कार	Oscar
प्रोक्यारियोटिक कोशिका	Prokaryoter
ओसामा बिन लादेन को अन्त्य	Operation Neptune Spear
सह-सेनानी	Kapten
शक्ति (देवी)	Shakti
बिच्छी	Skorpioner
जर्ज बर्नाड शा	George Bernard Shaw
चेस्टर बेनिंगटन	Chester Bennington
ई.पू. १०१८	1018
ई.पू. १०२०	1020
ई.पू. १०२१	1021
ई.पू. १०२२	1022
ई.पू. १०२३	1023
ई.पू. १०२४	1024
ई.पू. १०२५	1025
फुटबल विश्वकप	Världsmästerskapet i fotboll
ई.पू. १०३३	1033
ई.पू. १०७५	1075
पोडोल्स्क	Podolsk
अधातु	Icke-metall
५	5
३	3
महारानी	Drottning
२	2
बुखारेस्ट	Bukarest
लुभ्र दरवार	Louvren
पुएर्टो रिको स्वातन्त्र पार्टी	Puertoricanska självständighetspartiet
टिराना	Tirana
सन् १९२८	1928
सन् ६	6
पुरानो करार	Gamla Testamentet
क्रिसमस	Jul
त्रिभुज	Triangel
स्टिभ जब्स	Steve Jobs
लेडी गागा	Lady Gaga
भारोपेली भाषा परिवार	Indoeuropeiska språk
कर्णेल मुअम्मर गद्दाफी	Muammar al-Gaddafi
बाघ	Tiger
लण्डन अण्डरग्राउण्ड	Londons tunnelbana
भिल्हेल्म लिबक्नेख्त	Wilhelm Liebknecht
साई	Psy
सामसुङ	Samsung
कुकुरका प्रजातीहरू	Alfabetisk lista över hundraser
कम्प्युटर विज्ञान	Datavetenskap
प्राकृतिक सङ्ख्या	Naturliga tal
समाजशास्त्र	Sociologi
अरुबा	Aruba
अन्तर्राष्ट्रीय ध्वन्यात्मक लिपि	Internationella fonetiska alfabetet
ओडिशा	Odisha
पञ्जाब (भारत)	Punjab (Indien)
खनिज तेल	Petroleum
भौगोलिक निर्देशाङ्क प्रणाली	Geografiska koordinatsystem
यूरोकप २०१२	Europamästerskapet i fotboll 2012
बैंक	Bank
जनसंख्या घनत्व	Befolkningstäthet
सन् १	1
१०	10
एड्ली (गायिका)	Adele (sångare)
गोफ विट्ल्याम	Gough Whitlam
सन् ९	9
एडमण्ड बार्टन	Edmund Barton
७	7
कृस वाट्सन	Chris Watson
सन् ८	8
स्टेन्ली ब्रुस	Stanley Bruce
१२	12
बेन चिफ्ली	Ben Chifley
हप्ता	Vecka
हरिण	Hjortdjur
बरफ	Is
लसुन	Vitlök
रातो सागर	Röda havet
बोउभेट टापु	Bouvetön
ई.पू. ९३०	930
१३	13
ई.पू. ९८५	985
ई.पू. ९८१	981
ई.पू. ९३९	939
काँक्रो	Gurka
उलानबटोर	Ulan Bator
अर्नेस्ट हेमिङ्वे	Ernest Hemingway
सेतो	Vit
कालो	Svart
ई.पू. ९५०	950
ई.पू. ९९६	996
ई.पू. ९८०	980
ई.पू. ९८६	988
प्याज	Lök (art)
पुरातत्त्वशास्त्र	Arkeologi
गोलभेडा	Tomat
जर्ज एच डब्लु बुश	George H.W. Bush
सन् ११	11
भूमध्य रेखा(भूगोल)	Ekvator
नासा	NASA
हाउस (टेलिभिजन श्रृङ्खला)	House (TV-serie)
ई.पू. ९६३	963
ई.पू. ९६२	962
ई.पू. ९९७	997
ई.पू. ९७२	972
ई.पू. ९५५	955
ई.पू. ९३६	936
ई.पू. ९५३	953
ई.पू. ९५८	958
सन् ९०३	903
बर्मुडा	Bermuda
ई.पू. ९८७	987
ई.पू. ९६५	965
ई.पू. ९२४	924
ई.पू. ९५१	951
ई.पू. ९३२	932
बेलायत	Storbritannien (ö)
जिम्मी कार्टर	Jimmy Carter
राष्ट्रगान	Nationalsång
ई.पू. ९६७	967
ई.पू. ९८९	989
ई.पू. ९६०	960
ई.पू. ९६९	969
ई.पू. ९५७	957
ई.पू. ९७१	971
ई.पू. ९३७	937
ई.पू. ९९२	992
ई.पू. ९९०	990
ई.पू. ९७५	975
ई.पू. ९४२	942
ई.पू. ९६६	966
ई.पू. ९७३	973
चुनढुङ्गा	Kalksten
रोवान एटकिनसन	Rowan Atkinson
ई.पू. ९८२	982
ई.पू. ९७४	974
ई.पू. ९७६	976
ई.पू. ९७९	979
ई.पू. ९९८	998
प्यालेस्टाइन	Palestina
ई.पू. ९९५	995
ई.पू. ९७७	977
ई.पू. ९३४	934
परमाणु क्रमांक	Atomnummer
अल्फ्रेड नोबेल	Alfred Nobel
ई.पू. ९४०	940
काइँयो	Kam
ई.पू. ९८४	984
ई.पू. ९५४	954
ई.पू. ९६१	961
एन्ड्र्यु गारफिल्ड	Andrew Garfield
ई.पू. ९४६	946
ई.पू. ९६८	968
ई.पू. ९८३	983
ई.पू. ९६४	964
ई.पू. ९७०	970
ई.पू. ९९१	991
ई.पू. ९९४	994
ई.पू. ९४४	944
ई.पू. ९४३	943
ई.पू. ९४१	941
ई.पू. ९४८	948
ई.पू. ९४७	947
ई.पू. ९४९	949
ऋतु	Årstid
ई.पू. ९३८	938
लिभरपुल	Liverpool
वर्तिका भारद्वाज	Korttålärka
अवतार (२००९ चलचित्र)	Avatar (film)
किराँत	Kirat
लाटोकोसेरो	Ugglor
नेदरल्याण्डस एन्टिलस	Nederländska Antillerna
एन्गुला	Anguilla
गुर्न्जी	Guernsey
केराउ	Ärt
सउर	Björkar
सन् २०१६	2016
फाप्रे चरा	Härfågel
अन्तर्राष्ट्रिय अन्तरिक्ष स्टेशन	Internationella rymdstationen
उप्साला	Uppsala
सन् २०१७	2017
सन् २०१८	2018
छोकडाको बोट	Dadelpalm
भाषा परिवार	Språkfamilj
ई.पू. २	2 f.Kr.
ई.पू. १	1 f.Kr.
सुनगाभा	Orkidéer
साङ्ला	Kackerlackor
झिँगा	Tvåvingar
फूल फुल्ने वनस्पति	Gömfröväxter
गोठे लाटोकोसेरो	Tornuggla
पाँचथोप्ले खपटे कीरा	Nyckelpigor
मलाहा चील	Fiskgjuse
सन् २०२०	2020
बहुरुपी मलसाँप्रो	Hermelin
हरियो टाउके	Gräsand
बलाकांक्ष वनबाज	Duvhök
ई.पू. १२३	123 f.Kr.
ई.पू. २३४	234 f.Kr.
मरुल	Sothöna
खैरो गौंथली	Tornseglare
वनबाज	Sparvhök
चित्रकचरी	Bofink
लामकाने लाटोकोसेरो	Hornuggla
श्येनबाज	Ormvråk
जुरे हुटिट्याउँ	Tofsvipa
सालक	Myrkottar
कालो गरुड	Svart stork
सेतो टिकटिके	Sädesärla
रक्तमुहार पीतचरी	Steglits
डुबुल्कीचरा	Skäggdopping
ई.पू. ३४५	345 f.Kr.
केशर	Saffran
कङ्कम चील	Havsörn
सुइरोपुच्छ्रे	Stjärtand
ई.पू. ४५६	456 f.Kr.
चल्लाचोर भुइँचील	Blå kärrhök
महाराज हंस	Sångsvan
कालोटाउके गंगाचील	Skrattmås
श्वेताँखीभौं	Årta
खरलाहाँचे	Göktyta
पानी चाहा	Enkelbeckasin
विजुलागैरी	Kricka
कैलो पहाडी उल्लू	Kattuggla
लालठुँडे चखेवा	Gravand
लघुकर्ण लाटोकोसेरो	Jorduggla
जुंगे चिरान्तक बाज	Lärkfalk
कलहाँस	Grågås
खडखडे हाँस	Snatterand
सिपी चरा	Strandskata
बेल्चाठुँडे हाँस	Skedand
रूख भँगेरा	Pilfink
पहेंलो टिकटिके	Gulärla
ठूलो वनपरेवा	Ringduva
खैरोटाउके गंगाचील	Brunhuvad mås
लघु फ्यालफ्याले	Småtärna
हन्ना हार्पर	Hanna Harper
ठूलो चाहा	Morkulla
हलीमुख	Skärfläcka
सुन बगेडी	Gulsparv
कोइली	Gökar
राजसुड्सुडिया	Brushane
मिउ गंगाचील	Fiskmås
सिम भुइँचील	Brun kärrhök
कालीजुरे हाँस	Vigg
सिन्दुरे हाँस	Bläsand
बौंडाई	Tornfalk
बूढो मान्छे र समुद्र	Den gamle och havet
लुइस स्वारेज	Luis Suárez
उपग्रह	Satellit
याक	Jak
मोन्टागु भुइँचील	Ängshök
लामपुच्छ्रे हाँस	Alfågel
टुन्ड्रा राजहंस	Mindre sångsvan
कालोटाउके हाँस	Bergand
तितेपाती	Gråbo
गोभण्डीर चाहा	Dvärgbeckasin
भाङ	Hampa
हम्पी	Hampi
ल्वाङको बोट	Kryddnejlika
कैलोटाउके हाँस	Brunand
ओथेलो	Othello
टेलर स्विफ्ट	Taylor Swift
बगर ज्यामी	Roskarl
सेतोजुंगे बगेडी	Sävsparv
जुरे भारद्वाज	Tofslärka
कुक टापु	Cooköarna
चम्सुर	Smörgåskrasse
रातो जलरङ्क	Kustsnäppa
केकरा फ्यालफ्याले	Skräntärna
धूलिका चुइयाँ	Fältpiplärka
परीक्षा	Prov (diagnostiskt test)
हिमाली मलसाँप्रो	Stenmård
एसी/डीसी	AC/DC
मिखाइल बाकुनिन	Michail Bakunin
दर्शनको इतिहास	Filosofins historia
जंगली घोडा	Vildhäst
थोप्ले टिमटिमा	Svartsnäppa
दालचिनी	Kanel
मसिनोठुँडे टिमटिमा	Dammsnäppa
बट्टाई	Vaktel
कुरिलो	Sparris
चमेरो	Fladdermöss
रूख सुड्सुडिया	Skogssnäppa
कपाल	Hår
कुरारी फ्यालफ्याले	Indisk flodtärna
एंगोला जनमुक्ति आंदोलन - श्रम दल	MPLA
युनिता	Unita
प्याराडाइज लस्ट	Det förlorade paradiset
फिल्ड पुरस्कार	Fieldsmedaljen
पाइथन प्रोग्रामिङ्ग भाषा	Python (programspråk)
इस्लामी क्यालेण्डर	Muslimska kalendern
भँगेरा	Sparvfinkar
अ पकेट फुल अफ राइ	En ficka full med råg
असमिया	Assamesiska
गुणकेशरी	Narcissläktet
हलुवावेद	Persimon
सिमाली	Vitex trifolia
माइकल क्यारिक	Michael Carrick
वाइ-फाई	Wi-Fi
स्वर्णनयन हाँस	Knipa
सोली	Tratt
कालो ओत	Utter
ई.पू. ९५६	956
ई.पू. ९५२	952
जेली फिस	Medusa (zoologi)
महापौर	Borgmästare
हिउँ चितुवा	Snöleopard
ई.पू. ९७८	978
एभ्रिल लेभिन्ज	Avril Lavigne
राष्ट्रपति	President
मदर टेरेसा	Moder Teresa
टेरा प्याट्रिक	Tera Patrick
एना इभानोभिक	Ana Ivanović
जालना	Jalna
ब्लग	Blogg
डेल	Dell
डेङ्गु	Denguefeber
धतुरो	Spikklubba
नरफक टापू	Norfolkön
क्रिसमस टापु	Julön
क्यालकुलेटर	Miniräknare
एली गोल्डिङ	Ellie Goulding
भाइ	Syskon
सुगा	Papegojfåglar
चित्राङ्गड	Rallbeckasin
फिरफिरे घरगौंथली	Husseglare
सेतोकण्ठे गौंथली	Nordlig taggstjärtseglare
थाकल गौंथली	Asiatisk palmseglare
काष्ठकुट	Isabellaspett
पुच्छरकापे गौंथली	Orientseglare
नीलपुच्छ्रे मुरलीचरा	Blåstjärtad biätare
पौडी (खेल)	Tävlingssimning
गुलाब जामुन	Rosenäpple
लामपुच्छ्रे चैतेचरा	Bredstjärtad nattskärra
वसन्त चरा	Blåörad barbett
नीलटाउके माटीकोरे	Menintingkungsfiskare
अन्तरराष्ट्रिय प्रकृति संरक्षण संघको रातो सूची	Rödlistning
मेष राशि	Väduren (stjärntecken)
मुक्केबाजी	Boxning
मलाला युसफजई	Malala Yousafzai
मेनफ्रेम कम्प्युटर	Mikrodator
संवैधानिक अदालत	Författningsdomstol
जेब्रा	Zebror
मस्जिद	Moské
एकन	Akon
जोङ्खा भाषा	Dzongkha
ड्रेक (गायक)	Drake (artist)
भोजपुरी भाषा	Bhojpuri
मुगल साम्राज्य	Mogulriket
सीकर	Sikar
जलंधर	Jalandhar
हुबली	Hubballi-Dharwad
सेतो गिद्ध	Smutsgam
संग्रहालय	Museum
पाण्डा	Jättepanda
केशा (गायिका)	Kesha
कन्नड भाषा	Kannada
बर्टेण्ड रसेल	Bertrand Russell
अरब क्रान्ति	Arabiska våren
हात	Hand
डु फु	Du Fu
एडमण्ड हिलारी	Edmund Hillary
नेपाली भाषा	Nepali
जनसंख्या	Befolkning
थियोडोर रूजवेल्ट	Theodore Roosevelt
मणिपुरी भाषा	Meitei
उलरू	Uluru
कागते घाँस	Västindiskt citrongräs
चेकोस्लोभाकिया	Tjeckoslovakien
नेपाल भाषा	Newari
अभिनेता	Skådespelare
हलिउड	Hollywood
काजु	Cashew
अक्षांश	Latitud
जस्टिन बीबर	Justin Bieber
चरेस	Brons
होस्नी मुबारक	Hosni Mubarak
नौनी	Smör
जिउस	Zeus
नायगरा फल्स	Niagarafallen
सांकेतिक भाषा	Teckenspråk
तिब्बती भाषा	Tibetanska
अलेक्ज्याण्डर ग्राहम बेल	Alexander Graham Bell
ज्योतिष	Astrologi
ट्याज्मानिया	Tasmanien
राजहंस	Svanar
विटनी हृयूस्टन	Whitney Houston
साबुन	Tvål
बेनजिर भुट्टो	Benazir Bhutto
सकिरा	Shakira
अक्सफोर्ड विश्वविद्यालय	Oxfords universitet
सडक	Väg
गेनिथ पाल्ट्रो	Gwyneth Paltrow
सघन चक्र	CD
हिरोहितो	Hirohito
हेलिकोप्टर	Helikopter
अल कायदा	Al-Qaida
मोटरसाइकल	Motorcykel
जे.के. रोलिङ	J.K. Rowling
गुलाफ	Rossläktet
कम्पास	Kompass
फ्रेडरिक एंगेल्स	Friedrich Engels
नयाँ वर्ष	Nyår
क्याथरिन बिगलो	Kathryn Bigelow
एलिजाबेथ टेलर	Elizabeth Taylor
मेवा	Papaya
ब्रिसबेन	Brisbane
भिटामिन	Vitamin
अमेरिकाका राष्ट्रपतिह‍रूको सूची	Lista över USA:s presidenter
वेबसाईट	Webbplats
दर्पण	Spegel
व्युत्पत्तिशास्त्र	Etymologi
ई.पू. ४४	44 f.Kr.
तत्त्वज्ञान	Metafysik
ब्राड पिट	Brad Pitt
टिटीकाका ताल	Titicacasjön
कोलम्बो	Colombo
एटी एन्ड टी	AT&T
एस्ली लङ्ग	Ashley Long
मदिना	Medina
एलिसिया रोडेस	Alicia Rhodes
ई.पू. २४२	242 f.Kr.
ई.पू. २४८	248 f.Kr.
ई.पू. २५८	258 f.Kr.
ई.पू. २५७	257 f.Kr.
ई.पू. २५३	253 f.Kr.
ह्वाइट हाउस	Vita huset
ई.पू. २४६	246 f.Kr.
ई.पू. २४५	245 f.Kr.
ई.पू. २४९	249 f.Kr.
ई.पू. २५२	252 f.Kr.
ई.पू. २४०	240 f.Kr.
ई.पू. २५४	254 f.Kr.
ई.पू. २५६	256 f.Kr.
यूरोपीय फुटबल संघहरुको संघ	Uefa
ई.पू. २५१	251 f.Kr.
ई.पू. २५०	250 f.Kr.
ई.पू. २४४	244 f.Kr.
ई.पू. २४३	243 f.Kr.
ई.पू. २५५	255 f.Kr.
शान्तिमा नोबेल पुरस्कार	Nobels fredspris
हिमनदी	Glaciär
एभी स्कट	Avy Scott
एन्नेट्टे स्क्वार्ज	Annette Schwarz
एभा डिभाइन	Ava Devine
निबन्ध	Essä
ई.पू. २४७	247 f.Kr.
क्याम्ब्रिज विश्वविद्यालय	Universitetet i Cambridge
खोकी	Hosta
दाउरा	Vedeldning
ई.पू. २५९	259 f.Kr.
बप्तिस्मा	Dop
डुङ्गा	Båt
इपिल	Leucaena leucocephala
कंगो	Kongo
एश्लिन ब्रुक	Ashlynn Brooke
एलेक्सिस टेक्सास	Alexis Texas
सौन्दर्यशास्त्र	Estetik
एरिया जिओभानी	Aria Giovanni
कोकोस टापु	Kokosöarna
पिस्ता	Pistasch
क्विन्सल्याण्ड	Queensland
मैथिली भाषा	Maithili
हसना फूल	Vit nattjasmin
ध्वाँसे चितुवा	Trädleopard
मिजो भाषा	Mizo (språk)
बेयोन्से नोल्स	Beyoncé Knowles
दुधे झार	Euphorbia hirta
ब्राम स्टोकर	Bram Stoker
लोककथा	Folklore
कोटेरो मुनियाँ	Fjällig munia
मार्क जुकरबर्ग	Mark Zuckerberg
मलयालम	Malayalam
एन्नी क्रुज	Annie Cruz
जीवनी	Biografi
रेसम मार्ग	Sidenvägen
इग्वासु झरना	Iguazúfallen
सपना	Dröm
मुसा	Råttor
राजनीति विज्ञान	Statsvetenskap
देशान्तर	Longitud
द लायन किंग	Lejonkungen
सहश्राब्दि	Millennium
फ्रान्सिस ड्रेक	Francis Drake
रासायनिक प्रतिक्रिया	Kemisk reaktion
चुल्हो	Ugn
वेश्यावृत्ति	Prostitution
भिक्टोरिया (अस्ट्रेलिया)	Victoria, Australien
पाली भाषा	Pali
