ஆப்பிரிக்கா	Afrika
குழாய்	Rör
ரோடொஸின் கொலோசஸ்	Kolossen på Rhodos
நிக்கோலா போசின்	Nicolas Poussin
பைங்குடில் விளைவு	Växthuseffekten
சோனிபத்	Sonipat
தூத்துக்குடி	Thoothukkudi
ஜூலியா கிலார்ட்	Julia Gillard
கால்-கை வலிப்பு	Epilepsi
பிஸ்கே விரிகுடா	Biscayabukten
கோக்கைன்	Kokain
ஆல்க்கேன்	Alkan
டேவிடு இல்பேர்ட்டு	David Hilbert
ஓமின் விதி	Ohms lag
ஹிந்துஸ்தான் டைம்ஸ்	Hindustan Times
குடை	Paraply
கொத்தமல்லி	Koriander
அரசியல்சட்ட முடியாட்சி	Konstitutionell monarki
லியூ சியாபோ	Liu Xiaobo
கைஃபா	Haifa
உளநிலைப் பகுப்பாய்வு	Psykoanalys
போனீசியா	Fenicien
வார்சா உடன்பாடு	Warszawapakten
இந்திய தேசியக் கொடி	Indiens flagga
வெப் மாஸ்டர்	Webbansvarig
கின்னஸ் உலக சாதனைகள்	Guinness Rekordbok
ஸ்டுவர்ட் தீவு	Stewart Island
பிரிகேடியர்	Brigadör
என்ட்ரிக் லொரன்சு	Hendrik Lorentz
பொன் விகிதம்	Gyllene snittet
கோவேறு கழுதை	Mula
கைதியின் குழப்பம்	Fångarnas dilemma
காஸ்ட்ரீஸ்	Castries
புஜியான் மாகாணம்	Fujian
இனக் குழு	Etnicitet
கருதுகோள்	Hypotes
விடுதலைக் கட்டுநர்	Frimureri
ஐரியக் கடல்	Irländska sjön
அக்கீலியஸ்	Akilles
ஜோசப் கோயபெல்ஸ்	Joseph Goebbels
நொதிப்பு	Jäsning
கிராம்	Gram
கேன்சஸ் நகரம் (மிசூரி)	Kansas City, Missouri
கலிமா	Shahadah
உயர் இரத்த அழுத்தம்	Hypertoni
முதலாம் ஜஸ்டினியன்	Justinianus I
விண்மீன்களிடை ஊடகம்	Interstellära mediet
மன்மோகன் சிங்	Manmohan Singh
றோசா பாக்ஸ்	Rosa Parks
பாபிலோனின் தொங்கு தோட்டம்	Babylons hängande trädgårdar
சிவப்பு பாண்டா	Kattbjörn
சிறீ ஜெயவர்தனபுர கோட்டை	Sri Jayawardenapura
ஆகு பெயர்	Metonymi
டெமோக்கிரட்டிசு	Demokritos
பன்னாட்டு அணுசக்தி முகமையகம்	Internationella atomenergiorganet
மியூசே ஆறு	Maas
பில்வாரா மாவட்டம்	Bhilwara (distrikt)
பூநாரை	Flamingoer
தாகித்தி	Tahiti
கறுப்புச் சாவு	Digerdöden
இறைமை	Suveränitet
அன்வர் சாதாத்	Anwar Sadat
கதீஜா	Khadidja
மேலியிக் அமிலம்	Maleinsyra
திருவெளிப்பாடு (நூல்)	Uppenbarelseboken
தீப்பாறை	Magmatisk bergart
கழுதைப்புலி	Hyenor
குட்பெலாஸ்	Maffiabröder
கிமு 399	399 f.Kr.
சுவான்சாங்	Xuanzang
கோபி பாலைவனம்	Gobiöknen
டென்செல் வாஷிங்டன்	Denzel Washington
ஒத்தசொல்	Synonym
அசன்	Asan
தோமசு திரான்சிட்ரோமர்	Tomas Tranströmer
குடியுரிமை	Medborgarskap
என்றி பெர்குசன்	Henri Bergson
குண்டி	Stjärt
கட்டில்	Säng
பக்கிங்காம் அரண்மனை	Buckingham Palace
விக் கட்சி (ஐக்கிய அமெரிக்கா)	Whigpartiet
ஏபெல் டாஸ்மான்	Abel Tasman
நீலத்திமிங்கிலம்	Blåval
ஆய்னான்	Hainan
மங்கள வார்த்தை செபம்	Ave Maria
கரவாஜியோ	Caravaggio
வேலை (இயற்பியல்)	Fysikaliskt arbete
பின்யின்	Pinyin
மெல் கிப்சன்	Mel Gibson
அரிவாள்	Skära
குருத்து ஞாயிறு	Palmsöndagen
ஆய்வு	Forskning
இரைபோசோம்	Ribosom
சல்லி புருதோம்	Sully Prudhomme
நீரியல்	Hydrologi
உரலி	Uniform Resource Locator
ஐரோப்பிய விண்வெளி நிறுவனம்	Europeiska rymdorganisationen
எசுப்பானியா தேசிய காற்பந்து அணி	Spaniens herrlandslag i fotboll
கூகிள் எர்த்	Google Earth
கற்குழம்பு	Magma
கோப்புப் பரிமாற்ற நெறிமுறை	File Transfer Protocol
பாரன்ஃகைட்	Grad Fahrenheit
மேப்பிள்	Lönnsläktet
மாறும் அளவுப் பகுப்பாய்வு	Variansanalys
களிமண்	Lera
இங்கிலாந்தின் முதலாம் ரிச்சார்ட்	Rikard I Lejonhjärta
கார்கீவ்	Charkiv
செபாஸ்டியன் வெட்டல்	Sebastian Vettel
கால்வாய் தீவுகள்	Kanalöarna
புன்னிலம்	Savann
கம்பளி	Ull
பி.டி.எவ்	Portable Document Format
கூம்பு	Kon
மாரஞ்ஞோ	Maranhão
பண்டைய ஆங்கிலம்	Fornengelska
கான் திரைப்பட விழா	Filmfestivalen i Cannes
நெபுலா	Nebulosa
அனைத்துலகத் தாய்மொழி நாள்	Internationella modersmålsdagen
அகிலத் தொடர் பாட்டை	Universal Serial Bus
கொக்கோ	Kakao
சீயோனிசம்	Sionism
வெண்குருதியணு	Vit blodkropp
மிகயில் ஷோலகவ்	Michail Sjolochov
ஆங்கிலேயர்	Engelsmän
ஏவோ மொராலெஸ்	Evo Morales
தாலிபான்	Taliban
செபீல்டு	Sheffield
தர்ரங் மாவட்டம்	Darrang
யார்க்	York
குறிக்கோளுரை	Valspråk
பெர்ள்	Perl
அயர்ன் மெய்டன்	Iron Maiden
மற்போர்	Brottning
கேட்டி பெர்ரி	Katy Perry
எரிமம்	Bränsle
எச். ஜி. வெல்ஸ்	H.G. Wells
நிலப்படவரைவியல்	Kartografi
கோல்பாரா மாவட்டம்	Goalpara (distrikt)
பவளத் தீவு	Atoll
மசாலாப் பொருள்	Krydda
சிந்துவெளி நாகரிகம்	Induskulturen
கரீம்கஞ்சு மாவட்டம்	Karimganj
தாமஸ் மோர்	Thomas More
விஸ்லவா சிம்போர்ஸ்கா	Wisława Szymborska
மஞ்சள் (மூலிகை)	Gurkmeja
இலாமா	Lama
ஜேம்ஸ் கேமரன்	James Cameron
கீரா நைட்லி	Keira Knightley
எம்பி3	MP3
இணைச் சட்டம் (நூல்)	Femte Moseboken
பலத்தீன தேசிய ஆணையம்	Palestinska myndigheten
கலப்பினம்	Hybrid (biologi)
காட்டுப்பூனை	Djungelkatt
எருமை (கால்நடை)	Vattenbuffel
ஒலிம்பியா, வாஷிங்டன்	Olympia, Washington
ஹான் சீனர்	Hankineser
லக்கீம்பூர் மாவட்டம்	Lakhimpur
முஜாஹிதீன்	Mujaheddin
உயிர்க்கோளம்	Biosfär
ஆட்ரி ஹெப்பர்ன்	Audrey Hepburn
போரோபுதூர்	Borobudur
பெலோ அரிசாஞ்ச்	Belo Horizonte
தாடி	Skägg
லே ஆவர்	Le Havre
மடோ குரோசோ	Mato Grosso
முதலாம் கிரகோரி (திருத்தந்தை)	Gregorius I
லீப் எரிக்சன்	Leif Eriksson
பெரும் மனத் தளர்ச்சிச் சீர்குலைவு	Depression
தரவு	Data (representation)
அப்துல்லா குல்	Abdullah Gül
இறைவாக்கினர்	Profet
பட்டம்	Drake (leksak)
நிக்கோலஸ் கேஜ்	Nicolas Cage
முதலாம் கிளமெண்ட் (திருத்தந்தை)	Clemens I
வண்டி	Fordon
கேசுதிகிலியோன்	Castiglione delle Stiviere
கிருட்டிணன்	Krishna
செய்தியாளர்	Reporter
மரபணு திடீர்மாற்றம்	Mutation
கியூபிசம்	Kubism
திராயன் போர்	Trojanska kriget
ஆக்ரா	Agra
ஐரோப்பிய அணு ஆராய்ச்சி நிறுவனம்	CERN
மதில்	Mur
எண்ணெய்	Olja
பருவப் பெயர்ச்சிக் காற்று	Monsun
பன்னாட்டு மன்னிப்பு அவை	Amnesty International
கட்டடக் கலைஞர்	Arkitekt
அக்டோபர் புரட்சி	Oktoberrevolutionen
பேசிக் (நிரல் மொழி)	BASIC
ஒவ்வாமை	Allergi
இவான் பாவ்லோவ்	Ivan Pavlov
இடவியல்	Topologi
கோல்டா மேயர்	Golda Meir
1600கள்	1600-talet (decennium)
சேர்ந்திசை	Orkester
பச்சை குத்துதல்	Tatuering
குவார்ட்சு	Kvarts
அட்டை	Iglar
நிதியியல்	Finans
ஆர்ட்டெமிஸ் கோயில்	Artemistemplet i Efesos
குறுஞ் செய்திகள்	Short Message Service
எட்வின் ஹபிள்	Edwin Hubble
டெசுமான்ட் டுட்டு	Desmond Tutu
மின்பொறியியல்	Elektroteknik
ஜார்ஜ் புஷ்	George Bush
குருதிவளிக்காவி	Hemoglobin
டெமி மூர்	Demi Moore
பேம்பி	Bambi (film)
நரம்பணு	Nervcell
அச்சு நாடுகள்	Axelmakterna
வறட்சி	Torka
பிரான்ஸ் பேர்டினண்ட்	Franz Ferdinand
ஹைன்ரிச் ஹிம்லர்	Heinrich Himmler
தோனெத்ஸ்க்	Donetsk
மிளகு	Pepparplanta
மாணிக்கம்	Rubin
எண்ணிக்கை (நூல்)	Fjärde Moseboken
காஷ்மீர்	Kashmir
போசான்	Boson
சாம்பசி ஆறு	Zambezi
அய்கிடோ	Aikido
புனிதர்	Helgon
அடிப்படைத் துகள்	Elementarpartikel
கெவின் ரட்	Kevin Rudd
இலைக்கன்	Lav
சேரா பேலின்	Sarah Palin
சமையலறை	Kök
முதலை	Krokodiler
திரிபுக் கொள்கை விசாரணை	Inkvisitionen
பச்சையம்	Klorofyll
எலன் ஜான்சன் சர்லீஃப்	Ellen Johnson Sirleaf
எரடோசுதெனீசு	Eratosthenes
காப்பீடு	Försäkring
சுமையுந்து	Lastbil
யுன்னான்	Yunnan
சின்சினாட்டி	Cincinnati
இருபால்சேர்க்கை	Bisexualitet
கிளின்ட் ஈஸ்ட்வுட்	Clint Eastwood
எபிகியூரசு	Epikuros
அமைப்பு	Organisation
அலெக்சாந்திரியாவின் கலங்கரை விளக்கம்	Fyrtornet på Faros
இரியோ கிராண்டு டோ நார்த்	Rio Grande do Norte
பல்லுறுப்புக்கோவை	Polynom
ரஷ்யாவின் கூட்டாட்சி அமைப்புகள்	Rysslands federationssubjekt
ஜாக்சன் 5	The Jackson 5
பீட்டர் புரூகல்	Pieter Bruegel den äldre
சார்லசு, வேல்சு இளவரசர்	Prins Charles, prins av Wales
விக்டோரியா அருவி	Victoriafallen
முகௌக் கற்குகை	Mogaogrottorna
செருமானியப் பேரரசு	Kejsardömet Tyskland
தல்மூத்	Talmud
சுல்தான்	Sultan
ஜே. எம். கோட்ஸி	J.M. Coetzee
வேக் தீவு	Wake
டைம் (இதழ்)	Time (tidskrift)
காற்றுத் திறன்	Vindkraft
மல்கம் எக்ஸ்	Malcolm X
செருமனி தேசிய காற்பந்து அணி	Tysklands herrlandslag i fotboll
மிக்கைல் சாக்கஷ்விலி	Micheil Saakasjvili
பொம்பெயி	Pompeji
கிராமிய இசை	Folkmusik
ரூமி	Jalal al-din Rumi
அரிஸ்டாஃபனீஸ்	Aristofanes
எம் டிவி	MTV
காகம்	Corvus
1700கள்	1700-talet (decennium)
அந்திரேயா (திருத்தூதர்)	Andreas (apostel)
டிஸ்கவரி தொலைக்காட்சி	Discovery Channel
திருத்தூதர் (கிறித்தவம்)	Kristendomens apostlar
கேயானு ரீவ்ஸ்	Keanu Reeves
ரிச்மண்ட் (வர்ஜீனியா)	Richmond, Virginia
ஈசாப்	Aisopos
ஜஸ்டின் டிம்பர்லேக்	Justin Timberlake
சண்டிகர்	Chandigarh
முத்து	Pärla
பெண் (பால்)	Hona
பூரான்	Enkelfotingar
பிரித்தானிய இந்தியப் பெருங்கடல் மண்டலம்	Brittiska territoriet i Indiska oceanen
படைப்பாக்கப் பொதுமங்கள்	Creative Commons
சீருடற்பயிற்சிகள்	Gymnastik
இன ஒப்பாய்வியல்	Etnologi
போர்த்தலேசா	Fortaleza
அங்கோர் வாட்	Angkor Wat
அமேடியோ அவகாதரோ	Amadeo Avogadro
இயற்கைத் தேர்வு	Naturligt urval
கிணறு	Vattenbrunn
விலங்குக் காட்சிச்சாலை	Djurpark
டோடோ	Dront
பெருஞ்சீரகம்	Fänkål
கே-2 கொடுமுடி	K2
மரகதம்	Smaragd
சார்புக் கோட்பாடு	Relativitetsteori
கடலியல்	Oceanografi
ஆன்டன் வான் லீவன்ஹூக்	Antonie van Leeuwenhoek
வீற்றிருக்கும் எருது	Sitting Bull
படிகம்	Kristall
கொட்டொனௌ	Cotonou
மத்தேயு (திருத்தூதர்)	Matteus
பிரெஞ்சு ஓப்பன்	Franska öppna
மம்மி	Mumie
ஓசனிச்சிட்டு	Kolibrier
மாக் இயக்குதளம்	Mac OS
லைடன்	Leiden
ஏகபோகம்	Monopol
கிவி (பறவை)	Kivier
நீரகக்கரிமம்	Kolväte
அப்பல்லோ 11	Apollo 11
கொலஸ்டிரால்	Kolesterol
காலுறை	Strumpor
தோமா முல்லர்	Thomas Müller
லூயிவில் (கென்டக்கி)	Louisville
தோமா (திருத்தூதர்)	Tomas (apostel)
பிலிப்பு (திருத்தூதர்)	Filippos
ஹெய்நான்	Henan
அம்புரோசு	Ambrosius av Milano
கூட்டாட்சி	Federation
யோவான் கிறிசோஸ்தோம்	Johannes Chrysostomos
பெர்முடா முக்கோணம்	Bermudatriangeln
ஒன்பதாம் பயஸ் (திருத்தந்தை)	Pius IX
பெஞ்சமின் நெத்தனியாகு	Benjamin Netanyahu
ஆந்த்ரெ இனியஸ்தா	Andrés Iniesta
பதினாறாம் கிரகோரி (திருத்தந்தை)	Gregorius XVI
யசுனாரி கவபட்டா	Yasunari Kawabata
பத்தாம் பயஸ் (திருத்தந்தை)	Pius X
பாலைவனச்சோலை	Oas
பொனெவெந்தூர்	Bonaventura
புருவம்	Ögonbryn
2010 எயிட்டி நிலநடுக்கம்	Jordbävningen i Haiti 2010
மேடிசன்	Madison, Wisconsin
வான்கோழி	Kalkoner
புபொப 35	NGC 35
தொப்புள்	Navel
முதுகெலும்பிலி	Ryggradslösa djur
கடவுச் சீட்டு	Pass
புபொப 36	NGC 36
புபொப 37	NGC 37
எடி மர்பி	Eddie Murphy
புபொப 38	NGC 38
அர்ஜென் ரொபென்	Arjen Robben
எடுவர்டு பூக்னர்	Eduard Buchner
சேலம் (ஒரிகன்)	Salem, Oregon
பதின்மூன்றாம் லியோ (திருத்தந்தை)	Leo XIII
புபொப 40	NGC 40
அசவாத்	Azawad
ஹமித் கர்சாய்	Hamid Karzai
யூதா ததேயு (திருத்தூதர்)	Judas Taddeus
முதலாம் லியோ (திருத்தந்தை)	Leo I (påve)
கிழிப்பர் ஜேக்	Jack Uppskäraren
முகம்மது யூனுஸ்	Muhammad Yunus
1740கள்	1740-talet
பர்த்தலமேயு (திருத்தூதர்)	Bartolomaios
பறவைக் காய்ச்சல்	Fågelinfluensa
கிரிகோரி ரஸ்புடின்	Grigorij Rasputin
செபதேயுவின் மகன் யாக்கோபு	Jakob (apostel)
நசியான் கிரகோரி	Gregorios av Nazianzos
யோவான் (திருத்தூதர்)	Johannes (apostel)
மத்தியா (திருத்தூதர்)	Mattias (apostel)
அலெக்சாந்திரியா நகர அத்தனாசியார்	Athanasius
அல்பேயுவின் மகன் யாக்கோபு	Jakob (apostel, Alfeus son)
ரீஸ் விதர்ஸ்பூன்	Reese Witherspoon
டெர்க் நொவிட்ச்கி	Dirk Nowitzki
ஜெசிகா ஆல்பா	Jessica Alba
அலெக்சாந்திரியா நகர சிரில்	Kyrillos av Alexandria
புனித தோமினிக்	Dominicus
தான் செட்சுமன்	Dan Shechtman
வழங்கி	Server
ஜெஃப் ஹார்டி	Jeff Hardy
1500கள்	1500-talet (decennium)
ஆண் (பால்)	Hane
இடைக் கற்காலம்	Mesolitikum
டேவ் பாடிஸ்டா	Dave Bautista
துலொன்	Toulon
விசைப்பொறிகள்	Motor
அந்தியோக்கு இஞ்ஞாசியார்	Ignatios av Antiochia
ஹல்க் ஹோகன்	Hulk Hogan
வில்லியம் கோல்டிங்	William Golding
பிராம்ப்டன்	Brampton
ஆண்டர்ஸ் பேரிங் பிரீவிக்	Anders Behring Breivik
முதலாம் லியோனிடாசு	Leonidas I av Sparta
எசியோடு	Hesiodos
நிலவு மறைப்பு	Månförmörkelse
ஜெரோம்	Hieronymus
செசாரியா நகர பசீல்	Basileios den store
ஹா ஜி-வோன் (நடிகை)	Ha Ji-won
நூர்சியாவின் பெனடிக்ட்	Benedikt av Nursia
நிக்கலசு	Nikolaus (helgon)
மிஷேல் ஃபூக்கோ	Michel Foucault
ஆலிவர் கிராம்வெல்	Oliver Cromwell
லொயோலா இஞ்ஞாசி	Ignatius av Loyola
கிறிஸ் பென்வா	Chris Benoit
போர்ட் தானுந்து நிறுவனம்	Ford Motor Company
பாஸ்தியான் இசுவைன்சுடைகர்	Bastian Schweinsteiger
கயோட்டி கோநாய்	Prärievarg
ஜிம் மோரிசன்	Jim Morrison
தி அண்டர்டேக்கர்	Mark Calaway
சல்மான் ருஷ்டி	Salman Rushdie
ஜிகாத்	Jihad
குநோம்	GNOME
உள்ளியம் (மெய்யியல்)	Ontologi
பசார் அல்-அசத்	Bashar al-Assad
அணி (கணிதம்)	Matris
வலன்டீனா டெரெஷ்கோவா	Valentina Teresjkova
சுரங்கப்பாதை	Tunnel
கேமரன் டியாஸ்	Cameron Diaz
ஹெப்பஸ்தஸ்	Hefaistos
பாசுக்கல் (அலகு)	Pascal (måttenhet)
சமயச் சார்பாட்சி	Teokrati
ஆன்சு கிருத்தியான் ஆர்ஸ்டெட்	Hans Christian Ørsted
வேதியியற் பிணைப்பு	Kemisk bindning
ரே லூயிஸ்	Ray Lewis
வெப்பம் (இயற்பியல்)	Värme
ஜான் சீனா	John Cena
கோல்டன் கேற் பாலம்	Golden Gate-bron
ஃபபேசியே	Ärtväxter
ஆட்டக் கோட்பாடு	Spelteori
ரிச்சர்ட் டாக்கின்சு	Richard Dawkins
ஆர்லாந்தோ புளூம்	Orlando Bloom
ஓ. ஜே. சிம்சன்	O.J. Simpson
ஈட்டி	Spjut
பியர் சிமோன் இலப்லாசு	Pierre Simon de Laplace
தி கிரேட் காளீ	The Great Khali
பாதுகாப்பான மீயுரை பரிமாற்ற நெறிமுறை	Hypertext Transfer Protocol Secure
ஜான் ஹென்றி நியூமன்	John Henry Newman
சுரங்கத் தொழில்	Gruvdrift
மறைமுதுவர் முதலாம் பர்த்தலமேயு	Bartholomeus I av Konstantinopel
கொள்ளைநோய்	Epidemi
செல்மா லோவிசா லேகர்லாவ்	Selma Lagerlöf
திசையன்	Vektor
கோயில்	Tempel
அரிசிபோ வானிலை ஆய்வுக்கூடம்	Arecibo-observatoriet
புறக்கோள்	Exoplanet
கெவின் ஜேம்ஸ்	Kevin James
உல்ம் மினிஸ்டர்	Ulmer Münster
சார்ல்ஸ்டன் (மேற்கு வேர்ஜினியா)	Charleston, West Virginia
குனூ	GNU
டைட்டானிக் (திரைப்படம்)	Titanic (film)
வேதியியலுக்கான நோபல் பரிசு	Nobelpriset i kemi
வி. சூ. நைப்பால்	V.S. Naipaul
தன்னின உயிருண்ணி	Kannibalism
நோன்பு	Fasta
பயம்	Rädsla
பீட்டர் கனிசியு	Petrus Canisius
கிரீத்தேசியக் காலம்	Krita (geologi)
முட்தோலி	Tagghudingar
வளையத்தில் சீர்மம் (கணிதம்)	Ideal (ringteori)
1820கள்	1820-talet
ஆஸ்திரேலிய ஆங்கிலம்	Australisk engelska
சுத்ஸ்டாப்பெல்	Schutzstaffel
த ஸ்டார்-ஸ்பாங்கிள்ட் பானர்	The Star-Spangled Banner
பறவையியல்	Ornitologi
எபிரேய நாட்காட்டி	Judiska kalendern
சின்னம்மை	Vattkoppor
பிரான்சிஸ்கோ பிசாரோ	Francisco Pizarro
அறுதியின்மைக் கொள்கை	Osäkerhetsprincipen
பலன்கள் (கத்தோலிக்க திருச்சபை)	Avlatsbrev
துறைமுகம்	Hamn
முசுக்கொட்டை	Mullbärssläktet
உக்ரைனியர்	Ukrainare
சுகார்த்தோ	Suharto
கிபிர்	IAI Kfir
1770கள்	1770-talet
மாதிரி-காட்சி-கட்டுப்பாட்டகம்	Model-View-Controller
லின்சி லோகன்	Lindsay Lohan
சுடோக்கு	Sudoku
சட்ட ஆட்சி	Lagstyre
புள்ளி	Punkt (geometri)
அலெக்ஸ் ஃபெர்குஸன்	Alex Ferguson
சிதறம்	Entropi
மீன்கொத்தி	Alcedines
உருவகப்படுத்துதல்	Simulering
தாயக் கட்டை	Tärning
யமன் (இந்து மதம்)	Yama
ஆளி (செடி)	Lin (växt)
அனைத்துலக நோய்கள் வகைப்பாடு - 10	ICD-10
நந்தியாவட்டை	Fjärilsgardenia
சிட்னி ஒப்பேரா மாளிகை	Operahuset i Sydney
சீமைக்காரை	Cement
உந்துத் தண்டு	Kolv (maskindel)
சாக் எப்ரான்	Zac Efron
மான்டே கார்லோ	Monte Carlo
ஆஸ்திரலேசியா	Australasien
எல்பா	Elba
கிழக்கு சீனக்கடல்	Östkinesiska havet
தி டோர்ஸ்	The Doors
மௌசோல்லொசின் கல்லறை	Mausoleet i Halikarnassos
கடல் கொள்ளை	Sjöröveri
பிரம்மபுத்திரா ஆறு	Brahmaputra
மதுவம்	Jäst
ஆர்எஸ்எஸ் (கோப்பு வடிவம்)	RSS
சுவசுத்திக்கா	Svastika
ஆவி	Spöke
வில்லியம் வேர்ட்ஸ்வொர்த்	William Wordsworth
தென்னிசு இரிட்சி	Dennis Ritchie
ஐக்கிய அமெரிக்கக் குடியரசுத் தலைவர் தேர்தல், 2008	Presidentvalet i USA 2008
மிக்கேல் (அதிதூதர்)	Mikael (ärkeängel)
வைணவ சமயம்	Vaishnavism
விண்மீன்கள் நிறைந்த இரவு	De sterrennacht
கந்தஹார்	Kandahar
சுட்டாங்கல் (பீங்கான்)	Keramik
தைலம் (மரம்)	Eukalyptussläktet
த லாஸ்ட் ஸ்டேண்ட்	The Last Stand
குப்பை	Avfall
டைட்டன் (தொன்மவியல்)	Titaner
கர்தினால்	Kardinal
ஜாக் மாரித்தேன்	Jacques Maritain
விசுவநாதன் ஆனந்த்	Viswanathan Anand
பலா	Jackfrukt
வழக்காறொழிந்த மொழி	Utdöda språk
கிரிஸ்டியன் பேல்	Christian Bale
கடனீர் இடுக்கேரி	Fjord
நீர்வாழ் உயிரினங்கள் காட்சிச்சாலை	Akvarium
கிம் டாய் ஜுங்	Kim Dae-jung
சத்தியேந்திர நாத் போசு	Satyendra Nath Bose
ஆர்தர் அரசர்	Kung Artur
டன்கிர்க்	Dunkerque
வரதட்சணை	Hemgift
சுராசிக் காலம்	Jura (period)
கேம்ஸ்பொட் இணையத்தளம்	Gamespot
வலை ஊர்தி	Spindel (internet)
முதலாம் இசபெல்லா	Isabella I av Kastilien
இணைகரம்	Parallellogram
தியெரி ஹென்றி	Thierry Henry
பீக்கிங் மனிதன்	Pekingmänniskan
நுண்ணுறுப்பு	Organell
செங்கோட்டை	Röda fortet i Delhi
சீன-திபெத்திய மொழிகள்	Sinotibetanska språk
ரிதம் அண்ட் புளூஸ்	Rhythm and blues
1680கள்	1680-talet
பிராங்க்ஃபுர்ட் வானூர்தி நிலையம்	Frankfurt am Mains flygplats
கிரிஸ் பால்	Chris Paul
1610கள்	1610-talet
அக்டோபர் 2011	Oktober 2011
தாத்ரா மற்றும் நகர் அவேலி	Dadra och Nagar Haveli
உய்குர் மக்கள்	Uigurer
மனிதநேயம்	Humanism
தேசிய பூங்கா	Nationalpark
கிரவ கிதார்	Elbas
அசென்சன் தீவு	Ascension
பன்னாட்டுக் கூடைப்பந்தாட்டக் கூட்டணி	Internationella basketförbundet
போசு-ஐன்ஸ்டைன் செறிபொருள்	Bose–Einstein-kondensat
மின்புலம்	Elektriskt fält
ஒலிம்பியாவின் சேயுஸ் சிலை	Zeusstatyn i Olympia
புவி இயற்பியல்	Geofysik
ரோமனெஸ்க் கட்டிடக்கலை	Romansk arkitektur
இயக்க ஆற்றல்	Kinetisk energi
சார்லசு டிகால் வானூர்தி நிலையம்	Paris-Charles de Gaulle-flygplatsen
சரிவகம்	Parallelltrapets
வில்	Pilbåge
தட்டச்சுக் கருவி	Skrivmaskin
ஆமை	Landsköldpaddor
வியன்னா மாநாடு	Wienkongressen
சுசி	Sushi
ஒலிவாங்கி	Mikrofon
மதுவிலக்கு	Alkoholförbud
பிரித்தானிய கடல் கடந்த ஆட்புலங்கள்	Storbritanniens utomeuropeiska territorier
எப்/ஏ-18	McDonnell Douglas F/A-18 Hornet
ஜோர்ஜியா ஓ'கீஃப்	Georgia O'Keeffe
இப்னு அரபி	Ibn 'Arabi
இரட்டைவால் குருவி	Svart drongo
விழுத்தொடர் பாணித் தாள்கள்	Cascading Style Sheets
அபினி	Opium
ஒசைரிஸ்	Osiris
தெற்கு பாகா கலிபோர்னியா	Baja California Sur
புலிட்சர் பரிசு	Pulitzerpriset
த பிரஸ்டீஜ் (திரைப்படம்)	Prestige (film)
லக்கூனா காயில்	Lacuna Coil
கட்டற்ற சந்தைமுறை	Fri marknad
அப்பல்லோ திட்டம்	Apolloprogrammet
சார்ல்ஸ் பாபேஜ்	Charles Babbage
மலாக்கா சுல்தானகம்	Sultanatet Malacka
வாம்பைர்	Vampyr
பிஜி இந்தி	Fijiansk hindi
அமீபா	Amöbor
தார்பூர்	Darfur
சொத்து	Tillgång
செண்டாய்	Sendai
ஹாரி பாட்டர் அன்ட் கோப்லட் ஒவ் பயர்	Harry Potter och den flammande bägaren
ஹாரி பாட்டர் அன் த டெத்லி ஹாலோவ்ஸ் (புதினம்)	Harry Potter och dödsrelikerna
சப்வேர்சன்	Apache Subversion
வாங்கரி மாத்தாய்	Wangari Maathai
அகமது ஷா துரானி	Ahmed shah Durrani
பகவத் கீதை	Bhagavad-Gita
தி டைம்ஸ் ஆஃப் இந்தியா	The Times of India
ராவுல் காஸ்ட்ரோ	Raúl Castro
இஸ்ரேல் அருங்காட்சியகம்	Israel Museum
ராபர்ட் ஹூக்	Robert Hooke
மலைத் தொடர்	Bergskedja
ஐந்தொகை (கணக்கியல்)	Balansräkning
அறிவியல் அறிவு வழி	Vetenskaplig metod
ஐ. எம். பேய்	I.M. Pei
அக்கரோட்டு	Valnöt
பேக்கர் தீவு	Bakerön
ஹரி பொட்டர் அன் த ஹாவ் பிளட் பிரின்ஸ் (நாவல்)	Harry Potter och Halvblodsprinsen
உலகளாவிய நடமாடும் தகவல் தொடர்புகள் திட்டம்	GSM
காலித் மசால்	Khaled Meshal
அல்காலா டி எனேரசு	Alcalá de Henares
1978 உலகக்கோப்பை கால்பந்து	Världsmästerskapet i fotboll 1978
துனீசியப் புரட்சி	Jasminrevolutionen
பனியடுக்கு	Shelfis
வான்வழிப் போக்குவரத்து நிறுவனம்	Flygföretag
யெஸ்ப்பூ	Esbo
உயிரியற் பல்வகைமை	Biologisk mångfald
ரூபிக்கின் கனசதுரம்	Rubiks kub
நெதர்லாந்து தேசிய காற்பந்து அணி	Nederländernas herrlandslag i fotboll
புரதப்பீழை	Prion
கயவாய்	Estuarium
ஐஸ்வர்யா ராய் (நடிகை)	Aishwarya Rai
உருமாறிய பாறை	Metamorf bergart
பழுப்பு	Brun
மூலக்கூற்று உயிரியலின் மையக்கோட்பாடு	Centrala dogmen
ஓம் (மின்னியல்)	Ohm
ஆர்தர் சி. கிளார்க்	Arthur C. Clarke
வன்கலவி	Våldtäkt
பென் ஸ்டில்லர்	Ben Stiller
இரண்டாம் யோசப்பு இசுமித்து	Joseph Smith
வாளி	Hink
என்றீக் இக்லெசியாசு	Enrique Iglesias
கிறித்துமசு மரம்	Julgran
கு கிளக்சு கிளான்	Ku Klux Klan
பிராமணர்	Brahmin
அட்டகாமா பாலைவனம்	Atacamaöknen
யசுர் வேதம்	Yajurveda
