अफ़्रीका	Afrika
स्कॉल (चंद्रमा)	Skoll (måne)
एरियपस (चंद्रमा)	Erriapo
तार्केक (चंद्रमा)	Tarqeq (måne)
सैक्रामेण्टो, कैलिफ़ोर्निया	Sacramento
ग्रेइप (चंद्रमा)	Greip (måne)
हीरोकीन (चंद्रमा)	Hyrrokkin (måne)
टार्वोस (चंद्रमा)	Tarvos
एदुआर्द निकोलायेविच उस्पेंस्की	Eduard Uspenskij
ला वीटा न्युओवा	I livets vår
होनोलूलू	Honolulu
कोरिया	Korea
बायसन	Bison (släkte)
१९२५.	1925
१९२७	1927
ली कचियांग	Li Keqiang
मैन्चेस्टर	Manchester
गौ चिञ्जयान	Gao Xingjian
जार्नसेक्सा (चंद्रमा)	Jarnsaxa (måne)
एस्पिरिन	Acetylsalicylsyra
तुर्क और केकोस द्वीपसमूह	Turks- och Caicosöarna
सहज वृत्ति (इंस्टिंक्ट)	Instinkt
कीटाहारी पौधे	Köttätande växter
उरुग्वे नदी	Uruguayfloden
कण भौतिकी	Partikelfysik
विकिरण	Strålning
मानक प्रतिमान	Standardmodellen
गुप्त ऊर्जा	Mörk energi
सर्वतत्व सिद्धांत	Teori om allt
सैद्धान्तिक भौतिकी	Teoretisk fysik
प्रायोगिक भौतिकी	Experimentell fysik
गुरुत्वाकर्षक स्थिरांक	Gravitationskonstanten
न्यू इंग्लैंड	New England
ब्रुकलीन	Brooklyn
मर्सेलीन बर्टलो	Marcellin Berthelot
१०००	1000
999	999
शेफ़ील्ड एफ.सी.	Sheffield FC
भेड़िया	Varg
जैव मात्रा	Biomassa
नगरपालिका ठोस अपशिष्ट	Hushållssopor
मेजर लीग सॉकर	Major League Soccer
माफिया	Maffia
१९५५	1955
१९५४	1954
१९५३	1953
१९५१	1951
१९५०	1950
१९४६	1946
१९४३	1943
१९४२	1942
१९४०	1940
१९३९	1939
१९३८	1938
१९३७	1937
१९३६	1936
मैनचेस्टर यूनाइटेड एफ़.सी.	Manchester United FC
बहुव्यक्तित्व विकार	Dissociativ identitetsstörning
१९३५	1935
एस्टन विला एफ.सी.	Aston Villa FC
१९३४	1934
न्यूकैसल युनाइटेड एफ़॰सी॰	Newcastle United FC
१९३३	1933
टॉटनहम हॉटस्पर एफ़.सी.	Tottenham Hotspur FC
१९३२	1932
वेस्त ब्रोम्विछ अल्बिओन् एफ.सी.	West Bromwich Albion FC
यूईएफए चैंपियंस लीग	Uefa Champions League
मलय प्रायद्वीप	Malackahalvön
यूईएफए यूरोपा लीग	Uefa Europa League
१९३१	1931
१९३०	1930
बगुला	Hägrar
१९२९	1929
प्योंगयांग	Pyongyang
नया नियम	Nya Testamentet
जेसी जे	Jessie J
ग्लोबल पोजीशनिंग प्रणाली	Global Positioning System
दरख़ान-ऊल प्रांत	Darchan-Uul
तीतर जैसी पूंछ वाला जल-कपोत	Fasanjaçana
कॉकस	Kaukasien
पिटर डीलुइसे	Peter DeLuise
ट्रॉन: लेगसी	Tron: Legacy
मुख्यधारा	Mainstream
स्पंज	Svampdjur
ईडन	Edens trädgård
अकेडमी पुरस्कार	Oscar
बॉस्टन चाय पार्टी	Tebjudningen i Boston
समान्तर माध्य	Aritmetiskt medelvärde
अकेन्द्रिक	Prokaryoter
सुकेन्द्रिक	Eukaryoter
गोल्डनआय	Goldeneye
लियोनार्दो दा विन्ची फ़्यूमिशिनो विमानक्षेत्र	Rom-Fiumicino flygplats
शक्ति (देवी)	Shakti
बिच्छू	Skorpioner
हेनरी फोंडा	Henry Fonda
जार्ज बर्नार्ड शा	George Bernard Shaw
मिडलसेक्स	Middlesex
चेस्टर बेनिंगटन	Chester Bennington
हेइलोंगजियांग	Heilongjiang
१००१	1001
१००२	1002
१००३	1003
१००५	1005
१००६	1006
१००७	1007
१००८	1008
१००९	1009
१०१०	1010
१०११	1011
१०१२	1012
१०१३	1013
१०१४	1014
१०१५	1015
१०१६	1016
१०१७	1017
१०१८	1018
१०१९	1019
१०२०	1020
१०२१	1021
१०२२	1022
१०२३	1023
१०२४	1024
१०२५	1025
१०२६	1026
१०२७	1027
१०२८	1028
१०२९	1029
१०३०	1030
१०३१	1031
फीफा विश्व कप	Världsmästerskapet i fotboll
१०३२	1032
१०३३	1033
१०३४	1034
१०३५	1035
१०३६	1036
१०३७	1037
१०३८	1038
१०३९	1039
१०४०	1040
१०४१	1041
१०४२	1042
१०४३	1043
१०४४	1044
१०४५	1045
१०४६	1046
१०४७	1047
१०४८	1048
१०४९	1049
१०५०	1050
१०५१	1051
१०५२	1052
१०५३	1053
१०५४	1054
डार्टर	Ormhalsfåglar
१०५५	1055
१०५६	1056
१०५७	1057
१०५८	1058
१०५९	1059
१०६०	1060
१०६१	1061
१०६२	1062
१०६३	1063
१०६४	1064
१०६५	1065
१०६६	1066
१०६७	1067
१०६८	1068
१०६९	1069
१०७०	1070
१०७१	1071
१०७२	1072
१०७३	1073
१०७४	1074
१०७५	1075
१०७६	1076
१०७७	1077
१०७८	1078
बर्मिंघम सिटी एफ.सी.	Birmingham City FC
१०७९	1079
थलैसा (उपग्रह)	Thalassa (måne)
१०८०	1080
१०८१	1081
१०८२	1082
डस्पीना (उपग्रह)	Despina
१०८३	1083
१०८४	1084
१०८५	1085
१०८६	1086
१०८७	1087
१०८८	1088
गैलाटिआ (उपग्रह)	Galatea (måne)
१०८९	1089
१०९०	1090
१०९१	1091
लरिसा (उपग्रह)	Larissa (måne)
१०९२	1092
१०९३	1093
१०९४	1094
१०९५	1095
१०९६	1096
१०९७	1097
नॉटिंघम फॉरेस्ट एफ.सी.	Nottingham Forest FC
ना त्राङ्ग	Nha Trang
१०९८	1098
१०९९	1099
वॉल्वरहैम्प्टन वांडरर्स एफ.सी.	Wolverhampton Wanderers FC
हैलिमीडी (उपग्रह)	Halimede
११०६	1106
११०७	1107
११०८	1108
११०९	1109
सेओ (उपग्रह)	Sao
१११०	1110
पोदोल्स्क	Podolsk
ए एस सैंट एटिएन्ने	AS Saint-Étienne
११११	1111
इंगा बाँध	Ingakraftverket
१११२	1112
लेओमडीआ (उपग्रह)	Laomedeia
१११३	1113
१११४	1114
१११५	1115
सैमअथी (उपग्रह)	Psamathe (måne)
१११६	1116
१११७	1117
१११८	1118
१११९	1119
खोज संयन्त्र	Söktjänst
११२०	1120
पोप	Påve
क्षार धातु	Alkalimetall
११३०	1130
क्षारीय पार्थिव धातु	Alkalisk jordartsmetall
कोला अति-गहन वेधन छिद्र	SG-3
नीसो (उपग्रह)	Neso
विलायत (प्रशासनिक विभाग)	Wilayah
ऐक्टिनाइड	Aktinoider
११३१	1131
११३२	1132
११३३	1133
११३४	1134
सेल्टिक एफ.सी.	Celtic FC
११३५	1135
उपधातु	Halvmetall
रेंजर्स एफ.सी.	Rangers FC
११३६	1136
अधातु	Icke-metall
११३७	1137
एफसी त्वेन्ते	FC Twente
हैलोजन	Halogen
११३८	1138
११३९	1139
अक्रिय गैस	Ädelgas
५	5
११४०	1140
११४१	1141
११४२	1142
११४३	1143
११४४	1144
४	4
११४५	1145
११४६	1146
११४७	1147
११४८	1148
३	3
११४९	1149
११५०	1150
११५१	1151
११५२	1152
११५३	1153
२	2
११५४	1154
११५५	1155
११५६	1156
सार्वजनिक डोमेन	Public domain
११५७	1157
११५८	1158
११५९	1159
बुखारेस्ट	Bukarest
११६०	1160
११६१	1161
११६२	1162
११६३	1163
अल्बर्ट गोर	Al Gore
११६४	1164
लूव्र संग्रहालय	Louvren
११६५	1165
११६६	1166
११६७	1167
११६८	1168
११६९	1169
११७०	1170
पुएर्तो रिको स्वतंत्रता पार्टी	Puertoricanska självständighetspartiet
११७१	1171
थेम्स नदी	Themsen
११७२	1172
११७३	1173
तिराना	Tirana
११७४	1174
११७५	1175
११७६	1176
११७७	1177
वेई नदी	Wye
११७८	1178
११७९	1179
११८०	1180
११८१	1181
गधा	Åsna
११८२	1182
१९२८	1928
११८३	1183
११८४	1184
११८५	1185
११८६	1186
११८७	1187
११८८	1188
११८९	1189
११९०	1190
११९१	1191
११९२	1192
११९३	1193
११९४	1194
११९५	1195
११९६	1196
११९७	1197
११९८	1198
११९९	1199
अन्तर्राष्ट्रीय वायु यातायात संघ	International Air Transport Association
मैन्ग्रोव	Mangrove
विकिपीडिया:श्रेष्ठ लेख	Wikipedia:Bra artiklar
मशीनी औजार	Verktygsmaskin
सिचुआन	Sichuan
जी-20	G20
६	6
पुराना नियम	Gamla Testamentet
क्रिसमस	Jul
विक्टोरिया बेखम	Victoria Beckham
रोमान्स भाषाएँ	Romanska språk
त्रिभुज	Triangel
अधिवर्ष	Skottår
स्टीव जॉब्स	Steve Jobs
लेडी गागा	Lady Gaga
मिनट्स टू मिडनाइट	Minutes to Midnight
मिटिओरा (अल्बम)	Meteora
हिन्द-यूरोपीय भाषा-परिवार	Indoeuropeiska språk
हायब्रिड थीयरी	Hybrid Theory
डोम्सडे पुस्तक	Domesday Book
वेटिंग फ़ॉर गोडोट	I väntan på Godot
मुअम्मर अल-गद्दाफ़ी	Muammar al-Gaddafi
मेट्रोपॉलिटन लाइन	Metropolitan line
बेकरलू लाइन	Bakerloo line
ओरेकल फाउंडेशन	Oracle
डेथ स्टार	Dödsstjärna
बाघ	Tiger
लज़ान्या	Lasagne
लंदन अंडरग्राउंड	Londons tunnelbana
जीवजाति का उद्भव	Om arternas uppkomst
ऑमलेट	Omelett
साइ	Psy
निसान	Nissan (bilmärke)
डान्सिज़ विद वुल्व्ज़	Dansar med vargar
लोलक	Pendel
सैमसंग	Samsung
पॉडकास्ट	Poddradio
इंचेयन अन्तर्राष्ट्रीय विमानक्षेत्र	Incheon International Airport
इंचियोन	Inchon
कुत्तों की नस्लों की सूची	Alfabetisk lista över hundraser
अफगान हाउन्ड	Afghanhund
स्कैण्डिनेवियाई देश	Skandinavien
ईस्टर	Påsk
चिशिनाउ	Chișinău
कम्प्यूटर विज्ञान	Datavetenskap
प्राकृतिक संख्या	Naturliga tal
जर्मैनी भाषा परिवार	Germanska språk
समाजशास्त्र	Sociologi
सलोम्	Şalom
अरूबा	Aruba
अन्तर्राष्ट्रीय ध्वन्यात्मक वर्णमाला	Internationella fonetiska alfabetet
अलास्कन हस्की	Alaskan husky
अलास्कन मलामुट	Alaskan malamute
विंडोज़ मोबाइल	Windows Mobile
हेबेई	Hebei
क्लॉस वॉन स्टॉफ़ेनबर्ग	Claus Schenk von Stauffenberg
प्रिंसटन विश्वविद्यालय	Princeton University
गैलीफ़ॉर्मेस	Hönsfåglar
अण्डजस्तनी	Kloakdjur
बो शिलाई	Bo Xilai
प्रोटियेलीज़	Proteaordningen
ओडिशा	Odisha
पंजाब (भारत)	Punjab (Indien)
ताइवान	Taiwan (ö)
स्मार्टफ़ोन	Smarttelefon
त्राय	Troja
यहूदी विरोधवाद	Antisemitism
कलापक्ष	Steklar
शिलारस	Petroleum
कंक्रीट	Betong
भूगोलीय निर्देशांक प्रणाली	Geografiska koordinatsystem
रेल	Järnväg
फ्रेडरिक शिलर	Friedrich Schiller
वर्मपंखी गण	Skalbaggar
ग्यूटेनबर्ग परियोजना	Project Gutenberg
बहाई धर्म	Bahá'í
डोनाल्ड ट्रम्प	Donald Trump
बैंक	Bank
प्रेस की स्वतंत्रता	Tryckfrihet
अभिव्यक्ति की स्वतंत्रता	Yttrandefrihet
ओलीवाइन	Olivin
मरुआ	Mejram
पार्क	Park
कोणधारी कोण	Kotte
लोयस	Lössjord
गुफ़ा की कथा	Platons grottliknelse
जनसंख्या घनत्व	Befolkningstäthet
आयरलैण्ड	Irland (ö)
विकिपीडिया:पृष्ठ हटाने हेतु चर्चा	Wikipedia:Sidor föreslagna för radering
स्वान्ज़ी	Swansea
हैली धूमकेतु	Halleys komet
स्विट्ज़रलैंड के कैन्टन	Schweiz kantoner
चेशायर	Cheshire
कम्ब्रिया	Cumbria
लैंकाशिर	Lancashire
नॉर्थम्बरलैंड	Northumberland
टाइन एंड वेयर	Tyne and Wear
काउंटी डरहम	Durham (grevskap)
वेस्ट यॉर्कशायर	West Yorkshire
नॉर्थ यॉर्कशायर	North Yorkshire
ईस्ट राइडिंग ऑफ़ यॉर्कशायर	East Riding of Yorkshire
लिंकनशायर	Lincolnshire
नॉटिंघमशायर	Nottinghamshire
साउथ यॉर्कशायर	South Yorkshire
डर्बीशायर	Derbyshire
ग्रेटर मैनचेस्टर	Greater Manchester
मर्सीसाइड	Merseyside
श्रॉपशायर	Shropshire
स्टैफ़र्डशायर	Staffordshire
लेस्टरशायर	Leicestershire
रटलैंड	Rutland
१	1
नॉर्फ़क	Norfolk
सफ़क	Suffolk
केमब्रिजशायर	Cambridgeshire
लु शिन्	Lu Xun
नॉर्थहैम्पटनशायर	Northamptonshire
धारीदार नेवला	Sebramangust
वेस्ट मिडलैंड्स (काउंटी)	West Midlands (storstadsområde)
हरफ़र्डशायर	Herefordshire
वॉस्टरशायर	Worcestershire
वरिकशायर	Warwickshire
बेडफ़र्डशायर	Bedfordshire
कॉर्नवल	Cornwall
ब्रिस्टल	Bristol
डेवन	Devon, England
समरसेट	Somerset
डॉर्सेट	Dorset
ग्लॉस्टरशायर	Gloucestershire
ऑक्सफ़र्डशायर	Oxfordshire
वॉम्बैट	Vombater
विल्टशायर	Wiltshire
हैम्पशायर	Hampshire
अडेल (गायिका)	Adele (sångare)
बर्कशायर	Berkshire
बकिंघमशायर	Buckinghamshire
एसेक्स	Essex
सरी	Surrey
वेस्ट ससेक्स	West Sussex
ईस्ट ससेक्स	East Sussex
केंट	Kent (grevskap)
रॉबर्टो बेनिगनी	Roberto Benigni
ग्रेटर लंदन	Storlondon
ब्रिटिश पुस्तकालय	British Library
सिटी ऑफ़ लंदन	City of London
गफ विटलम	Gough Whitlam
अबख़ाज़िया	Abchazien
सॉल्ट लेक सिटी, यूटा	Salt Lake City
९	9
एडमंड बार्टन	Edmund Barton
७	7
क्रिस वाटसन	Chris Watson
८	8
अब्राहम मास्लो	Abraham H. Maslow
स्टान्ली ब्रूस	Stanley Bruce
मानवतावादी मनोविज्ञान	Humanistisk psykologi
जेरेमी रेनर	Jeremy Renner
संज्ञानात्मक मनोविज्ञान	Kognitiv psykologi
बेन चिफ्ली	Ben Chifley
जीन अगस्टे इन्ग्रेस	Jean-Auguste-Dominique Ingres
ज्वार-भाटा	Tidvatten
सप्ताह	Vecka
हिरण	Hjortdjur
बर्फ़	Is
परमात्मा की प्रार्थना	Herrens bön
झील	Insjö
लहसुन	Vitlök
ओर्से संग्रहालय (पेरिस)	Musée d’Orsay
मानवशास्त्र	Antropologi
लाल सागर	Röda havet
930	930
985	985
११२२	1122
981	981
939	939
खीरा	Gurka
दक्षिण ओसेतिया	Sydossetien
उलान बतोर	Ulan Bator
अर्नेस्ट हेमिंगवे	Ernest Hemingway
एडिनबरा	Edinburgh
अश्क़ाबाद	Asjchabad
ओक्तवे मिर्बो	Octave Mirbeau
द्वीप	Ö (landområde)
श्वेत	Vit
काला	Svart
814	814
678	678
950	950
679	679
996	996
680	680
980	980
९००	900
११२९	1129
843	843
690	690
691	691
988	988
692	692
४७६	476
693	693
मार्सैय	Marseille
694	694
695	695
प्याज़	Lök (art)
६९६	696
697	697
698	698
राजभाषा	Officiellt språk
699	699
700	700
701	701
702	702
पुरातत्वशास्त्र	Arkeologi
703	703
टमाटर	Tomat
704	704
705	705
जॉर्ज हर्बर्ट वॉकर बुश	George H.W. Bush
706	706
89	89
707	707
708	708
फोन्ग न्हा-की बान्ग	Phong Nha-Ke Bang nationalpark
709	709
710	710
711	711
712	712
बाल्कन	Balkanhalvön
713	713
714	714
स्लावी भाषाएँ	Slaviska språk
715	715
दिमित्री मेदवेदेव	Dmitrij Medvedev
716	716
717	717
718	718
719	719
भूमध्य रेखा	Ekvator
720	720
प्रोटेस्टैंट	Protestantism
721	721
722	722
सेलीन	Selena Quintanilla
723	723
नासा	NASA
724	724
725	725
726	726
727	727
हाउस	House (TV-serie)
बेनिटो मुसोलिनी	Benito Mussolini
728	728
729	729
९६३	963
730	730
731	731
लॉस्ट (टीवी शृंखला)	Lost
962	962
732	732
733	733
997	997
734	734
972	972
735	735
डॅक्सटर	Dexter (TV-serie)
955	955
901	901
736	736
737	737
936	936
738	738
953	953
902	902
739	739
740	740
741	741
742	742
743	743
958	958
744	744
५००	500
745	745
746	746
880	880
747	747
748	748
शब्दकोश	Ordbok
749	749
870	870
903	903
750	750
एचबीओ	HBO
751	751
बरमूडा	Bermuda
752	752
सिर	Huvud
753	753
987	987
754	754
965	965
755	755
924	924
951	951
932	932
वेलिंग्टन	Wellington
साँचा:Infobox Olympics ग्रेट ब्रिटेन	Storbritannien (ö)
800	800
उत्तरी साइप्रस	Nordcypern
जिमी कार्टर	Jimmy Carter
राष्ट्रगान	Nationalsång
967	967
989	989
960	960
969	969
957	957
११२४	1124
971	971
दाहिना	Väderstreck
937	937
992	992
990	990
899	899
975	975
टेलिविज़न और रेडियो धारावाहिक	Såpopera
942	942
966	966
११२८	1128
959	959
973	973
चूना पत्थर	Kalksten
रूवेन अटकिन्सन	Rowan Atkinson
कैल्सियम कार्बोनेट	Kalciumkarbonat
लास वेगास, नेवादा	Las Vegas
982	982
974	974
976	976
979	979
986	986
919	919
998	998
फ़िलिस्तीनी राज्यक्षेत्र	Palestina
995	995
977	977
कॉण्टैक्ट लैंस	Kontaktlins
११२५	1125
934	934
परमाणु क्रमांक	Atomnummer
अल्फ़्रेद नोबेल	Alfred Nobel
876	876
875	875
810	810
929	929
८८२	882
११२७	1127
940	940
द ऑफिस (अमरीकी टीवी शृंखला)	The Office (amerikansk TV-serie)
889	889
कंघा	Kam
844	844
912	912
838	838
984	984
874	874
जॉर्ज क्लूनी	George Clooney
954	954
७९	79
866	866
839	839
622	622
918	918
लीला डाउन्ज़	Lila Downs
961	961
मृत सागर	Döda havet
570	570
632	632
946	946
835	835
884	884
859	859
832	832
849	849
877	877
चीता	Gepard
878	878
861	861
ऐड्वेन्चर गेम	Äventyrsspel
869	869
968	968
983	983
964	964
११२१	1121
११२३	1123
933	933
915	915
970	970
911	911
993	993
991	991
994	994
898	898
944	944
907	907
943	943
945	945
922	922
905	905
941	941
925	925
928	928
948	948
947	947
949	949
926	926
ऋतु	Årstid
बृहद्रथ मौर्य	Brihadratha
कोयला	Kol (bränsle)
825	825
वैंकूवर	Vancouver
886	886
860	860
842	842
871	871
893	893
909	909
931	931
९३८	938
917	917
लिवरपूल	Liverpool
४७७	477
914	914
920	920
913	913
लघु फ़िल्म	Kortfilm
935	935
841	841
अवतार (२००९ फ़िल्म)	Avatar (film)
820	820
906	906
ब्रेमेन	Bremen
916	916
885	885
क्रिया (व्याकरण)	Verb
विज्ञान कथा साहित्य	Science fiction
836	836
854	854
862	862
879	879
887	887
770	770
817	817
864	864
863	863
ब्राजील (फिल्म)	Brazil (film)
868	868
855	855
818	818
वुडी एलन	Woody Allen
837	837
845	845
टाइटैनिक	RMS Titanic
इन्सेप्शन	Inception
क्रिस्टोफ़र नोलन	Christopher Nolan
उल्लू	Ugglor
पाउण्ड स्टर्लिंग	Brittiskt pund
नीदरलान्स आन्तिलन	Nederländska Antillerna
अंगुइला	Anguilla
ग्वेर्नसे	Guernsey
स्वालबार्ड	Svalbard
Benetice (Světlá nad Sázavou)	Benetice (Světlá nad Sázavou)
घंटा	Timme
वॉट	Watt
मटर	Ärt
कशेरुकी जन्तु	Ryggradsdjur
भूर्ज	Björkar
वॉल्ट	Volt
वर्षण	Nederbörd
फ़रोइस भाषा	Färöiska
मौसम विज्ञान	Meteorologi
फ़ेलिडाए	Kattdjur
552	552
सेल्सियस	Grad Celsius
सामी-हामी भाषा-परिवार	Afroasiatiska språk
जूल (इकाई)	Joule
अन्तर्राष्ट्रीय अन्तरिक्ष स्टेशन	Internationella rymdstationen
एम्पियर	Ampere
२०१९	2019
हिस्पानिओला	Hispaniola
अजमोद	Persilja
तातार भाषा	Tatariska
उप्साला	Uppsala
गोथनबर्ग	Göteborg
भार	Tyngd
खजूर	Dadelpalm
केल्टी भाषाएँ	Keltiska språk
हथौड़ा	Hammare (handverktyg)
भाषा-परिवार	Språkfamilj
२ ईसा पूर्व	2 f.Kr.
१ ईसा पूर्व	1 f.Kr.
वॉशिंगटन	Washington (olika betydelser)
रसिबोर्ज्	Racibórz
पीचिलीम्यू	Pichilemu
ब्रिटिश वर्जिन द्वीपसमूह	Brittiska Jungfruöarna
मांसाहारी गण	Rovdjur
ऑर्किड	Orkidéer
तिलचट्टा	Kackerlackor
डिप्टेरा	Tvåvingar
सपुष्पक पौधा	Gömfröväxter
आर्कटिक	Arktis
कैनिडाए	Hunddjur
मोलस्का	Blötdjur
अन्तोनी गौदी	Antoni Gaudí
सम-ऊँगली खुरदार	Partåiga hovdjur
धानीप्राणी	Pungdjur
शक्ति (भौतिकी)	Effekt
स्विस फ़्रैंक	Schweizisk franc
हरिता	Bladmossor
तारा मछली	Sjöstjärnor
सनोबर	Ädelgranssläktet
थियोडोर मोम्मसेन	Theodor Mommsen
ग्रीनलैंडिक भाषा	Grönländska
पोपलर	Poppelsläktet
विद्युत प्रतिरोध	Resistans
नावासा द्वीप	Navassaön
१२३ ईसा पूर्व	123 f.Kr.
२३४ ईसा पूर्व	234 f.Kr.
मगरमच्छ	Krokodildjur
क्रस्टेशिया	Kräftdjur
सारस (पक्षी)	Tranor
प्लवक	Plankton
पटलक्लोमी	Musslor
कोबी ब्रायंट	Kobe Bryant
कॉन्ड्रीइक्थीज़	Broskfiskar
नाटक	Dramatik
अटलांटिस	Atlantis
विषम-ऊँगली खुरदार	Uddatåiga hovdjur
कहरुवा	Bärnsten
बालुका स्तूप	Sanddyn
शाह बुलबुल	Sydnäktergal
न्यूर्क, न्यू जर्सी	Newark, New Jersey
पैंगोलिन	Myrkottar
कम्पोजिटी	Korgblommiga växter
कूलम्ब	Coulomb
डेनिश क्रोन	Dansk krona
जुगनू	Lysmaskar
३४५ ईसा पूर्व	345 f.Kr.
विभवांतर	Elektrisk spänning
केसर	Saffran
मस्टेलिडाए	Mårddjur
कठफोड़वा	Hackspettar
निडारिया	Nässeldjur
नूतनतम युग	Holocen
बर्बर भाषाएँ	Berberspråk
४५६ ईसा पूर्व	456 f.Kr.
गोवंश	Slidhornsdjur
प्रकाश उत्सर्जक डायोड	Lysdiod
ज़ीलैंड	Själland
अत्यंतनूतन युग	Pleistocen
ऊमेओ	Umeå
600	600
सन्त मार्टिन	Saint Martin
संयोजी ऊतक	Bindväv
भ्रूणपोष	Endosperm
डिजिटल वस्तु अभिज्ञापक	Digital object identifier
बार्बी इन द नटक्रैकर	Barbie i Nötknäpparen
बिबकोड	Bibcode
पुष्पोद्भिद	Fröväxter
ग्रेलैग हंस	Grågås
गबडलय अखटऊ	Gabdulchaj Achatov
यूरेशियाई वृक्ष गौरैया	Pilfink
हरमन हेस	Hermann Hesse
कुषाण	Kushan
पाल	Segel
हाइड्रोजन सायनाइड	Vätecyanid
इरावती नदी	Irrawaddy
मुखबिर	Visselblåsare
चतुर्थ कल्प	Kvartär
द प्रोटोकॉल ऑफ द एल्डर्स ऑफ जियोन	Sions vises protokoll
सेंटीमीटर-ग्राम-सैकिण्ड इकाई प्रणाली	CGS-systemet
एलिजाबेथ ब्लैकबर्न	Elizabeth Blackburn
कैरोल ग्रीडर	Carol Greider
बेलुश्या गुबा	Belusja Guba
नाइट्सब्रिज	Knightsbridge
डाएप्रोटोडोंटिया	Fåframtandade pungdjur
नैश्नल रेल	National Rail
स्थिरवैद्युतिकी	Elektrostatik
कुना (मुद्रा)	Kroatisk kuna
पूर्वी कैरेबियाई डॉलर	Östkaribisk dollar
हेमिपटेरा	Halvvingar
कोयल (पक्षी)	Gökar
सालवीन नदी	Salween
अर्गुन नदी	Argun (flod i Asien)
फ़नेन	Fyn
अंतरिक्ष शोध यान	Rymdsond
जयपत्र	Lagerväxter
उपग्रह	Satellit
याक	Jak
हफथाली लोग	Heftaliter
टिटहरी	Snäppor
बीएमडब्लू (BMW)	BMW
फिलिस्तीनी मुक्ति संगठन	Palestinska befrielseorganisationen
सोआ	Dill
कार्डिनल रिचलू	Armand Jean du Plessis de Richelieu
द्विपद प्रमेय	Binomialsatsen
गाँजे का पौधा	Hampa
हम्पी	Hampi
लौंग	Kryddnejlika
जोज़फ़ गोस्लाव्सकी	Józef Gosławski
फ़ोनीशियाई वर्णमाला	Feniciska alfabetet
धनेश	Näshornsfåglar
सरल (वृक्ष)	Gransläktet
तमिल लिपि	Tamilska alfabetet
हिरोडोटस	Herodotos
कोलेजन	Kollagen
टेलर स्विफ्ट	Taylor Swift
क्रॉयडन बरो	London Borough of Croydon
सिउदाद बोलिवर	Ciudad Bolívar, Venezuela
लक्षद्वीप	Lakshadweep
ना-डिने भाषाएँ	Na-dene
इंफोसिस	Infosys
सन्निकटन	Approximation
एस्‍टन मार्टिन	Aston Martin
जापान सागर	Japanska havet
जैविक नृविज्ञान	Fysisk antropologi
लिव ऐंड लेट डाई	Leva och låta dö (film)
ओस्टीइक्थीज़​	Benfiskar
ठट्टा	Thatta
पूर्वी एशिया	Östasien
मध्य एशिया	Centralasien
पश्चिमी एशिया	Sydvästasien
जूं	Huvudlus
उत्तर अफ़्रीका	Nordafrika
सान्दिनिस्ता राष्ट्रीय मुक्ति मोर्चा	Sandinisterna
दक्षिणी अफ्रीका	Södra Afrika
पूर्वी अफ्रीका	Östafrika
मध्य अफ्रीका	Centralafrika
कैडिलैक	Cadillac
शिकारी-फ़रमर	Jägare-samlare
आथाबास्काई भाषाएँ	Athabaskiska språk
पश्चिमी यूरोप	Västeuropa
मध्य यूरोप	Centraleuropa
डेमलर एजी	Daimler AG
एओऍल	AOL
फेरारी	Ferrari
एसी/डीसी	AC/DC
फिएट	Fiat
मध्य अमेरिका	Centralamerika
दर्शन का इतिहास	Filosofins historia
होटल	Hotell
शाका ज़ूलू	Shaka Zulu
अफ़ार भाषा	Afar (språk)
आइएसओ 3166-2:आइएन	ISO 3166-2:IN
क्रिस्ताडेल्फियन	Kristadelfianer
देवप्रयाग	Devaprayag
आर्सेलर मित्तल	Arcelor Mittal
नुरेम्बर्ग कानून	Nürnberglagarna
जंगली सरसों	Åkersenap
ज्यूडी डेंच	Judi Dench
हमाम	Hamam
दालचीनी	Kanel
अल्ताई भाषा	Altaiska
जेफर्सन सिटी	Jefferson City
अब्दुस सलाम	Abdus Salam
बेटन रूज	Baton Rouge
मग़रेब	Maghreb
अम्हारी भाषा	Amhariska
शल्कपंखी गण	Fjärilar
रेती	Sandbank
पारगम्यता	Permeabilitet
बड़ा बटेर	Vaktel
शतावर	Sparris
गोगुरयेओ	Koguryo
चमगादड़	Fladdermöss
बेकजे	Baekje
सिल्ला	Silla
हैंड्स फ्री	Handsfree
एल एस्कोरल	El Escorial
बाल	Hår
परिमाप	Omkrets
रासू	Mustela
द वैंपायर डायरीज़	The Vampire Diaries
अंगोला मुक्ति जनता अंदोलन - श्रम दल	MPLA
माया सभ्यता	Mayakulturen
इन्का साम्राज्य	Inkariket
काउण्टी	County
हमादान	Hamadan
आरामाईक	Arameiska
गैरी कास्परोव	Garri Kasparov
वृत्ति	Yrke
गर्भस्राव	Missfall
अंगोला पूर्ण स्वतंत्रता राष्ट्रीय संघ	Unita
कोष़िक्कोड	Kozhikode
कासिमिर फुन्क	Casimir Funk
पैराडाइज लॉस्ट	Det förlorade paradiset
व्यावहारिक विज्ञान	Tillämpad vetenskap
सैंडविच	Sandwich
वस्त्र	Textil
फील्ड्स मेडल	Fieldsmedaljen
सेंट पॉल, मिनेसोटा	Saint Paul, Minnesota
शैलीविज्ञान	Stilistik
ऍस॰ऍन॰१८५	SN 185
पाइथन (प्रोग्रामन भाषा)	Python (programspråk)
हिजरी	Muslimska kalendern
ईरान का इतिहास	Irans historia
