افريقا	Afrika
د توهوکو سونامي او رېږدله ۲۰۱۱	Jordbävningen vid Tohoku 2011
واتسلاف هاول	Václav Havel
د ورېښم لار	Sidenvägen
جېن آسټن	Jane Austen
کوردي ژبه	Kurdiska
زرۍ	Millennium
علمی نوم	Binomial nomenklatur
هنرېک ايبسن	Henrik Ibsen
ماموت	Mammutar
څلورڅنډی	Fyrhörning
د سرکوزي والگی	Svininfluensa
اوزون	Ozon
جذام	Lepra
مخ (اناتومي)	Ansikte
خپلواکي	Självständighet
ښوون	Olivträd
سليمان	Salomo
یاهو!	Yahoo!
کرښه (مېچپوهنه)	Rät linje
فرعون	Farao
کلاشېنکوف اې کې ۴۷	AK-47
څپه	Vågrörelse
د وینې سره کرویات	Röd blodkropp
سند	Sindh
فرانسېس بیکن	Francis Bacon
معمولي مندته	Aprikos
نيکول کېډمېن	Nicole Kidman
هايکو	Haiku
عثمان بن عفان	Usman ibn Affan
وگړشمېرنه	Demografi
ځمکواکي	Feodalism
اوبړۍ	Alger
نتالي پورټمېن	Natalie Portman
هېرټا مولر	Herta Müller
مکډونالډز	McDonald’s
يوکوهوما	Yokohama
گړپوهنه	Morfologi (lingvistik)
ويليم فاکنر	William Faulkner
هندواڼه	Vattenmelon
پخلی	Matlagning
بادي ژرنده	Väderkvarn
د حماس اسلامي غورځنگ	Hamas
آيت الله روح الله خميني	Ruhollah Khomeini
ليزر	Laser
تبه	Feber
تيد	Teide
کوچنی وټه	Mikroekonomi
رجب طيب اردوغان	Recep Tayyip Erdoğan
خزدکپوهنه	Entomologi
تبر	Yxa
علي بن ابي طالب	Ali ibn Abi Talib
گورجی سپی	Setter
لویه وټه	Makroekonomi
انسولين	Insulin
بازارموندنه	Marknadsföring
سرشمېرنه	Folkräkning
ابن رشد	Averroës
لسيزه	Decennium
بادام	Mandel
څښاک	Dryck
نيانډرټال	Neandertalmänniska
الهي کمېډي	Den gudomliga komedin
ووب	Vävnad
پروېز مشرف	Pervez Musharraf
لوط	Lot
دهاډرونو ستر تعجیل کوونکي ماشین	Large Hadron Collider
يحيی	Johannes Döparen
دیلما روسف	Dilma Rousseff
ساندرا بللاک	Sandra Bullock
جراحي	Kirurgi
بياتي	Sax
نفرتيتي	Nefertiti
لمونځ	Bön
سکايپ	Skype
غږپوهنه	Fonologi
هارولډ پينټر	Harold Pinter
د حزب الله اسلامی غورځنگ	Hizbollah
باو	Syfilis
د آشور واکمني	Assyrien
ودانۍ	Byggnad
سوني	Sony
باريس ولاديميروويچ پاسترناک	Boris Pasternak
کونستانتين اېدواردوويچ تسيولکوفسکي	Konstantin Tsiolkovskij
سينما	Biograf
بودجه	Budget
څپواټن	Våglängd
داوود	Kung David
کنگل هاکي	Ishockey
کوردستان	Kurdistan
د موس مقياس	Mohs hårdhetsskala
بواسيرونه	Hemorrojder
هېنريک سېنکېويچ	Henryk Sienkiewicz
ککرۍ پتنگ	Dödskallesvärmare
كوكايين	Kokain
فینیکیان	Fenicien
شهادت	Shahadah
د بابل ځوړند بڼ	Babylons hängande trädgårdar
حاکميت	Suveränitet
خديجه بنت خويلد	Khadidja
نیلي نهنگ	Blåval
څېړنه	Forskning
سولي پرودممه	Sully Prudhomme
اوبپوهنه	Hydrologi
بوکر	Kon
د مورنۍ ژبې نړيواله ورځ	Internationella modersmålsdagen
سهيونېزم	Sionism
د طالبانو اسلامي غورځنگ	Taliban
اناکزیمېنډر	Anaximander
کورکمن	Gurkmeja
ځنگلي پيشو	Djungelkatt
عبدالله گل	Abdullah Gül
ختيځپوهنه	Orientalism
کرېشنا	Krishna
ساباوري	Animism
ليکچه	Anteckningsbok
مالیه	Finans
وچکالي	Torka
تور مرچ	Pepparplanta
ياقوت	Rubin
کشمير	Kashmir
ټولپوښتنه	Folkomröstning
كپېړ	Krokodiler
مولانا جلال الدين محمد بلخي	Jalal al-din Rumi
کارغه	Corvus
پلزن	Plzeň
توکمپوهنه	Etnologi
مټ	Arm
زمرد	Smaragd
وحشي پيشو	Vildkatt
شکرخوره	Kolibrier
فدراسيون	Federation
شونډکيز چرگ	Kalkoner
انسلم	Anselm av Canterbury
حامد کرزی	Hamid Karzai
یان هوس	Jan Hus
کورني آلو	Plommon
اندرس بېرينگ برېويک	Anders Behring Breivik
شينټاغی	Blåkråkor
احمد سلمان رشدي	Salman Rushdie
افسانه	Legend
داریوش ۱	Dareios I
توت	Mullbärssläktet
اېنټروپي	Entropi
ټوبه ټيک سېنگ ولسوالۍ	Toba Tek Singh
گجرات ولسوالۍ	Gujrat
هرات	Herat
کودتا	Statskupp
کندهار	Kandahar
تړمه ييزه پراختیا	Utvidgningskoefficient
غشی	Pil (vapen)
غږتاندی	Mikrofon
ابن عربي	Ibn 'Arabi
توراڼه	Svart drongo
اپيم	Opium
اوسيريس	Osiris
ازاد بازار	Fri marknad
اوکاړه ولسوالۍ	Okara (distrikt)
احمد شاه دراني	Ahmed shah Durrani
اسراييل لرغونتون	Israel Museum
جي اس ام	GSM
اېشواريه رای	Aishwarya Rai
نوغپوهنه	Genealogi
مېلټون فرايډمېن	Milton Friedman
بانکنوټ	Sedel
نړيواله جنايي محکمه	Internationella brottmålsdomstolen
رادار	Radar
د اسلامي همکاريو سازمان	Islamiska konferensorganisationen
د بابل واکمني	Babylonien
جبران خليل جبران	Khalil Gibran
روبي وېليمز	Robbie Williams
د سږو سرطان	Lungcancer
مهايانا	Mahayana
امريتسر	Amritsar
اس ـ ۳۰۰	S-300
مير تشيال تمځی	Mir
لنډه کيسه	Novell
د لبنان جگړه ۲۰۰۶	Libanonkriget 2006
گرځندويي	Turism
شاعر	Poet
بادي توربین	Vindkraftverk
يو گونديز حکومت	Enpartistat
مصري ژبه	Egyptiska
هارون	Aron
ایبولا ناروغۍ	Ebolafeber
ژونځمکپوهنه	Biogeografi
غونډ	Regemente
سور كانگرو	Röd jättekänguru
هارپي	Harpyja (fågel)
ابسيډين	Obsidian
وېشنيزه:حکومت	Kategori:Myndigheter
د کيلو کلاس اوبتل	Projekt 877 Paltus
سپايس گرلز	Spice Girls
مېزپاسی سولگر	Skrivbordsdator
پاراستامول	Paracetamol
عبدالله بن عبدالعزیز آل سعود	Abdullah bin Abdul Aziz
سيد على خامنه‌اى	Ali Khamenei
امام علي رحمانوف	Emomalii Rahmon
اسلام کريموف	Islam Karimov
گيودو ويسترويلي	Guido Westerwelle
پښتو ژبه	Pashto
عرب سمندرگی	Arabiska havet
گرمټ	Borrmaskin
دیو جانس کلبی	Diogenes
هېرويين	Heroin
کوفین	Koffein
اندروجن	Androgener
سيمټيکس	Semtex
راوړنې	Import
ببرک کارمل	Babrak Karmal
حفيظ الله امين	Hafizullah Amin
يوسف عبدالله القرضاوي	Yusuf al-Qaradawi
تريخی	Gallblåsa
انتوني هوپکينز	Anthony Hopkins
مرکزي بانک	Centralbank
جيپور	Jaipur
سيبري پړانگ	Sibirisk tiger
القلويد	Alkaloid
ترور	Tant
یوسيف ۲	Josef II (tysk-romersk kejsare)
تره	Onkel
ويلهلم لودويگ گايگر	Wilhelm Geiger
کریستوف والڅ	Christoph Waltz
ډورن بورېس اندرېويچ	Bernhard Dorn
عبدالاحد مومند	Abdul Ahad Mohmand
ښاري انجنيري	Väg- och vattenbyggnad
وړانگپوهنه	Radiologi
اليگارشي	Oligarki
زړه گراف	Elektrokardiografi
د افغانستان رپی	Afghanistans flagga
ايسيس	Isis
ځوانکې	Akne
اېترنټ	Ethernet
چکوتره	Pompelmus
بشري پوهنې	Humaniora
ټپوس	Brun glada
نهنگی شارک	Valhaj
بېنډۍ	Okra
د سلطان احمد جومات	Blå moskén, Istanbul
اټومي بټۍ	Kärnreaktor
مايکروسافټ اوټلوک	Microsoft Outlook
بنگالي پړانگ	Bengalisk tiger
مالداري	Djurskötsel
معمولي کپر (کب)	Karp
اولوموڅ	Olomouc
مورفين	Morfin
د صرافی ماشین	Uttagsautomat
نخود	Kikärt
نوح	Noa
والټ وايټمېن	Walt Whitman
غاښۍ	Gaffel
چوپسټېک	Ätpinnar
د خوړو او کرهڼې سازمان	FN:s livsmedels- och jordbruksorganisation
براشوف	Brașov
زنه	Haka
قطبي گيدړ	Fjällräv
سياستوال	Politiker
شپږڅنډی	Hexagon
د افغانستان جگړه (۱۹۷۹-۱۹۸۹)	Afghansk-sovjetiska kriget
ختيځ هند کمپنۍ	Brittiska Ostindiska Kompaniet
الكساندر نيكولاېويچ رومانوف	Alexander II av Ryssland
اسکلېپيوس	Asklepios
ژان اېف کوستو	Jacques-Yves Cousteau
وزير (حکومت)	Minister
گرو نانک	Guru Nanak
کانپوهنه	Mineralogi
شېنگن تړون	Schengenregelverket
سابه خوړونکي	Vegetarianism
امپيدوکلېس	Empedokles
اوېستا	Avesta (religiös skrift)
ستر جنرال	General
شاه جهان	Shah Jahan
شېر شاه سوري	Sher Shah
خوشحال خان خټک	Khushal Khan Khattak
د الله نومونه	Guds 99 namn
د ساسانيانو واکمني	Sasanider
هوروس	Horus
پولنډبال	Polandball
راټکو مېلادېچ	Ratko Mladić
انځورگري	Teckning (konst)
پرېژه	Skilsmässa
باليووډ	Bollywood
اېف – ۱۶	Lockheed Martin F-16 Fighting Falcon
کلوژ-ناپوکا	Cluj-Napoca
مرزا حسين علي بهاالله	Bahaullah
نېغ انسان	Homo erectus
ماهر انسان	Homo habilis
هاډرون	Hadron
سوسن	Liljekonvalj
اينو	Ainu
تسپود	Inflammation
بايوم	Biom
لروين	Kikare
گبين مچۍ	Honungsbin
آوسټرالوپیتهېکوس	Australopithecus
نړېواله جگړه	Världskrig
روي شنکر	Ravi Shankar
چندرۍ	Humle
کرښی	Linjal
قضايي قوه	Dömande makt
ماگنوس کارلسن	Magnus Carlsen
مرزا اسد الله خان غالب	Mirza Ghalib
خاښۍ	Högaffel
ايالت	Delstat
کندوز	Kunduz
انجه	Dyvelsträck
مارشال	Marskalk
انټيکولينرجيک	Antikolinergika
مالي کړکېچ	Finanskris
هزاره گان	Hazarer
سليكان ډای اکسايډ	Kiseldioxid
کورکورکه	Pärlhalsduva
د وېلسن ناروغي	Wilsons sjukdom
الكساندر الكساندروويچ رومانوف	Alexander III av Ryssland
بلخ ولايت	Balkh (provins)
مشهد	Mashhad
رنځورپالنه	Omvårdnad
ټولنیزه ولسواکي	Socialdemokrati
د ستنې طب	Akupunktur
سفارت	Ambassadör
کجير	Gamar
عقيق	Agat
اپلاتون او دولت	Staten (Platon)
ارستوکراسي	Aristokrati
زکات	Zakat
گيورگې ژوکوف	Georgij Zjukov
د اوبو چينه	Vattenkälla
بڼ پالنه	Trädgårdsskötsel
وېليم جېمز	William James
غوڅندۍ	Såg
سورلنډی	Schakaler
د موسم بدلون	Klimatförändring
واټن	Avstånd
پراگماتيزم	Pragmatism
وړکتون	Barnträdgård
ابن ميمون	Maimonides
شين یاقوت	Safir
پينځڅنډی	Pentagon
ټوټالېټر	Totalitarism
کوچيان	Nomader
درملپوهنه	Farmakologi
د زیات شوي ارزښت ورکړېنه	Mervärdesskatt
خټنه	Viskositet
لوي سپين شارک	Vithaj
د جمشید پلاز	Persepolis
انتراکس	Mjältbrand
خشايارشا	Xerxes I
مزار شريف	Mazar-e Sharif
مېگ ۲۹	Mikojan-Gurevitj MiG-29
د ذرو تعجيل کوونکي ماشين	Partikelaccelerator
ډیمېټروډون	Dimetrodon
سپاینوسور	Spinosaurus
خلافت	Kalifat
معمولي آلوبالو	Surkörsbär
زغوپرواژی	Bekämpningsmedel
ډومنيک ډي وېلپين	Dominique de Villepin
د قم ولايت	Qom (provins)
گڼرسنۍ	Multimedia
کوروند	Korund
سریښ	Lim
والي	Guvernör
توکمکښنه	Etnografi
کرما په هندويزم کې	Karma
آيورويدا	Ayurveda
د جال تړونونه	Kommunikationsprotokoll
جوليوس روبرټ اوپنهايمر	Robert Oppenheimer
باختر	Baktrien
ولاديمير ولاديميروويچ ماياکوفسکي	Vladimir Majakovskij
د هند پېښليک	Indiens historia
مستعمره	Koloni
ملخوزه	Bockhornsklöver
اخوان المسلمون	Muslimska brödraskapet
تومور	Tumör
الياس	Elia
طاعون	Pest
د سېټريک اسيد څرخ	Citronsyracykeln
دهرما	Dharma
ټاسماني شيطان	Tasmansk djävul
توپاز	Topas
۹×۱۹ مرمی	9 × 19 mm Parabellum
آندروختونوس اوسترالیس	Nordafrikansk tjocksvansskorpion
ابد	Evighet
میرمېسیا پیلوسولا	Jack Jumper
زابل ولايت	Zabol (provins)
زکريا	Sakarias
مسراشمیت مې-۲۶۲	Messerschmitt Me 262
ازاد شعر	Fri vers
شگموښی	Sandpapper
ايليوشين-۷۶	Iljusjin Il-76
هربرټ سپېنسر	Herbert Spencer
زلمی خليلزاد	Zalmay Khalilzad
سارک	Sydasiatiska regionala samarbetsorganisationen
يوسف	Josef, Jakobs son
د لويديځ سلاوي ژبې	Västslaviska språk
اروپايي صنوبر	Gran
شين صنوبر	Blågran
چمبل	Violsläktet
پولي ونيل کلورايډ	Polyvinylklorid
نانگه	Röda vinbär
قبطيان	Kopter
نارنج	Pomerans
اناناس	Ananassläktet
کاجول	Kajol
ايگلا	9K38 Igla
ځنگلي مېږی	Röd skogsmyra
مېگ ۳۱	Mikojan-Gurevitj MiG-31
پښيميسل اوتاکار ۲	Ottokar II av Böhmen
رودلف ۲ هابسبورگ	Rudolf II
عبد العزيز بن عبدالرحمن بن فيصل آل سعود	Ibn Saud
دېوالي	Konkurs
بوغمه	Ödem
محمد ظاهر شاه	Zahir Shah
ډگر جنرال	Generallöjtnant
بريد جنرال	Brigadgeneral
البرخت فون والدشتاین	Albrecht von Wallenstein
امير امان الله خان	Amanullah Khan
عمران خان	Imran Khan
یان لوگزامبورگ	Johan den blinde
روهتاس	Rohtas fort
جيارډيا لامبليا	Giardia lamblia
ميل می ۸	Mil Mi-8
مېسرشمېت بي اف ۱۰۹	Messerschmitt Bf 109
مسراشمیت بي اف ۱۱۰	Messerschmitt Bf 110
یوزي	Uzi
ريچارډ هولبروک	Richard Holbrooke
ميل می ۲۴	Mil Mi-24
ايساف	International Security Assistance Force
ټې-۷۲	T-72
یونکرس یو ۸۸	Junkers Ju 88
کارل ۴	Karl IV (tysk-romersk kejsare)
مېگ ۲۳	Mikojan-Gurevitj MiG-23
ارهنډه	Ricin (växt)
اېرو ال-۳۹ الباتروس	Aero L-39 Albatros
نېښ لرونکي بوټي	Brännässla
د آلمان ملي دموکراتیک گوند	Tysklands nationaldemokratiska parti
رشقه	Blålusern
لتا منگېشکر	Lata Mangeshkar
سره غوړیانه	Krollilja
ادميرال پتنگ	Amiralfjäril
ځريځه	Safflor
تورن جنرال	Generalmajor
گزک بوټي	Svartkämpar
ال – ۴۱۰	Let L-410
تبو	Tabu (skådespelare)
غوماشی	Malariamyggor
د افغانستان ولايتونه	Afghanistans provinser
تاووس پتنگ	Påfågelöga
جوهي چاولا	Juhi Chawla
پريانکا چوپړا	Priyanka Chopra
ويديا بالان	Vidya Balan
ناصر الدين شاه قاجار	Nassredin Shah
سپما گڼون	Sparkonto
د اس وې ډې دراگونوف ټوپک	Dragunov
یرژي پوديېبراد	Georg Podiebrad
وټه	Ekonomi
د ځمکې گړۍ	Earth Hour
رام	Rama
محمد علی جناح	Muhammed Ali Jinnah
وچکۍ تبه (محرقه)	Tyfus
اتره	Torso
توت خوره	Finkar
شاتوت	Svart mullbär
سنځله	Silverbusksläktet
ښاريتوب	Urbanisering
غونجېدنه (وټپوهنه)	Deflation
خپلپالنه	Nepotism
باور کارټ	Kreditkort
پامير	Pamir
وېلنی	Gråmynta
سيسۍ	Ripor
سرطانپوهنه	Onkologi
گلايکوليسېز	Glykolys
شکودا فابيا	Škoda Fabia
گایوس واليریوس کاتولوس	Catullus
بلوچستان (پاکستان)	Baluchistan
غالۍ	Matta
موزيکپوهنه	Musikvetenskap
ليندۍ	Stenbocken (stjärntecken)
ابسه	Varböld
گانډۍ	Bikupa
کدو	Pumpa
د کرمان ولايت	Kerman (provins)
بدخشان ولايت	Badakhshan (provins)
لیکاڼۍ	Penna
اتڅنډی	Oktogon
مچ	Husfluga
وړانديز (وټپوهنه)	Utbud och efterfrågan
پارلماني حکومت	Parlamentarism
برغټ	Pallaskatt
چمپا	Magnolia champaca
نگوس	Stereotyp
نورستان ولايت	Nurestan (provins)
ډولومیت	Dolomit
جابر بن حیان	Geber
بورقه	Burka
کرايووا	Craiova
کورکوری	Turturduva
روحانيت	Andlighet
انافلاکسي	Anafylaxi
لاسپېله	Handskar
محمد زکريا رازي	Razi
گرافېن	Grafen
رنځېږن	Smittämne
ليکپاکټ	Kuvert
کانفدراسيون	Konfederation
ټي اېن ټي	Trinitrotoluen
چېکيان	Tjecker
بغلان ولايت	Baghlan (provins)
ابټ آباد	Abbottabad
يزد ولايت	Yazd (provins)
قم	Qom
توماس اېډورډ لارېنس	T.E. Lawrence
بيولوژيکي وسلې	Biologiska vapen
ټېغکه	Törnskator
عباس ۱	Abbas den store
باميان ولايت	Bamiyan (provins)
ای اچ ۶۴ آباچی	Boeing AH-64 Apache
لمرگلی	Solros
د سهېلي خراسان ولايت	Sydkhorasan
پېښه	Olycka
کرمان	Kerman
احمديت	Ahmadiyya
د اگرې کلا	Röda fortet i Agra
د مذهب خپلواكي	Religionsfrihet
تيتر	Pärlhöns
ځانگړواله	Individualism
بادغيس ولايت	Badghis
قبة الصخرة جومات	Klippdomen
رېبز	Kvast
ټوپولف ټو-۱۵۴	Tupolev Tu-154
نړیواله پېغله	Miss World
آټوکراسي	Envälde
خواړه ساتنه	Konservering
مارگريت ميتچېل	Margaret Mitchell
آرگېنين	Arginin
سوخوی سو ٢٧	Suchoj Su-27
ام۱ آبرامس	M1 Abrams
غزني	Ghazni
وختتېری	Underhållning
کندهار ولايت	Kandahar (provins)
کاپيسا ولايت	Kapisa (provins)
هلمند ولايت	Helmand (provins)
فارياب ولايت	Faryab (provins)
محراب	Mihrab
د الازهر پوهنتون	Al-Azharuniversitetet
بوتل پزی څوڅ	Öresvin
اوسېلوسکوپ	Oscilloskop
توحيد	Tawhīd
بي-٥٢ سټراټوفورټرېس	Boeing B-52 Stratofortress
کوډيين	Kodein
قبله	Qibla
بېديانۍ پيشو	Sandkatt
تانبه:تاریخ	Portal:Historia
واتسلاف ۱	Wencel I av Böhmen
د اسلام پنځه بنسټونه	Islams fem pelare
زوی	Son
سکاره	Träkol
شنقار	Jaktfalk
د ژونکې تيوري	Cellteorin
فولېرېن	Fulleren
نېکروسېز	Nekros
د واشنگټن څلی	Washingtonmonumentet
آنتونوف-۲۲۵	Antonov An-225
وييپوهنه	Lexikologi
ننگرهار ولايت	Nangarhar (provins)
درونکښ	Lyftkran
روژه	Sawm
کاني اوبه	Mineralvatten
نولۍ	Tamiller
لگښت ساتنې تگلاره	Protektionism
آنتیستنس	Antisthenes
مرکزي حکومت	Enhetsstat
اسماني کتابونه او صحيفې	Helig skrift
ژبساپوهنه	Psykolingvistik
اوبزمکپوهنه	Hydrogeologi
د مزلو د اړتیاوو د مرتبو سلسله	Behovshierarki
د بازار وټه	Marknadsekonomi
اپیکوریزم	Epikurism
اورمازده	Ahura Mazda
درملنه	Terapi
اريايان	Arier
يعقوب کندي	Al-Kindi
گورجېس	Gorgias
سياسي فلسفه	Politisk filosofi
جوهر دوداییف	Dzjochar Dudajev
ايوب	Ayub
د افغانستان ولسي لاره	Sououd-e-Melli
اېکونومېسټ	The Economist
تورگوت اوزال	Turgut Özal
نورتورپ گرومان بي ۲ سپېريټ	Northrop Grumman B-2 Spirit
لمريز لېږديز کليز	Persiska kalendern
فراه ولايت	Farah (provins)
غزني ولايت	Ghazni (provins)
وړانگدرملنه	Strålbehandling
کوټه	Sal (rum)
شاپ	Stolpiller
پوهنځی	Fakultet
نکوټي يانا ټیبېکم	Virginiatobak
سيد حسن نصرالله	Hassan Nasrallah
دايکندي ولايت	Daikondi (provins)
پنجشېر ولايت	Panjshir (provins)
زړه نابری	Hjärtsvikt
ټوپولف ټو-۹۵	Tupolev Tu-95
د جانسي راني	Rani Lakshmibai
بلخ	Balkh
امونيم نايټرېټ	Ammoniumnitrat
آسيايي زمري	Asiatiskt lejon
کامبوجيه ۲	Kambyses II
سرپل ولايت	Sar-e Pol (provins)
پکتيا ولايت	Paktia (provins)
خوارزم	Khwarezm
بهرونه	Export
ايټا جېمز	Etta James
كنسرټ	Konsert
هرات ولايت	Herat (provins)
سمنگان ولايت	Samangan (provins)
نيمروز ولايت	Nimruz
روزگان ولايت	Oruzgan (provins)
جوزجان ولايت	Jowzjan (provins)
ميدان وردگ ولايت	Wardak (provins)
کورکوړۍ	Biätare (familj)
شننيزه فلسفه	Analytisk filosofi
سېموېل کولټ	Samuel Colt
جلالکوټ	Jalalabad
خيبر پښتونخوا	Khyber Pakhtunkhwa
سينوسايټس	Bihåleinflammation
موکشا	Moksha
اسماعيل	Ismael
نسخوږی	Magsmärta
زينت امان	Zeenat Aman
لسڅنډی	Dekagon
چينايي فلسفه	Kinesisk filosofi
بوينگ بي ۲۹	Boeing B-29 Superfortress
کرينه کپور	Kareena Kapoor
بوينگ بي ۱۷ فلاينگ فورټرېس	Boeing B-17 Flying Fortress
اسيډوسېز	Acidos
واسلين	Vaselin
اوبي ژرنده	Vattenkvarn
فلېپيني عقاب	Apörn
لغمان ولايت	Laghman (provins)
پيېرې لويېس ناپولېيون کيوانارې	Louis Cavagnari
مولتان	Multan
کوټه (ښار)	Quetta
پکتيکا ولايت	Paktika (provins)
خوست ولايت	Khost (provins)
کيفيت	Kvalitet
بريدمن	Löjtnant
علي اکبر هاشمي رفسنجاني	Ali Akbar Hashemi Rafsanjani
ايمن الظواهري	Ayman az-Zawahiri
رنځورپاله	Sjuksköterska
غور ولايت	Ghor
تخار ولايت	Takhar (provins)
کندوز ولايت	Kondoz (provins)
د پاکستان د خلکو گوند	Pakistans folkparti
د اتریش د خلک ګوند	Österrikiska folkpartiet
ايبوپروفېن	Ibuprofen
کارسک گيدړ	Korsakräv
ابهيشېک بچچن	Abhishek Bachchan
سالنډي	Dyspné
کونړ ولايت	Konar (provins)
پروان ولايت	Parvan (provins)
آيت	Ayah
قول اردو	Armékår
ايمفيسېما	Emfysem
احمد ياسين	Ahmad Yassin
برهان الدين رباني	Burhanuddin Rabbani
پريټي زېنتا	Preity Zinta
صحابه	Sahaba
سمایلوډون	Smilodon
مېرمن	Maka (äktenskap)
اوڅنډی	Heptagon
د افغانستان پېښليک	Afghanistans historia
کابل ولايت	Kabul (provins)
ټېډ	TED (konferens)
آندری کاراطايف	Andrej Korotajev
سلطان محمود غزنوي	Mahmud av Ghazni
د زړه ارېتميا	Arytmi
پینټریټ	Pentyl (sprängämne)
اسلامي هنر	Islamisk konst
اسلامپالنه	Islamism
پوښتنه	Fråga
هیکسوجن	Hexogen
ميناتو	Minato
وزيرستان	Waziristan
اوښلن لوگی	Tårgas
کوستا کونکورديا	M/S Costa Concordia
د زړه ناروغۍ	Hjärtsjukdomar
ابو حنيفه (امام اعظم)	Abu Hanifa
مرکاوا شوبله	Merkava
جوهر	Essens
ټوپولف ټو-۱۶۰	Tupolev Tu-160
شيطاني آيات	Satansverserna
خيبر دره	Khyberpasset
شاپور ۱	Shahpour I
سيلدينافيل	Sildenafil
تکبیر	Takbīr
مالي کال	Räkenskapsår
سوخوی سو-۲۵	Suchoj Su-25
پرولاکټين	Prolaktin
ټانگتوره	Spikklubbesläktet
تیسفون	Ktesifon
ډېلي ټيليگراف	The Daily Telegraph
سټرېپټومايسين	Streptomycin
هندي څمڅه منگور	Glasögonorm
ټې-۹۰	T-90
نادر شاه افشار	Nadir Shah
د بوټي هورمون	Fytohormoner
ټېټراسايکلين	Tetracyklin
اسلامي فلسفه	Islamisk filosofi
سبسيډي	Subvention
د پراگ کلا	Pragborgen
آنتونوف-۱۲۴	Antonov An-124
هود	Hud (islamisk profet)
خړانکه	Piplärkor
ملا محمد عمر	Mohammed Omar
فريد الدين عطار	Farid ad-din Attar
کړنی سېک	Aktionspotential
امام احمد بن حنبل	Ahmad ibn Hanbal
سوخوی پک فا	Suchoj PAK FA
احمد ظاهر	Ahmad Zahir
زيډووډين	AZT
محمد يونس خالص	Mohammad Yunus Khalis
افغانۍ	Afghani
مېگ ۲۵	Mikojan-Gurevitj MiG-25
د سږو اوندنه خنډيزه ناروغي	Kroniskt obstruktiv lungsjukdom
احمد شاه مسعود	Ahmad Shah Massoud
داسو میراژ- ۲۰۰۰	Dassault Mirage 2000
نهڅنډی	Nonagon
آزاد کشمير	Azad Kashmir
اوبسپی	Uttrar
چينايي دوديزه درملگري	Traditionell kinesisk medicin
گېلگېت بالتستان	Gilgit-Baltistan
بلوڅان	Balucher
ټراک	Trädgårdssångare
کېټ وېنسلېټ	Kate Winslet
نيوموتوراکس	Lungkollaps
اورو لانکاسټر	Avro Lancaster
لرغونې فلسفه	Antikens filosofi
زين العابدين بن علي	Zine El Abidine Ben Ali
يوني ماشين	Jonmotor
نېټه	Datum
ایزو ۹۰۰۰	ISO 9000
اليسع	Elisha
معمولي څوڅ	Sadeldelfin
ترچ مير	Tirich Mir
مطبوعاتي اعلاميه	Pressmeddelande
محمد نجيب الله	Mohammed Najibullah
قونسلگري	Konsul (utrikesförvaltning)
زنځيري غوڅندۍ	Motorsåg
فدرالي قبايلي سيمې	Federalt administrerade stamområden
گونگه ښارو	Sidensvansar
د مذهب فلسفه	Religionsfilosofi
ډايازيپم	Diazepam
سوخوی سو-۲۴	Suchoj Su-24
کورټيکوسټېرويډ	Kortikosteroid
غوږور ښاپېرک	Långörad fladdermus
چندړ	Santalum album
سيد قطب	Sayyid Qutb
بوکو حرام	Boko Haram
السلام عليکم	Assalamu alaikum
خسرو پرويز	Khusrov II
اېنډوسکوپي	Endoskopi
مېړه	Make (äktenskap)
طبله	Tabla
غونډل	Fågelspindlar
گندهارا	Gandhara
کوډېکس	Codex
يان ژيژکا	Jan Žižka
يوم	Spade
ستره لوبه	Det stora spelet
لاجورد	Lapis lazuli
مقتدی الصدر	Muqtada al-Sadr
چت	Golv
يزيد بن معاويه	Yazid I
آلانين	Alanin
ښکلي هنرونه	De sköna konsterna
افدرين	Efedrin
ای اچ ۱ کبرا	Bell AH-1 Cobra
سورة الفاتحة	Al-Fatiha
سورة البقرة	Al-Baqara
سورة آل عمران	Al-Imran
سورة النساء	An-Nisa
سورة المائدة	Al-Ma'ida
سورة الأنعام	Al-An'am
سورة الأعراف	Al-A'raf
سورة الأنفال	Al-Anfal
سورة التوبة	At-Tawba
سورة يونس	Yunus (sura)
سورة هود	Hud (sura)
سورة يوسف	Yusuf (sura)
سورة الرعد	Ar-Ra'd
سورة إبراهيم	Ibrahim (sura)
سورة الحجر	Al-Hijr
جنگسالار	Krigsherre
سورة النحل	An-Nahl
د سږو امبولي	Lungemboli
ښي لاسی او کيڼ لاسی ترافيک	Höger- och vänstertrafik
سورة الاسراء	Al-Isra
سورة الكهف	Al-Kahf
سورة مريم	Maryam
سورة طه	Ta-Ha
سورة الأنبياء	Al-Anbiya
سورة الحج	Al-Hajj
سورة المؤمنون	Al-Mu'minun
سورة النور	An-Nur
سورة الفرقان	Al-Furqan
سورة الشعراء	Ash-Shuara
سورة النمل	An-Naml
سورة القصص	Al-Qasas
سورة العنکبوت	Al-Ankabut
سورة الروم	Ar-Rum
De Havilland Mosquito	De Havilland DH 98 Mosquito
کيشپ	Sköldpaddor
شکودا اوکټاويا	Škoda Octavia
سټېنگر FIM-92	FIM-92 Stinger
سورة لقمان	Luqman
دماغي مړينه	Hjärndöd
مخ (چاپي رسنۍ)	Page
هېوادپال	Patriot (olika betydelser)
شوننېزم	Chauvinism
امريکا غږ	Voice of America
درې بعدي چاپگر	Friformsframställning
سورة السجدة	As-Sajda
سورة الاحزاب	Al-Ahzab
