Afrik	Afrika
424 (almanak jilyen)	424
641 (almanak jilyen)	641
492 (almanak jilyen)	492
639 (almanak jilyen)	639
256 (almanak jilyen)	256
441 (almanak jilyen)	441
131 (almanak jilyen)	131
191 (almanak jilyen)	191
450 (almanak jilyen)	450
612 (almanak jilyen)	612
635 (almanak jilyen)	635
611 (almanak jilyen)	611
534 (almanak jilyen)	534
488 (almanak jilyen)	488
607 (almanak jilyen)	607
524 (almanak jilyen)	524
282 (almanak jilyen)	282
472 (almanak jilyen)	472
471 (almanak jilyen)	471
490 (almanak jilyen)	490
316 (almanak jilyen)	316
Anachi	Anarki
797 (almanak jilyen)	797
511 (almanak jilyen)	511
295 (almanak jilyen)	295
598 (almanak jilyen)	598
303 (almanak jilyen)	303
250 (almanak jilyen)	250
515 (almanak jilyen)	515
512 (almanak jilyen)	512
418 (almanak jilyen)	418
333 (almanak jilyen)	333
294 (almanak jilyen)	294
158 (nonm)	158 (tal)
217 (almanak jilyen)	217
277 (almanak jilyen)	277
578 (almanak jilyen)	578
312 (almanak jilyen)	312
284 (almanak jilyen)	284
283 (almanak jilyen)	283
241 (almanak jilyen)	241
243 (almanak jilyen)	243
262 (almanak jilyen)	262
498 (almanak jilyen)	498
336 (almanak jilyen)	336
334 (almanak jilyen)	334
266 (almanak jilyen)	266
Bòks	Boxning
261 (almanak jilyen)	261
470 (almanak jilyen)	470
349 (almanak jilyen)	349
271 (almanak jilyen)	271
275 (almanak jilyen)	275
292 (almanak jilyen)	292
296 (almanak jilyen)	296
345 (almanak jilyen)	345
431 (almanak jilyen)	431
304 (almanak jilyen)	304
550 (almanak jilyen)	550
586 (almanak jilyen)	586
588 (almanak jilyen)	588
554 (almanak jilyen)	554
229 (almanak jilyen)	229
583 (almanak jilyen)	583
265 (almanak jilyen)	265
263 (almanak jilyen)	263
585 (almanak jilyen)	585
582 (almanak jilyen)	582
556 (almanak jilyen)	556
420 (almanak jilyen)	420
280 (almanak jilyen)	280
581 (almanak jilyen)	581
558 (almanak jilyen)	558
302 (almanak jilyen)	302
309 (almanak jilyen)	309
353 (almanak jilyen)	353
335 (almanak jilyen)	335
367 (almanak jilyen)	367
344 (almanak jilyen)	344
245 (almanak jilyen)	245
290 (almanak jilyen)	290
449 (almanak jilyen)	449
308 (almanak jilyen)	308
255 (almanak jilyen)	255
439 (almanak jilyen)	439
319 (almanak jilyen)	319
318 (almanak jilyen)	318
299 (almanak jilyen)	299
419 (almanak jilyen)	419
416 (almanak jilyen)	416
338 (almanak jilyen)	338
310 (almanak jilyen)	310
315 (almanak jilyen)	315
359 (almanak jilyen)	359
360 (almanak jilyen)	360
273 (almanak jilyen)	273
286 (almanak jilyen)	286
Kouto	Kniv
288 (almanak jilyen)	288
278 (almanak jilyen)	278
455 (almanak jilyen)	455
577 (almanak jilyen)	577
575 (almanak jilyen)	575
482 (almanak jilyen)	482
486 (almanak jilyen)	486
580 (almanak jilyen)	580
567 (almanak jilyen)	567
564 (almanak jilyen)	564
561 (almanak jilyen)	561
328 (almanak jilyen)	328
325 (almanak jilyen)	325
317 (almanak jilyen)	317
574 (almanak jilyen)	574
566 (almanak jilyen)	566
249 (almanak jilyen)	249
348 (almanak jilyen)	348
442 (almanak jilyen)	442
443 (almanak jilyen)	443
267 (almanak jilyen)	267
244 (almanak jilyen)	244
248 (almanak jilyen)	248
343 (almanak jilyen)	343
562 (almanak jilyen)	562
417 (almanak jilyen)	417
268 (almanak jilyen)	268
590 (almanak jilyen)	590
269 (almanak jilyen)	269
499 (almanak jilyen)	499
409 (almanak jilyen)	409
405 (almanak jilyen)	405
406 (almanak jilyen)	406
403 (almanak jilyen)	403
414 (almanak jilyen)	414
411 (almanak jilyen)	411
412 (almanak jilyen)	412
560 (almanak jilyen)	560
592 (almanak jilyen)	592
Zèb (bèt)	Zebror
276 (almanak jilyen)	276
314 (almanak jilyen)	314
323 (almanak jilyen)	323
366 (almanak jilyen)	366
362 (almanak jilyen)	362
545 (almanak jilyen)	545
531 (almanak jilyen)	531
514 (almanak jilyen)	514
513 (almanak jilyen)	513
539 (almanak jilyen)	539
538 (almanak jilyen)	538
519 (almanak jilyen)	519
516 (almanak jilyen)	516
520 (almanak jilyen)	520
522 (almanak jilyen)	522
528 (almanak jilyen)	528
506 (almanak jilyen)	506
526 (almanak jilyen)	526
507 (almanak jilyen)	507
214 (almanak jilyen)	214
213 (almanak jilyen)	213
212 (almanak jilyen)	212
228 (almanak jilyen)	228
227 (almanak jilyen)	227
149 (almanak jilyen)	149
174 (almanak jilyen)	174
189 (almanak jilyen)	189
199 (almanak jilyen)	199
141 (almanak jilyen)	141
132 (almanak jilyen)	132
125 (almanak jilyen)	125
123 (almanak jilyen)	123
147 (almanak jilyen)	147
144 (almanak jilyen)	144
198 (almanak jilyen)	198
178 (almanak jilyen)	178
Montague, Massachusetts	Montague
177 (almanak jilyen)	177
Abriyon	Embryo
187 (almanak jilyen)	187
195 (almanak jilyen)	195
186 (almanak jilyen)	186
347 (almanak jilyen)	347
620 (almanak jilyen)	620
624 (almanak jilyen)	624
605 (almanak jilyen)	605
629 (almanak jilyen)	629
616 (almanak jilyen)	616
615 (almanak jilyen)	615
644 (almanak jilyen)	644
646 (almanak jilyen)	646
633 (almanak jilyen)	633
Lang kreyòl	Kreolspråk
637 (almanak jilyen)	637
436 (almanak jilyen)	436
434 (almanak jilyen)	434
293 (almanak jilyen)	293
427 (almanak jilyen)	427
185 (almanak jilyen)	185
321 (almanak jilyen)	321
327 (almanak jilyen)	327
Aksan	Dialekt
430 (almanak jilyen)	430
447 (almanak jilyen)	447
Little Rock, Arkansas	Little Rock
569 (almanak jilyen)	569
568 (almanak jilyen)	568
444 (almanak jilyen)	444
796 (almanak jilyen)	796
798 (almanak jilyen)	798
Buon Ma Thuot	Buon Ma Thuot
793 (almanak jilyen)	793
685 (almanak jilyen)	685
Hartford, Connecticut	Hartford
799 (almanak jilyen)	799
Kreyòl ayisyen	Haitisk kreol
683 (almanak jilyen)	683
274 (almanak jilyen)	274
Dover, Delaware	Dover, Delaware
Matematik aplike	Tillämpad matematik
579 (almanak jilyen)	579
281 (almanak jilyen)	281
306 (almanak jilyen)	306
438 (almanak jilyen)	438
297 (almanak jilyen)	297
421 (almanak jilyen)	421
298 (almanak jilyen)	298
351 (almanak jilyen)	351
352 (almanak jilyen)	352
355 (almanak jilyen)	355
95 (almanak jilyen)	95
94 (almanak jilyen)	94
594 (almanak jilyen)	594
542 (almanak jilyen)	542
448 (almanak jilyen)	448
445 (almanak jilyen)	445
305 (almanak jilyen)	305
234 (almanak jilyen)	234
565 (almanak jilyen)	565
381 (almanak jilyen)	381
385 (almanak jilyen)	385
553 (almanak jilyen)	553
307 (almanak jilyen)	307
584 (almanak jilyen)	584
346 (almanak jilyen)	346
257 (almanak jilyen)	257
285 (almanak jilyen)	285
591 (almanak jilyen)	591
Metamòfoz	Metamorfos (biologi)
289 (almanak jilyen)	289
Bertrand Russell	Bertrand Russell
Men	Hand
Du Fu	Du Fu
563 (almanak jilyen)	563
252 (almanak jilyen)	252
Popilasyon	Befolkning
595 (almanak jilyen)	595
246 (almanak jilyen)	246
596 (almanak jilyen)	596
593 (almanak jilyen)	593
357 (almanak jilyen)	357
573 (almanak jilyen)	573
Pyè	Petrus
Fèy	Blad
Valparaíso, Chili	Valparaíso
Aktè	Skådespelare
Pye pom kajou	Cashew
Latitid	Latitud
559 (almanak jilyen)	559
599 (almanak jilyen)	599
326 (almanak jilyen)	326
341 (almanak jilyen)	341
322 (almanak jilyen)	322
Fàgo (Dakota dinò)	Fargo, North Dakota
386 (almanak jilyen)	386
Founafouti	Funafuti
374 (almanak jilyen)	374
Grann Fòks	Grand Forks
380 (almanak jilyen)	380
Tok pisin	Tok pisin
Bè	Smör
Teyoloji	Teologi
Mossad	Mossad
136 (almanak jilyen)	136
Linus Torvalds	Linus Torvalds
Pòtoprens (komin)	Port-au-Prince
Międzyrzec Podlaski	Międzyrzec Podlaski
Levanjil	Evangelium (bok)
Astroloji	Astrologi
Savon	Tvål
New Orleans, Lwizyana	New Orleans
Philippe Auguste	Filip II August av Frankrike
Saint-Dié-des-Vosges	Saint-Dié-des-Vosges
Elikoptè	Helikopter
Ipopotam	Flodhäst
382 (almanak jilyen)	382
Bela Lugosi	Bela Lugosi
342 (almanak jilyen)	342
373 (almanak jilyen)	373
372 (almanak jilyen)	372
Albert Camus	Albert Camus
Sab	Sand
Woz (flè)	Rossläktet
Kinstòn	Kingston
Lewopa	Leopard
Rinoseròs	Noshörningar
Mitoloji grèk	Grekisk mytologi
Dayton, Ohio	Dayton
Somaliland	Somaliland
Reyon X	Röntgenstrålning
Sen Domeng	Santo Domingo
Tequixquiac	Tequixquiac
Oklahoma City, Oklahoma	Oklahoma City
Papay	Papaya
375 (almanak jilyen)	375
Benjamin Franklin	Benjamin Franklin
Agatha Christie	Agatha Christie
Lis kapital	Lista över huvudstäder
Abitid se vis	Ordspråk
Wilhelm Conrad Röntgen	Wilhelm Röntgen
Kowèt	Kuwait (stad)
Glas (pou gade)	Spegel
387 (almanak jilyen)	387
Kolonbo	Colombo
Bichlamar	Bislama
Fenèt	Fönster
Gwòt	Grotta
Glasye kontinantal	Glaciär
Liy Nimewo	Tallinjen
Boise (Aydawo)	Boise
Las (maladi)	Astma
Bato	Båt
Madlèn	Leucaena leucocephala
Lexus	Lexus
Banbou	Bambu
Kongo (menm non)	Kongo
Interlingua	Interlingua
Mazda	Mazda
Minneapolis, Minnesota	Minneapolis
Sòl	Jord
Beyonce	Beyoncé Knowles
Brijtòn	Bridgetown
Thanh Hoa	Thanh Hoa
Puerto Montt	Puerto Montt
Vwayèl	Vokal
Apiya	Apia
Sen Jòns	Saint John's, Antigua och Barbuda
Rozo	Roseau
Rèv	Dröm
Jezwit	Jesuitorden
Rat	Råttor
Farin	Mjöl
Lonjitid	Longitud
Guglielmo Marconi	Guglielmo Marconi
Anyon	Jon
Milenè	Millennium
Pò Moresbi	Port Moresby
Reyaksyon chimik	Kemisk reaktion
Layè	Haag
Òd (biyoloji)	Ordning (biologi)
Ben Tre	Ben Tre
Nomanklati binomyal	Binomial nomenklatur
La vizyèl	Bildkonst
Jan	Johannesevangeliet
Pòt	Dörr
Arancón	Arancón
Grip pòsin	Svininfluensa
Zong	Nagel
Ozòn	Ozon
Lachas	Jakt
Glif	Glyf
12 (nonm)	12 (tal)
Figi	Ansikte
Tallahassee, Florid	Tallahassee
Endepandans	Självständighet
Bismàk, Dakota Dinò	Bismarck, North Dakota
30 fevriye	30 februari
Dwat	Rät linje
331 (almanak jilyen)	331
11 (nonm)	11 (tal)
365 (almanak jilyen)	365
13 (nonm)	13 (tal)
Nwayo	Atomkärna
Pye zaboka	Avokado
379 (almanak jilyen)	379
Vag	Vågrörelse
Globil wouj	Röd blodkropp
Ekri	Skrivkonst
Cleveland, Ohio	Cleveland
John Michael Talbot	John Michael Talbot
Klaus Ebner	Klaus Ebner
Naypyidaw	Naypyidaw
100 (nonm)	100 (tal)
Jenou	Knä
Zabriko	Aprikos
Pierre Curie	Pierre Curie
Bouya	Dimma
Alimèt	Tändsticka
Klas (biyoloji)	Klass (biologi)
Poligòn	Polygon
Mache	Marknad (ekonomi)
Campora San Giovanni	Campora San Giovanni
Swa	Silke
Lame	Armé
Demografi	Demografi
Kwomozòm	Kromosom
Alyaj	Legering
Bălţi	Bălți
Pò Vila	Port Vila
Ekosistèm	Ekosystem
Auckland Grammar School	Auckland Grammar School
Milwaukee, Wisconsin	Milwaukee
Alg	Alger
Etwa	Sund
Patat	Sötpotatis
Yangon	Rangoon
Saint Louis, Missouri	Saint Louis
Konsòn	Konsonant
McDonald's	McDonald’s
Lewis Carroll	Lewis Carroll
Filòm	Fylum
Anje	Angers
Twazyèm lwa Newton	Newtons rörelselagar
Columbia, Kawolin disid	Columbia, South Carolina
Milyon	Miljon
14 (nonm)	14 (tal)
Melon dlo	Vattenmelon
Kizin	Matlagning
15 (nonm)	15 (tal)
18 (nonm)	18 (tal)
Helena, Montana	Helena, Montana
Mayitid	Richterskalan
Universidad del Bío-Bío (Chili)	Universidad del Bío-Bío
Souva	Suva
Noukou'alofa	Nuku'alofa
Bazilik	Basilika (krydda)
Lazè	Laser
Lafyèv	Feber
Teide	Teide
Cheyenne, Wyoming	Cheyenne, Wyoming
Pò of Espay	Port of Spain
Richard Feynman	Richard Feynman
Espesyasyon	Artbildning
Rach	Yxa
Anchorage (Alaska)	Anchorage
Zouti	Verktyg
Presyon	Tryck
Burbank, Kalifòni	Burbank, Kalifornien
Mitokondri	Mitokondrie
Christiaan Huygens	Christiaan Huygens
Simityè	Begravningsplats
Des Moines, Iowa	Des Moines
Mario Vargas Llosa	Mario Vargas Llosa
Radio Studio 54 Network	Radio Studio 54 Network
19 (nonm)	19 (tal)
Irondèl	Svalor
Ligaman	Ligament
Deseni	Decennium
Lik	Lukasevangeliet
Concepción (provens)	Provincia de Concepción, Chile
Bweson	Dryck
Plaj	Strand
Will Smith	Will Smith
Elips	Ellips (matematik)
17 (nonm)	17 (tal)
Pyèv	Åttaarmade bläckfiskar
Lav	Lava
Levye	Hävstång
Lapli asid	Surt regn
Long Beach, New York	Long Beach, New York
Springfield, Vermont	Springfield, Vermont
Maraton	Maraton
Issaquah, Washington	Issaquah
16 (nonm)	16 (tal)
Nwayo (selil)	Cellkärna
David Gross	David J. Gross
Springfield, Oregon	Springfield, Oregon
20 (nonm)	20 (tal)
Akdèzapot	Apostlagärningarna
Springfield, Ohio	Springfield, Ohio
Racine, Wisconsin	Racine, Wisconsin
Joliet, Ilinwa	Joliet, Illinois
Norman, Oklahoma	Norman, Oklahoma
Buffalo, New York	Buffalo, New York
Large Hadron Collider	Large Hadron Collider
Kadna	Hänglås
Fosil	Fossil
Twoposfè	Troposfär
Pierre, Dakota disid	Pierre, South Dakota
Grenn	Frö
Krab	Krabbor
Kwa	Kors
Sizo	Sax
Carson City, Nevada	Carson City
Anna Maria Jopek	Anna Maria Jopek
Werner Karl Heisenberg	Werner Heisenberg
Onyara	Honiara
PH	PH
Topeka, Kansas	Topeka
Larouze	Dagg
Lozanj	Romb
Heinrich Rudolf Hertz	Heinrich Hertz
Henri Becquerel	Henri Becquerel
Elan	Rörelsemängd
Gouanjou	Gwangju
John Dalton	John Dalton
Bastè	Basseterre
Longèdonn	Våglängd
Kurt Gödel	Kurt Gödel
Lantikite	Antiken
Rasin	Rot
Kas piyant	Senna alata
Lokwat	Japansk mispel
Mòl	Mol
Sen Jòj	Saint George's
Efè tèmik	Växthuseffekten
Julia Gillard	Julia Gillard
David Hilbert	David Hilbert
Parapli	Paraply
Hendrik Lorentz	Hendrik Lorentz
Kastri	Castries
Ipotèz	Hypotes
Kansas City, Missouri	Kansas City, Missouri
Sri Jayawardenapura	Sri Jayawardenapura
Democritus	Demokritos
Flaman	Flamingoer
Talcahuano	Talcahuano
Jean-Marie Gustave Le Clezio	Jean-Marie Gustave Le Clézio
Apokalips	Uppenbarelseboken
Wòch igne	Magmatisk bergart
Denzel Washington	Denzel Washington
Bonda	Stjärt
Kabann	Säng
Travay (fizik)	Fysikaliskt arbete
Ribozòm	Ribosom
Magma	Magma
Bernhard Riemann	Bernhard Riemann
Ajil	Lera
Sebastian Vettel	Sebastian Vettel
40 (nonm)	40 (tal)
Lenn	Ull
Pwa nouris	Böna
Nebilez	Nebulosa
Lit	Brottning
Konbistib	Bränsle
Legliz Jezikri pou Sen Dènye Jou yo	Jesu Kristi Kyrka av Sista Dagars Heliga
Gri	Grå
Zepis	Krydda
Lama	Lama
Koud (non)	Armbågsled
Ibrid	Hybrid (biologi)
Olympia (Wachintòn)	Olympia, Washington
Paliki	Palikir
Byosfè	Biosfär
Bab	Skägg
30 (nonm)	30 (tal)
Aewopò Long Thanh	Long Thanh Internationell flygplats
Mitasyon	Mutation
Lwil	Olja
Alèji	Allergi
Sansi	Iglar
1000 (nonm)	1000 (tal)
Emoglobin	Hemoglobin
Newòn	Nervcell
Sechrès	Torka
Pwav	Pepparplanta
Aïkido	Aikido
Kevin Rudd	Kevin Rudd
Giurtelecu Şimleului	Giurtelecu Șimleului
Krokodil	Krokodiler
Thien Duong	Thien Duong
Klowofil	Klorofyll
Cincinnati, Ohio	Cincinnati
Dèlta	Floddelta
Omaha, Nebraska	Omaha, Nebraska
Clint Eastwood	Clint Eastwood
Toundra	Tundra
Fresno, Kalifòni	Fresno
Bazalt	Basalt
Kònèy	Corvus
Robert Boyle	Robert Boyle
Apòt	Kristendomens apostlar
Richmond, Vijini	Richmond, Virginia
Jimnastik	Gymnastik
Etnoloji	Etnologi
Bra	Arm
Amedeo Avogadro	Amadeo Avogadro
Seleksyon natirèl	Naturligt urval
Pwi	Vattenbrunn
Zou	Djurpark
Dodo	Dront
Echèl tan jeyolojik	Geologisk tidsskala
Kristal	Kristall
Kotonou	Cotonou
Anviwònman	Miljö (omgivning)
Zwazo mouch	Kolibrier
Idwokabi	Kolväte
Louisville, Kentucky	Louisville
Sousi	Ögonbryn
Tranblemanntè 12 janvye 2010 nan peyi Ayiti	Jordbävningen i Haiti 2010
Madison, Wisconsin	Madison, Wisconsin
Kodenn	Kalkoner
Envètebre	Ryggradslösa djur
Salem, Oregon	Salem, Oregon
Joseph von Fraunhofer	Joseph von Fraunhofer
Ketchikan (Alaska)	Ketchikan
Wrangell (Alaska)	Wrangell City and Borough
Prin	Plommon
Eklips linè	Månförmörkelse
Inias Loyola	Ignatius av Loyola
Rudolf Mössbauer	Rudolf Mössbauer
Paskal	Pascal (måttenhet)
Teokrasi	Teokrati
Hans Christian Orsted	Hans Christian Ørsted
Lyezon chimik	Kemisk bindning
Chalè	Värme
Pierre-Simon Laplace	Pierre Simon de Laplace
Moulen	Kvarn
Epidemik	Epidemi
Vektè	Vektor
Eduardo Galeano	Eduardo Galeano
Lapè (gen pè)	Rädsla
Son Doong	Son Dong
Tulsa, Oklahoma	Tulsa
Antwopi	Entropi
Port Arthur, Texas	Port Arthur, Texas
Seramik	Keramik
Fatra	Avfall
Satyendra Nath Bose	Satyendra Nath Bose
Flèch	Pil (vapen)
Òganèl	Organell
William Alfred Fowler	William A. Fowler
Chan elektrik	Elektriskt fält
Enèji sinetik	Kinetisk energi
Kwantòm	Kvantum
Lacuna Coil	Lacuna Coil
Charles Babbage	Charles Babbage
Fidji Hindi	Fijiansk hindi
Pèp Izrayèl la Mize	Israel Museum
Robert Hooke	Robert Hooke
Bag	Fingerring
Jou (Figi)	Kind
Divèsite byolojik	Biologisk mångfald
Priyon	Prion
Estyè	Estuarium
Fay (jewoloji)	Förkastning
Lucretius	Lucretius
Santa Monica, Kalifòni	Santa Monica
Vè (bèt)	Maskar
Klowoplast	Kloroplast
Palo Alto, Kalifòni	Palo Alto
Demi-vi	Halveringstid
Sistèm nève santral	Centrala nervsystemet
Joseph John Thomson	J.J. Thomson
Green Bay, Wisconsin	Green Bay, Wisconsin
Paul Dirac	Paul Dirac
Nadine Gordimer	Nadine Gordimer
Charleston, Kawolin disid	Charleston, South Carolina
Bwokoli	Broccoli
Mant	Myntasläktet
339 (almanak jilyen)	339
340 (almanak jilyen)	340
354 (almanak jilyen)	354
356 (almanak jilyen)	356
358 (almanak jilyen)	358
361 (almanak jilyen)	361
363 (almanak jilyen)	363
364 (almanak jilyen)	364
368 (almanak jilyen)	368
369 (almanak jilyen)	369
370 (almanak jilyen)	370
371 (almanak jilyen)	371
Modèl:Commonscat	Mall:Commonscat
376 (almanak jilyen)	376
377 (almanak jilyen)	377
378 (almanak jilyen)	378
383 (almanak jilyen)	383
384 (almanak jilyen)	384
388 (almanak jilyen)	388
Moman tòsyon	Vridmoment
389 (almanak jilyen)	389
390 (almanak jilyen)	390
391 (almanak jilyen)	391
392 (almanak jilyen)	392
393 (almanak jilyen)	393
394 (almanak jilyen)	394
395 (almanak jilyen)	395
396 (almanak jilyen)	396
397 (almanak jilyen)	397
398 (almanak jilyen)	398
399 (almanak jilyen)	399
Dover, New Hampshire	Dover, New Hampshire
23 (nonm)	23 (tal)
Nashua, New Hampshire	Nashua
Manchester, New Hampshire	Manchester, New Hampshire
Pouli	Block (enkel maskin)
Kadav	Lik
Oak Ridge, Tennessee	Oak Ridge, Tennessee
Jonathan Demme	Jonathan Demme
Nikolay Semyonov	Nikolaj Semjonov
Yellow Springs, Ohio	Yellow Springs
Rido	Gardin
Nonm premye	Primtal
San Luis Obispo, Kalifòni	San Luis Obispo
Cambridge, Massachusetts	Cambridge, Massachusetts
West Hartford, Connecticut	West Hartford
Brookline, Massachusetts	Brookline, Massachusetts
Quincy, Massachusetts	Quincy, Massachusetts
New Haven, Connecticut	New Haven, Connecticut
New London, Connecticut	New London, Connecticut
New Bedford, Massachusetts	New Bedford
Nantucket, Massachusetts	Nantucket
Provincetown, Massachusetts	Provincetown
Gloucester, Massachusetts	Gloucester, Massachusetts
Springfield, Massachusetts	Springfield, Massachusetts
Lowell, Massachusetts	Lowell, Massachusetts
Lawrence, Massachusetts	Lawrence, Massachusetts
Stamford, Connecticut	Stamford
New Britain, Connecticut	New Britain, Connecticut
Bridgeport, Connecticut	Bridgeport, Connecticut
Waterbury, Connecticut	Waterbury, Connecticut
Worcester, Massachusetts	Worcester, Massachusetts
440 (almanak jilyen)	440
Pittsfield, Massachusetts	Pittsfield, Massachusetts
North Adams, Massachusetts	North Adams
Northampton, Massachusetts	Northampton, Massachusetts
517 (almanak jilyen)	517
Lynn, Massachusetts	Lynn, Massachusetts
572 (almanak jilyen)	572
Portsmouth, New Hampshire	Portsmouth, New Hampshire
Middletown, Connecticut	Middletown, Connecticut
Brockton, Massachusetts	Brockton, Massachusetts
Fall River, Massachusetts	Fall River, Massachusetts
Newton, Massachusetts	Newton, Massachusetts
Danbury, Connecticut	Danbury, Connecticut
Somerville, Massachusetts	Somerville, Massachusetts
Greenwich, Connecticut	Greenwich, Connecticut
Rochester, New York	Rochester, New York
Irvine, Kalifòni	Irvine
Fremont, Kalifòni	Fremont, Kalifornien
Scottsdale, Arizona	Scottsdale, Arizona
Chesapeake, Vijini	Chesapeake, Virginia
Reno, Nevada	Reno
Norfolk, Vijini	Norfolk, Virginia
Orlando, Florid	Orlando, Florida
Saint Petersburg, Florid	Saint Petersburg
Toledo, Ohio	Toledo, Ohio
Stockton, Kalifòni	Stockton, Kalifornien
Lexington, Kentucky	Lexington, Kentucky
Corpus Christi, Texas	Corpus Christi, Texas
Riverside, Kalifòni	Riverside, Kalifornien
Santa Ana, Kalifòni	Santa Ana, Kalifornien
Aurora, Kolorado	Aurora, Colorado
Anaheim, Kalifòni	Anaheim
Tampa, Florid	Tampa
Bakersfield, Kalifòni	Bakersfield
Colorado Springs, Kolorado	Colorado Springs
Vijini Beach, Vijini	Virginia Beach
Mesa, Arizona	Mesa
Wichita, Kansas	Wichita, Kansas
Henderson, Nevada	Henderson, Nevada
Fort Wayne, Indiana	Fort Wayne
Chula Vista, Kalifòni	Chula Vista
Chandler, Arizona	Chandler, Arizona
Lubbock, Texas	Lubbock
Garland, Texas	Garland, Texas
Hialeah, Florid	Hialeah
Laj glas	Istid
Touris	Turism
Pwojektil	Projektil
Johnny Nash	Johnny Nash
Eolyèn	Vindkraftverk
Étwal binè	Dubbelstjärna
Garden Grove, Kalifòni	Garden Grove
Koyefisyan	Koefficient
Siv	Gräslök
Punta Arenas	Punta Arenas
Mesi	Messias
Glendale, Arizona	Glendale, Arizona
Gilbert, Arizona	Gilbert, Arizona
Tempe, Arizona	Tempe
Peoria, Arizona	Peoria
Surprise, Arizona	Surprise
Plano, Texas	Plano
Irving, Texas	Irving, Texas
Amarillo, Texas	Amarillo
Brownsville, Texas	Brownsville, Texas
Grand Prairie, Texas	Grand Prairie
Pasadena, Texas	Pasadena, Texas
Mesquite, Texas	Mesquite, Texas
McKinney, Texas	McKinney
McAllen, Texas	McAllen
Maladi viris Ebola	Ebolafeber
West Valley City, Utah	West Valley City
West Jordan, Utah	West Jordan
Orem, Utah	Orem
Sandy, Utah	Sandy, Utah
Ogden, Utah	Ogden
St. George, Utah	St. George
Layton, Utah	Layton
Taylorsville, Utah	Taylorsville
Marshall, Texas	Marshall, Texas
Krapo	Stjärtlösa groddjur
Vòl (sa fè yon vòlè)	Rån
Nyaj elektwon	Atomorbital
Haverhill, Massachusetts	Haverhill, Massachusetts
Newburyport, Massachusetts	Newburyport
Peabody, Massachusetts	Peabody
Beverly, Massachusetts	Beverly
Salem, Massachusetts	Salem, Massachusetts
Medford, Massachusetts	Medford, Massachusetts
Everett, Massachusetts	Everett, Massachusetts
Chelsea, Massachusetts	Chelsea, Massachusetts
Methuen, Massachusetts	Methuen
Leominster, Massachusetts	Leominster, Massachusetts
Marlborough, Massachusetts	Marlborough, Massachusetts
Norwalk, Connecticut	Norwalk, Connecticut
West Haven, Connecticut	West Haven
Meriden, Connecticut	Meriden, Connecticut
Osmoz	Osmos
Hannes Olof Gösta Alfvén	Hannes Alfvén
Soria provens	Soria (provins)
Ж	Ж
Disparisyon an mas	Massutdöende
Kategori:Prezidan an Polòy	Kategori:Polens presidenter
Kolektivite tèritoryal	Administrativ enhet
Lise Meitner	Lise Meitner
Philipp Lenard	Philipp Lenard
Otto Hahn	Otto Hahn
James Franck	James Franck
Max von Laue	Max von Laue
Wilhelm Wien	Wilhelm Wien
Otto Stern	Otto Stern
Daniel Gabriel Fahrenheit	Daniel Gabriel Fahrenheit
Karl Ferdinand Braun	Ferdinand Braun
Johannes Stark	Johannes Stark
Emanuel Lasker	Emanuel Lasker
Maria Goeppert Mayer	Maria Goeppert-Mayer
Karl Weierstrass	Karl Weierstrass
Peter Grünberg	Peter Grünberg
Saint Pete Beach, Florid	St. Pete Beach, Florida
Asyèt	Tallrik
Wolfgang Paul	Wolfgang Paul
Ferdinand Georg Frobenius	Ferdinand Georg Frobenius
Ernst Kummer	Ernst Kummer
Hermann Minkowski	Hermann Minkowski
Emil Artin	Emil Artin
Venice, Florid	Venice, Florida
August Ferdinand Möbius	August Ferdinand Möbius
Truong Tan Sang	Truong Tan Sang
Carsten Niebuhr	Carsten Niebuhr
Sweet Micky	Michel Martelly
Julius Plücker	Julius Plücker
Carl David Tolmé Runge	Carl Runge
Nefwon	Tubuli
Jean-Baptiste Biot	Jean-Baptiste Biot
Petrus Apianus	Petrus Apianus
To mòtalite	Mortalitet
Edmund Landau	Edmund Landau
Elwin Bruno Christoffel	Elwin Bruno Christoffel
Adolf Hurwitz	Adolf Hurwitz
Max Born	Max Born
Èbivò	Växtätare
Busta Rhymes	Busta Rhymes
George Gamow	George Gamow
René Depestre	René Depestre
Aewopò Sao Vang	Sao Vang flygplats
Columbia, Missouri	Columbia, Missouri
168 (nonm)	168 (tal)
Hermann von Helmholtz	Hermann von Helmholtz
Gottlob Frege	Gottlob Frege
Gustav Robert Kirchhoff	Gustav Kirchhoff
107 (nonm)	107 (tal)
Meteyorit	Meteorit
Walter Heitler	Walter Heitler
Carl-Gustav Arvid Rossby	Carl-Gustaf Rossby
Otto Hesse	Otto Hesse
Chandrasekhara Venkata Raman	Chandrasekhara Venkata Raman
Napa, Kalifòni	Napa, Kalifornien
Brian Greene	Brian Greene
Ke	Svans
Wilhelm Ackermann	Wilhelm Ackermann
Hermann Hankel	Hermann Hankel
Ferdinand Eisenstein	Ferdinand Eisenstein
Hermann Schwarz	Hermann Schwarz (matematiker)
Pope County, Arkansas	Pope County, Arkansas
Asid gra	Fettsyra
Vwayaj	Resa
Rudolf Peierls	Rudolf Peierls
Alfred Clebsch	Alfred Clebsch
Walter Gerlach	Walter Gerlach
Wilhelm Jordan	Wilhelm Jordan (geodet)
Peter Andreas Hansen	Peter Andreas Hansen
Moritz Cantor	Moritz Cantor
Paul Drude	Paul Drude
