frikytu'a	Afrika
nenzenkai	Excitation
noltrusi'o	Monarkism
galbisybau	Háfrónska
king.kong	King Kong
keinritli	Skådespelarkonst
favmapti	Homologi (biologi)
dasri pe la .mobius.	Möbiusband
gletu	Parning
parikuTIN	Paricutín
mirlyxarju	Hjortsvin
lubin	Lubin
lujvo	Sammansättning (lingvistik)
xalo,uin	Halloween
soliaris to cuktrnovela toi	Solaris (roman)
la nolraiseltru be la .araukanias. joi la patagonias.	Araukanien och Patagonien
andis. kafmen	Andy Kaufman
ni'icpa	Slutledning
dijyselpla	Blåkopia
kreg.tomson	Craig Thompson
fyl.xous.	Huset fullt
manri febybi'o nejni	Ångbildningsvärme
kijytcini	Oxidationstal
leon. to skina toi	Léon
luk.besyn	Luc Besson
manri dujbi'o nejni	Smältvärme
cimni smani cmacyje'u	Satsen om oändligt många apor
glanejni sroka'e	Specifik värmekapacitet
kaizers.orkestras.	Kaizers Orchestra
kanji	Beräkning
la jaumoi sonci	Den 13:e krigaren
tcadrklaipeda	Klaipėda
blobe'e ke ponjo nixli tadni taxfu	Sailor fuku
neptunz. to remei toi	The Neptunes
fyrd.rak.frym.dys.syn.	Tredje klotet från solen
remna girzu	Grupp (sociologi)
gubytrusi'o	Republikanism
krilysu'a	Kristallstruktur
cipra mukti sampla	Testdriven utveckling
daplrxometepe	Ometepe
kampidjip.	Poverty Point nationalmonument
febvi	Kokpunkt
purdi	Trädgård
kalabrian.xesybau	Kalabrisk grekiska
dainosorz.	Dinosaurier (TV-serie)
cionmau	Panda (olika betydelser)
dilcyna'u	Rationella tal
Category:dotygu'e	Kategori:Tyskland
Category:italias	Kategori:Italien
Category:mergu'e	Kategori:USA
Category:rukygu'e	Kategori:Ryssland
Category:kadnygu'e	Kategori:Kanada
Category:ritygu'e	Kategori:Storbritannien
Category:sangu'e	Kategori:Spanien
Category:pongu'e	Kategori:Japan
Category:sralygu'e	Kategori:Australien
Category:mexygu'e	Kategori:Mexiko
Category:xingu'e	Kategori:Indien
Category:djogu'e	Kategori:Saudiarabien
Category:brogu'e	Kategori:Israel
Category:turk	Kategori:Turkiet
Category:nanfi'ogu'e	Kategori:Sydafrika
Category:misrygu'e	Kategori:Egypten
Category:iran	Kategori:Iran
Category:getygu'e	Kategori:Argentina
Category:jexygu'e	Kategori:Algeriet
Category:osteraix	Kategori:Österrike
Category:kubas	Kategori:Kuba
Category:itiopias	Kategori:Etiopien
Category:bidgu'e	Kategori:Indonesien
Category:raksygu'e	Kategori:Irak
Category:nederland	Kategori:Nederländerna
Category:nixerias	Kategori:Nigeria
Category:kisygu'e	Kategori:Pakistan
Category:polskas	Kategori:Polen
Category:potygu'e	Kategori:Portugal
Category:singapura	Kategori:Singapore
Category:snanu zei .xanguk	Kategori:Sydkorea
Category:sudan	Kategori:Sudan
Category:elvetias	Kategori:Schweiz
Category:tanzanias	Kategori:Tanzania
Category:vurgu'e	Kategori:Ukraina
Category:vietnam	Kategori:Vietnam
Category:mabru	Kategori:Däggdjur
Category:termu'eske	Kategori:Fysik
Category:mivyske	Kategori:Biologi
Category:xumske	Kategori:Kemi
Category:citri	Kategori:Historia
Category:tutske	Kategori:Geografi
Category:lijda	Kategori:Religion
Category:gunma natmi	Kategori:Förenta nationerna
Category:pijyske	Kategori:Filosofi
Category:menske	Kategori:Psykologi
Category:bu'ojda	Kategori:Buddhism
Category:musyjda	Kategori:Islam
la xunre je blanu stizu	Röd och blå stol
pacruxydinj	Castlevania
kinzbapre	Filmregissör
Category:na mulno	Kategori:Stubbar
Category:kulnu	Kategori:Kultur
Category:nanca	Kategori:Årtal
makykai	Magnetism
na'orteryratni	Atommassa
Category:gugde	Kategori:Världens länder
Wikipedia:administrator	Wikipedia:Administratörer
Category:kazaksTAN	Kategori:Kazakstan
Category:prenu	Kategori:Personer
Wikipedia:bots	Wikipedia:Robotar
Category:plajva	Kategori:Politik
Category:larcu	Kategori:Konst
misrygu'e	Egypten
Template:Bot	Mall:Bot
kadnygu'e	Kanada
Category:madjiar	Kategori:Ungern
Category:beldjym	Kategori:Belgien
Category:tcesk.zei gubyseltru	Kategori:Tjeckien
Category:danmark	Kategori:Danmark
Category:estis	Kategori:Estland
Category:xesygu'e	Kategori:Grekland
Category:island	Kategori:Island
Category:luksymbyrg	Kategori:Luxemburg
Category:lietuvas	Kategori:Litauen
Category:maltas	Kategori:Malta
Category:sueriges	Kategori:Sverige
Category:slovensk	Kategori:Slovakien
Category:slovEni,as	Kategori:Slovenien
Category:samselkei	Kategori:Datorspel
Category:maikrosaft	Kategori:Microsoft
Category:rontu'a	Kategori:Europa
Template:Documentation	Mall:Dokumentation
Category:pilno admin	Kategori:Wikipedia:Administratörer
Category:pilno bangu	Kategori:Användare efter språk
Wikipedia:lo mu pe'a kamju be la .uikipedias.	Wikipedia:Grundprinciperna
Template:Softredirect	Mall:Mjuk omdirigering
Template:ko vimcu	Mall:Radera
sarar.dAni,us	Sara Danius
Category:bangu	Kategori:Språk
Wikipedia:clinoi pe loi finselkai	Wikipedia:Stilguide
kanguru	Känguru
Template:!	Mall:!
Template:!-	Mall:!-
Template:Clear	Mall:Clear
Wikipedia:liste be le tcevai ckupau	Wikipedia:Artiklar som bör finnas på Wikipedia
Category:frikytu'a	Kategori:Afrika
Category:cukta	Kategori:Böcker
Template:babel	Mall:Babel
Template:na mulno	Mall:Stub
Template:pilno de	Mall:Användare de
Template:pilno es	Mall:Användare es
Template:pilno en-3	Mall:Användare en-3
Template:pilno en-1	Mall:Användare en-1
Template:pilno en-2	Mall:Användare en-2
Template:pilno en	Mall:Användare en
Template:pilno de-2	Mall:Användare de-2
Template:pilno fr-1	Mall:Användare fr-1
Category:relma'i	Kategori:Februari
Category:1957moi	Kategori:1957
Category:1949moi	Kategori:1949
Category:1927moi	Kategori:1927
Category:1919moi	Kategori:1919
Category:moldovas	Kategori:Moldavien
Category:zdotu'a	Kategori:Asien
Category:tciles	Kategori:Chile
Category:20xyxymoi	Kategori:2000-talet
Category:ketytu'a	Kategori:Sydamerika
Category:1930moi	Kategori:1930
Category:1936moi	Kategori:1936
Category:1947moi	Kategori:1947
Category:1937moi	Kategori:1937
Category:1940moi	Kategori:1940
Category:1934moi	Kategori:1934
Category:1960moi	Kategori:1960
Category:1943moi	Kategori:1943
Category:1951moi	Kategori:1951
Category:1942moi	Kategori:1942
Category:1959moi	Kategori:1959
Category:1928moi	Kategori:1928
Category:1913moi	Kategori:1913
Category:1954moi	Kategori:1954
Category:mejgu'e	Kategori:Malaysia
Category:1941moi	Kategori:1941
Category:1955moi	Kategori:1955
Category:1950moi	Kategori:1950
Category:1977moi	Kategori:1977
Category:1946moi	Kategori:1946
Category:1948moi	Kategori:1948
Category:1932moi	Kategori:1932
Category:1945moi	Kategori:1945
Template:Mod	Mall:Mod
Category:1923moi	Kategori:1923
Category:1917moi	Kategori:1917
Category:1904moi	Kategori:1904
Category:1926moi	Kategori:1926
Category:1907moi	Kategori:1907
Template:pilno es-2	Mall:Användare es-2
Category:1908moi	Kategori:1908
Template:coi	Mall:Nybörjare
Category:1901moi	Kategori:1901
Category:1903moi	Kategori:1903
Category:1933moi	Kategori:1933
Category:1952moi	Kategori:1952
Category:bauske	Kategori:Lingvistik
Category:1911moi	Kategori:1911
Category:1906moi	Kategori:1906
Category:pilno fr-1	Kategori:Användare fr-1
Template:frikytu'a	Mall:Afrika
Template:gugde datni	Mall:Landsfakta
Category:paris	Kategori:Paris
Category:pilno en	Kategori:Användare en
Category:pilno zh	Kategori:Användare zh
Category:xrvatskas	Kategori:Kroatien
Category:pilno zh-N	Kategori:Användare zh-N
Category:pilno en-2	Kategori:Användare en-2
Template:tertcita tanxe	Mall:Faktamall
Category:cagyske	Kategori:Jordbruk
Category:19xyxymoi	Kategori:1900-talet
Template:IPA	Mall:IPA
Category:18xyxymoi	Kategori:1800-talet
Template:talkback	Mall:Talkback
Category:1958moi	Kategori:1958
Category:1956moi	Kategori:1956
Category:1944moi	Kategori:1944
Category:pavma'i	Kategori:Januari
Category:1916moi	Kategori:1916
Category:1939moi	Kategori:1939
Category:mu'eske	Kategori:Kosmologi
selratni liste fi lo namcu	Lista över grundämnen
Template:suzmunski	Mall:Förgrening
Category:1962moi	Kategori:1962
Category:mongolo	Kategori:Mongoliet
Category:1953moi	Kategori:1953
Category:pilno fr	Kategori:Användare fr
Category:pilno pt	Kategori:Användare pt
Category:pilno fr-2	Kategori:Användare fr-2
Category:pilno fr-N	Kategori:Användare fr-N
Category:pilno de	Kategori:Användare de
Category:pilno de-2	Kategori:Användare de-2
Category:pilno de-N	Kategori:Användare de-N
Category:pilno en-3	Kategori:Användare en-3
Category:pilno en-N	Kategori:Användare en-N
Category:pilno es	Kategori:Användare es
Category:pilno es-N	Kategori:Användare es-N
Category:168xymoi	Kategori:1680-talet
Category:1452moi	Kategori:1452
Category:pilno pl-N	Kategori:Användare pl-N
Category:sezga'o	Kategori:Autism
Category:1812moi	Kategori:1812
Category:197xymoi	Kategori:1970-talet
Category:189xymoi	Kategori:1890-talet
Category:1691moi	Kategori:1691
Category:samske	Kategori:Datavetenskap
Category:solri ciste	Kategori:Solsystemet
Category:1453moi	Kategori:1453
Category:363moi	Kategori:363
Category:belrus	Kategori:Vitryssland
Category:997moi	Kategori:997
solri barna	Solfläckar
Category:194xymoi	Kategori:1940-talet
Category:190xymoi	Kategori:1900-talet (decennium)
Category:191xymoi	Kategori:1910-talet
Category:192xymoi	Kategori:1920-talet
Category:193xymoi	Kategori:1930-talet
Category:195xymoi	Kategori:1950-talet
Category:196xymoi	Kategori:1960-talet
Category:198xymoi	Kategori:1980-talet
Category:199xymoi	Kategori:1990-talet
Category:200xymoi	Kategori:2000-talet (decennium)
Category:pilno pt-N	Kategori:Användare pt-N
Category:1627moi	Kategori:1627
Category:1683moi	Kategori:1683
Category:1725moi	Kategori:1725
Category:1780moi	Kategori:1780
Category:182xymoi	Kategori:1820-talet
Category:181xymoi	Kategori:1810-talet
Category:185xymoi	Kategori:1850-talet
Category:16xyxymoi	Kategori:1600-talet
Category:188xymoi	Kategori:1880-talet
Category:172xymoi	Kategori:1720-talet
Category:187xymoi	Kategori:1870-talet
Category:178xymoi	Kategori:1780-talet
Category:186xymoi	Kategori:1860-talet
Category:179xymoi	Kategori:1790-talet
Category:036xymoi	Kategori:360-talet
Category:180xymoi	Kategori:1800-talet (decennium)
Category:145xymoi	Kategori:1450-talet
Category:09xyxymoi	Kategori:900-talet
Category:ninkle	Kategori:Ädelgaser
Category:angol	Kategori:Angola
Category:botsuanas	Kategori:Botswana
Category:gabon	Kategori:Gabon
Category:kamerun	Kategori:Kamerun
Category:kenias	Kategori:Kenya
Category:libgu'e	Kategori:Libyen
Category:morgu'e	Kategori:Marocko
Category:mosambik	Kategori:Moçambique
Category:namibias	Kategori:Namibia
Category:1743moi	Kategori:1743
Category:1782moi	Kategori:1782
Category:1788moi	Kategori:1788
Category:1794moi	Kategori:1794
Category:1807moi	Kategori:1807
Category:1809moi	Kategori:1809
Category:1814moi	Kategori:1814
Category:1815moi	Kategori:1815
Category:1830moi	Kategori:1830
Category:1834moi	Kategori:1834
Category:1836moi	Kategori:1836
Category:1848moi	Kategori:1848
Category:1852moi	Kategori:1852
Category:1862moi	Kategori:1862
Category:1869moi	Kategori:1869
Category:1870moi	Kategori:1870
Category:1882moi	Kategori:1882
Category:1885moi	Kategori:1885
Category:1887moi	Kategori:1887
Category:1961moi	Kategori:1961
Category:1964moi	Kategori:1964
Category:1965moi	Kategori:1965
Category:1966moi	Kategori:1966
Category:1967moi	Kategori:1967
Category:1969moi	Kategori:1969
Category:1970moi	Kategori:1970
Category:1972moi	Kategori:1972
Category:1973moi	Kategori:1973
Category:1974moi	Kategori:1974
Category:1975moi	Kategori:1975
Category:1976moi	Kategori:1976
Category:1978moi	Kategori:1978
Category:1980moi	Kategori:1980
Category:1981moi	Kategori:1981
Category:1982moi	Kategori:1982
Category:1983moi	Kategori:1983
Category:1984moi	Kategori:1984
Category:1985moi	Kategori:1985
Category:1986moi	Kategori:1986
Category:1987moi	Kategori:1987
Category:1988moi	Kategori:1988
Category:1989moi	Kategori:1989
Category:1990moi	Kategori:1990
Category:1991moi	Kategori:1991
Category:1992moi	Kategori:1992
Category:1993moi	Kategori:1993
Category:1994moi	Kategori:1994
Category:1995moi	Kategori:1995
Category:1996moi	Kategori:1996
Category:1997moi	Kategori:1997
Category:1999moi	Kategori:1999
Category:2000moi	Kategori:2000
Category:2001moi	Kategori:2001
Category:2002moi	Kategori:2002
Category:2004moi	Kategori:2004
Category:2005moi	Kategori:2005
Category:2006moi	Kategori:2006
Category:2007moi	Kategori:2007
Template:pilno pt	Mall:Användare pt
Category:zambias	Kategori:Zambia
Category:senegal	Kategori:Senegal
Category:sieras. leon	Kategori:Sierra Leone
Category:zimbabues	Kategori:Zimbabwe
Category:somalias	Kategori:Somalia
Category:tcad	Kategori:Tchad
Category:ugandas	Kategori:Uganda
Category:banskepre	Kategori:Lingvister
Category:pilipinas	Kategori:Filippinerna
Category:pilno zh-1	Kategori:Användare zh-1
Category:tivni	Kategori:Television
Category:sixygu'e	Kategori:Syrien
Category:174xymoi	Kategori:1740-talet
Category:184xymoi	Kategori:1840-talet
Category:099xymoi	Kategori:990-talet
Category:13xyxymoi	Kategori:1300-talet
Category:15xyxymoi	Kategori:1500-talet
Category:03xyxymoi	Kategori:300-talet
Category:17xyxymoi	Kategori:1700-talet
Category:1xyxyxymoi	Kategori:1000-talet (millennium)
Category:0xyxyxymoi	Kategori:0000-talet (millennium)
Category:xindo ropno bangu	Kategori:Indoeuropeiska språk
Category:1963moi	Kategori:1963
Category:selratni	Kategori:Grundämnen
Category:14xyxymoi	Kategori:1400-talet
Category:berti zei .xanguk	Kategori:Nordkorea
Category:1831moi	Kategori:1831
Category:1968moi	Kategori:1968
Category:djamaikas	Kategori:Jamaica
Category:1998moi	Kategori:1998
Category:luaos	Kategori:Laos
Category:lu'orgu'e	Kategori:Libanon
Category:nepal	Kategori:Nepal
Category:2003moi	Kategori:2003
Category:sofygu'e	Kategori:Sovjetunionen
Category:1971moi	Kategori:1971
Category:jorgu'e	Kategori:Jordanien
Category:kostarikas	Kategori:Costa Rica
Category:surinam	Kategori:Surinam
Category:nikaraguas	Kategori:Nicaragua
Category:noreg	Kategori:Norge
Category:panamas	Kategori:Panama
Category:paraguais	Kategori:Paraguay
Category:lictenctain	Kategori:Liechtenstein
Category:onduras	Kategori:Honduras
Category:uruguais	Kategori:Uruguay
Category:andoras	Kategori:Andorra
Category:serbias	Kategori:Serbien
Category:beliz	Kategori:Belize
Category:salbador	Kategori:El Salvador
Category:ekuador	Kategori:Ecuador
Category:perus	Kategori:Peru
Category:bolivias	Kategori:Bolivia
Category:remske	Kategori:Antropologi
Category:gudjanas	Kategori:Guyana
Category:kolombias	Kategori:Colombia
Category:zgitci	Kategori:Musikinstrument
Category:timske	Kategori:Meteorologi
Category:gackle	Kategori:Gaser
Category:pilno pl	Kategori:Användare pl
Category:dansu	Kategori:Dans
Category:162xymoi	Kategori:1620-talet
Category:169xymoi	Kategori:1690-talet
Category:2xyxyxymoi	Kategori:2000-talet (millennium)
Category:kaurpo'esi'o	Kategori:Kommunism
Category:logji	Kategori:Logik
Category:bemtu'a	Kategori:Nordamerika
Category:183xymoi	Kategori:1830-talet
Category:guatemal	Kategori:Guatemala
najgenja	Morot
trojany	Trojany
Category:la'ortu'a	Kategori:Latinamerika
Category:skoselti'e	Kategori:Ryggsträngsdjur
Category:pilno jbo	Kategori:Användare jbo
Category:pilno jbo-1	Kategori:Användare jbo-1
Category:skari	Kategori:Färg
Category:selpliske	Kategori:Tillämpade vetenskaper
Category:pilno en-1	Kategori:Användare en-1
Category:pilno de-1	Kategori:Användare de-1
toldi	Dagfjärilar
Special:RecentChanges	Special:Senaste ändringar
