អាហ្វ្រិក	Afrika
ក្រុមបាល់ទាត់ជម្រើសជាតិ អង់គ្លេស	Englands herrlandslag i fotboll
ក្រុមបាល់ទាត់ជម្រើសជាតិ បារាំង	Frankrikes herrlandslag i fotboll
ទំព័រគំរូ:Commonscat	Mall:Commonscat
វិគីភីឌាភាសាអាល្លឺម៉ង់	Tyskspråkiga Wikipedia
អាស៊ីខាងលិច	Främre Orienten
យេនឌ័រ	Könsidentitet
អង្គការសហភាពអន្តរជាតិដើម្បីអភិរក្សធម្មជាតិ	Internationella naturvårdsunionen
ទីក្រុងមេឌេយីណ	Medellín
ប៉ារ៉ាបូល	Parabel (kurva)
ខេត្តអ៊ីវ៉ាតិ	Iwate
ទ្វារសមុទ្រមលក្កា	Malackasundet
មហាយាន	Mahayana
ប្រព័ន្ធប្រតិបត្តការ iOS	IOS
ចំនួនបឋម	Primtal
សង្គ្រាម ប្រាំមួយ ថ្ងៃ	Sexdagarskriget
ក្រុងឡូវែល រដ្ឋម៉ាស្សាឈូស៊ែត	Lowell, Massachusetts
សមុទ្រជ្វា	Javasjön
សិប្បកម្មខ្ញុំ	Minecraft
ច្រកសមុទ្រធ្ងន់ធ្ងរ	Dire Straits
វីហ្សួលបេហ៊្សិក.ណេត	Visual Basic .NET
អនុគមន៍ដឺក្រេទី២	Andragradsfunktion
ច្បាប់អំពែរ	Ampères lag
ជំងឺអ៊ីបូឡា	Ebolafeber
ច្រកកូរ៉េ	Koreasundet
ឆកសមុទ្រកូរ៉េ	Koreabukten
កង្កែប	Stjärtlösa groddjur
ខ្សែទឹកឃឹរ៉ុស៊ីអុ	Kuroshio
ចំណាត់ថ្នាក់ក្រុម:ព្រះមហាក្សត្រ	Kategori:Monarker
ចំណាត់ថ្នាក់ក្រុម:រដ្ឋាភិបាល	Kategori:Myndigheter
ទំព័រគំរូ:Infobox legislature	Mall:Parlament
ទន្លេយ៉ាលូ	Yalu
ទំព័រគំរូ:ប្រវត្តិសាស្ត្រចិន	Mall:Kinas historia
ទំព័រគំរូ:ប្រវត្តិសាស្ត្រអាស៊ី	Mall:Historia i Asien
មីហ្គេល អ៊ីដាលហ្គោ អ៊ី កុស្ទីយ៉ា	Miguel Hidalgo
នរោត្តម សីហមុនី	Norodom Sihamoni
ហ៊ុន សែន	Hun Sen
តូក្យូស្កាយទ្រី	Tokyo Sky Tree
ភាសាប៉ាស្តូ	Pashto
កំណែទម្រង់រូបិយវត្ថុ	Penningreform
ធនាគារកណ្ដាល	Centralbank
Pidgin	Pidgin (datorprogram)
​វិលហែម វុឌ	Wilhelm Wundt
យិដា តាដូ	Gerda Taro
មនុស្សពីងពាង	Spider-Man
សារធាតុគីមី	Kemikalier
ចលនានៅក្នុងរូបវិទ្យា	Rörelse (fysik)
ជម្ងឺកញ្ជ្រឹល	Mässling
ក្រុមបាល់ទាត់ជម្រើសជាតិ អាហ្សង់ទីន	Argentinas herrlandslag i fotboll
ខ្យល់ព្រះអាទិត្យ	Solvind
បាល់ទាត់ពិភពលោក ២០១៤	Världsmästerskapet i fotboll 2014
ម៉ូបាល (អាល់ឡាបាម៉ា)	Mobile
កុំព្យូទ័រផ្រូក្រាមមីង(Computer programming)	Programmering
ខេត្តឈីបា	Chiba prefektur
អាំងតេក្រាល	Integral
ខេត្តអៃឈិ	Aichi prefektur
វិបត្តិសេដ្ឋកិច្ចឆ្នាំ ១៩៩៧	Asienkrisen
ខ្មែរ	Vuxen
សិល្បៈប្រើវោហារបង្ហូរគំនិត	Retorik
ឃីមីហ្គាយ៉ុ	Kimi ga yo
សាល អូហ្គុស្ទីន ដឺ គូឡុំ	Charles-Augustin de Coulomb
ខេត្តអាគីតា	Akita prefektur
ថ្នាក់ពាក្យ	Ordklass
ស្ថានភាពអភិរក្ស	Bevarandestatus
កាន់ជិ	Kanji
នាម	Egennamn
ប្រវត្តិសាស្ត្រចិន	Kinas historia
អវតារ	Avatar
ច្បាប់គូឡុំ	Coulombs lag
រឿង រ៉ូមេអូ និង ហ្ស៊ុយលីយេ	Romeo och Julia
សាលីណា កូមាស់	Selena Gomez
ក្រុម (តារាងខួបនៃធាតុគីមី)	Periodiska systemets grupper
ក្រុមបាល់ទាត់ជម្រើសជាតិ ប្រេស៊ីល	Brasiliens herrlandslag i fotboll
ទ្រឹស្ដីគមនាគមន៍	Kommunikationsteori
កាល ឡែមស្ដែនណឺ	Karl Landsteiner
បាល់ប៉ូឡូញ	Polandball
ឯកសារភាពយន្ត	Dokumentärfilm
អនុគមន៍ត្រីកោណមាត្រ	Trigonometrisk funktion
ហ្រាន្ដកូស ហ្វីឡុន	François Fillon
ខួប (តារាងខួបនៃធាតុគីមី)	Periodiska systemets perioder
ល្បែងទាញព្រ័ត្រ	Dragkamp
Article (grammar)	Artikel (grammatik)
មេដ្យានទ័រ	Passare
Rfid	Radio Frequency Identification
អ៊ីប៉ូតេនុស	Hypotenusa
ហិចហ្វាន់	Hedgefond
ISO 3166	ISO 3166
សញ្ញាជាតិកូរ៉េខាងជើង	Nordkoreas statsvapen
មេហ្គា	Mega
គីឡូ	Kilo
ការតាំងសមាធិ	Meditation
ប៉េតា	Peta
យ៉ុតតា	Yotta
សង់ទី	Centi
ហ្គីហ្គា	Giga
តេរ៉ា	Tera
ហ្វង់តូ	Femto
ហ្សិតតា	Zetta
ច្រកតារតារី	Tatarsundet
ហ្សិបតូ	Zepto
កាតែត	Katet
អាត់តូ	Atto
យ៉ុកតូ	Yokto
ដេស៊ី	Deci
អាំងតេក្រាលមិនកំនត់	Primitiv funktion
គណបក្សហ៊្វុនស៊ិនប៉ិច	FUNCINPEC
ខេត្តក្យូតុ	Kyoto prefektur
តំលៃដាច់ខាត	Absolutbelopp
ហេដ្ឋារចនាសម្ព័ន្ធ	Infrastruktur
សាស្ត្រាចារ្យ	Professor
តេគីឡា	Tequila
សន្ធិសញ្ញាប្រេស្ត-លីតូវស្ក	Freden i Brest-Litovsk
William Thomson, 1st Baron Kelvin	William Thomson Kelvin
អាណាខេត្តអូសាកា	Osaka prefektur
ខេត្តអិហ៊ីមិ	Ehime prefektur
វាំងននដែក	Järnridån
Kara (band)	Kara (musikgrupp)
វីលៀម ជែម	William James
ខេត្តយ៉ាម៉ាកាតា	Yamagata prefektur
ច្រកតៃវ៉ាន់	Taiwansundet
គំរោងម៉ាន់ហាត់ថាន់	Manhattanprojektet
ខេត្តយ៉ាម៉ាហ្គឹឈិ	Yamaguchi prefektur
ខេត្តខាន់ណាហ្គាវ៉ា	Kanagawa prefektur
បញ្ចកោណ	Pentagon
តំបន់ជឺហ្គុកឹ	Chugoku
ខេត្តណាហ្គាណុ	Nagano prefektur
ខេត្តសៃតាម៉ា	Saitama prefektur
ខេត្តមីអិ	Mie prefektur
ណុត	Knop (enhet)
តំបន់តុហុកកឹ	Tohoku
ខេត្តហ្គឺនម៉ា	Gunma prefektur
ជ្រូកទឹក	Dugong
ខ្សែទឹកមហាសមុទ្រ	Havsström
ខេត្តមីយ៉ាសាគី	Miyazaki prefektur
ខេត្តឃឹម៉ាម៉ុតុ	Kumamoto prefektur
មូលដ្ឋានូបនីយកម្មភាសា	Lokalisering (handelsterm)
Mikoyan MiG-29	Mikojan-Gurevitj MiG-29
សប្ដាហ៏ពិសិដ្ឋ	Stilla veckan
ឈូងសមុទ្រថៃ	Thailandviken
អ៊ីមម៉ាជីន និងផូស៊ី	Immagine & Poesia
លី ក្វាន់យូ	Lee Kuan Yew
កម្មសិទ្ធិបញ្ញា	Immaterialrätt
អាណាខេត្តណារ៉ា	Nara prefektur
បុព្វបទនៅក្នុងប្រព័ន្ធខ្នាតអន្តរជាតិ	SI-prefix
យន្តហោះប៉ូឡូញកំទេចឆ្នាំ២០១០	Flygolyckan i Smolensk
ជនភៀសខ្លួន	Flykting
ហង់រី កាវិនឌីស	Henry Cavendish
បុណ្យចូលឆ្នាំចិន	Kinesiskt nyår
ថេរវាទ	Theravada
តំបន់ខាន់តូ	Kanto
ខេត្តនីហ្គាតាក់	Niigata prefektur
ខេត្តយ៉ាម៉ាណាស៊ី	Yamanashi prefektur
ខេត្តស៊ីម៉ាណិ	Shimane prefektur
ខេត្តតុយ៉ាម៉ា	Toyama prefektur
ខេត្តអូកាយ៉ាម៉ា	Okayama prefektur
ISO 3166-2	ISO 3166-2
ខេត្តអយតាក់	Ōita prefektur
ខេត្តខូឈិ	Kochi prefektur
អង្គការអន្តរជាតិនៃនយោបាយរបស់បារាំង	Organisation internationale de la Francophonie
ភ្នំមេរ៉ាពី	Merapi
ព្រះធម៌	Dharma
តំបន់ឈឺប៊ឹ	Chubu
រោគក្អកមាន់	Kikhosta
គន្ថនិទ្ទេស	Bibliografi
កម្ពុជា នៅកីឡាអូឡាំពិករដូវក្ដៅ ២០០៨	Kambodja i olympiska sommarspelen 2008
គីមឈី	Kimchi
ខេត្តកំពង់ចាម	Kampong Cham
ខ្សែទឹកហ្គ្រីនលែនខាងកើត	Östra Grönlandsströmmen
ខ្សែទឹកប៉ាស៊ីហ្វិកខាងជើង	Norra stillahavsströmmen
ខ្សែទឹកហាំបុល	Humboldtströmmen
ខ្សែទឹកអូស្ត្រាលីខាងកើត	Östaustraliska strömmen
ជ័រទឹក	Kåda
ដុនបូស្កូ	Giovanni Bosco
ធ្នូរង្វង់	Cirkelbåge
អប្សរា	Apsaraser
ស្រុក	Distrikt
រាជវង្សចោឡា	Chola
ខ្លារខិន ២ (រថក្រោះ)	Leopard 2
មហាអំណាច កណ្ដាល	Centralmakterna
អិចសា	Exa
ហិកតូ	Hekto
ដេកា	Deka
រ៉ូបឺតកាប៉ា	Robert Capa
មីល្លី	Milli
មីក្រូ	Mikro
ពីកូ	Piko
ណាណូ	Nano
លីប៉ូល ស៊ីដាស៊ាងហ័រ	Léopold Senghor
ទន្ដគោម	Agavesläktet
ប្រវតិ្តBoney M	Boney M.
វីមេអូ	Vimeo
អំពើអនិត្យានុកូល	Våld i nära relationer
ហង់រី ការចេរ ប្រេស្សុង	Henri Cartier-Bresson
ត្រីកោណសម័ង្ស	Liksidig triangel
ម៉ាក់ណូលា	Magnoliasläktet
ចូសេហ្វ ហិនរី	Joseph Henry
មន ស	Vitt mullbär
ពិធីបញ្ជាប់ពាក្យ	Förlovning
សមុទ្រហ្វីលីពីន	Filippinska sjön
ប្រព័ន្ធកូអ័រដោណេភូមិសាស្ត្រ	Geopolitik
តេត្រាអែត	Tetraeder
ម៉ោងផែនដី	Earth Hour
នរោត្ដម សីហនុ	Norodom Sihanouk
ទន្លេរីយ៉ូហ្គ្រែនដេ	Rio Grande
សំព័រ	Jackfruktsläktet
កម្មវិធីអភិវឌ្ឍន៍សហប្រជាជាតិ	FN:s utvecklingsprogram
ម៉ាស៊ីនថត លេកា	Leica
មេគុណជីនី	Ginikoefficient
នីត្រូគ្លីសេរីន	Nitroglycerin
វណ្ណយុត្តិ	Diakritiskt tecken
ទង់ជាតិកម្ពុជា	Kambodjas flagga
ក្រុងអង្គរ	Angkor
ក្រពេញទីមុស	Bräss
ទ្រឹស្តីបទកូស៊ីនុស	Cosinussatsen
ទក្សិណ ជិនវ័ត្រ	Thaksin Shinawatra
ប្រធាន	Subjekt (satsdel)
អ៊ែង​ហ្គ្រី បឺដ	Angry Birds
អ៊ីពែបូល	Hyperbel
វិសមភាពស្វ័យគុណ	Olikhet
ប៊ិច	Penna
ចេក​	Kokbanan
XHTML	XHTML
ចម្ប៉ាក្រហម	Magnolia champaca
គ្រោះទុរ្ភិក្ស	Hungersnöd
អរិយសច្ច៤	De fyra ädla sanningarna
ស្តាទិច	Statik
ខេត្តណាហ្គាសាគី	Nagasaki prefektur
វិគីភីឌាភាសាស្វីស	Svenskspråkiga Wikipedia
ភ្លើងឆេះព្រៃ	Skogsbrand
ទ្រឹស្តីបទស៊ីនុស	Sinussatsen
ច្បាប់ហ៊ូក	Hookes lag
ក្រុមបាល់ទាត់ជម្រើសជាតិ ជប៉ុន	Japans herrlandslag i fotboll
រោគឈឺចាប់ក្នុងសន្លាក់ឆ្អឹង	Ledinflammation
ប្លុកហ្គឺ (Blogger)	Blogger
ធម្មនុញ្ញនៃអង្គការសហប្រជាជាតិ	FN-stadgan
Boeing AH-64 Apache	Boeing AH-64 Apache
រោគហើមសួត	Bronkit
អេមីល្យូ ហ្គីណូ សេហ្គ្រែ	Emilio Segrè
Sukhoi Su-27	Suchoj Su-27
ម៉ាស៊ីនត្រជាក់	Luftkonditionering
កាំ	Radie
អភិសិទ្ធិ វេជ្ជាជីវៈ	Abhisit Vejjajiva
លីមីត	Gränsvärde
អ៊ីដ្រូស្តាទិច	Hydrostatik
វិគីភីឌាភាសាជប៉ុន	Japanskspråkiga Wikipedia
គោលនយោបាយរូបិយវត្ថុ	Penningpolitik
យានដឹកជញ្ជូនសាធារណៈ	Kollektivtrafik
ការសំភាសន៏	Intervju
ពាណិជ្ជកម្មអន្តរជាតិ	Internationell handel
ចក្រភពអាណានិគមបារាំង	Franska kolonialimperiet
ពន្ធលើប្រាក់ចំណូល	Inkomstskatt
រូបចំលាក់	Staty
នាឡិកាខ្សាច់	Timglas
ពុយមីស	Pimpsten
FM	Frekvensmodulering
សង្គមស៊ីវិល	Civilsamhället
សមុទ្របូហៃ	Bohai
ការិយាល័យ	Kontor
ការបង្រៀនដែនដីបរិសុទ្ធ	E-lärande
ម៉ែត្រក្នុងមួយវិនាទី	Meter per sekund
រូបមន្តហេរុង	Herons formel
ទន្សោង	Banteng
វីតាមីន B	B-vitamin
គណៈកម្មាធិការជាតិអូឡាំពិក	Nationell olympisk kommitté
ប៉មតូក្យូ	Tokyo Tower
ទិវាទឹកអន្តរជាតិ	Internationella vattendagen
រូបមន្តអយល័រ	Eulers formel
ស៊ីយ៉ាញួរ	Cyanider
អរិយដ្ឋង្គិកមគ្គ	Den ädla åttafaldiga vägen
សហភាពឥណ្ឌូចិន	Franska Indokina
ចន្ទគតិ	Månkalender
សំទុះមុំ	Vinkelacceleration
គោលនយោបាយសារពើពន្ធ	Finanspolitik
ឡាហ្គូន	Lagun
Mathew Brady	Mathew Brady
អប់សិន (ហិរញ្ញវត្ថុ)	Option
អង្កត់ធ្នូ	Korda
អាយុសង្ឃឹម	Medellivslängd
ជំនួយ:Using colours	Wikipedia:Färger
ខុទ្ទកាល័យ	Styrelse
សីដក់	Sepak takraw
បញ្ជីរដ្ឋមានអាវុធនុយក្លេអ៊ែរ	Lista över kärnvapenmakter
ទីផ្សារអ៊ីធើណែត	Internetmarknadsföring
សៀវភៅ	Djungelboken
បារីអេឡិចត្រូនិច	Elektronisk cigarett
Eagles (ក្រុមភ្លេង)	Eagles
កំណើនសេដ្ឋកិច្ច	Ekonomisk tillväxt
អាឌាម លេមបឺត	Adam Lambert
រូបមន្តដឺម័រ	De Moivres formel
អនុគមន៍ហ្គាំម៉ា	Gammafunktionen
ច្បាប់ប៉ាស្កាល់	Pascals princip
សញ្ញាជាតិបង់ក្លាដែស្ស	Bangladeshs statsvapen
នាង​សីតា	Sita
សូរ (​ភាសាសាស្ត្រ​)	Ordton
ខ្មែរក្រហម	Röda khmererna
ម៉ូឌុល​យ៉ាំង	Elasticitetsmodul
យុន ជីមិ-ហូ	Yun Chi-ho
កែវម៉ាស៊ីនថត	Objektiv
ទីភ្នាក់ងារសារព័ត៌មាន	Nyhetsbyrå
វិគីភីឌាភាសាស្លូវ៉ាគី	Slovakiskspråkiga Wikipedia
ថេរហ្វារ៉ាដេយ	Faradays konstant
ប្រវត្តិអ៊ីនធើណេត	Internets historia
សមភាពគួរកត់សំគាល់	Binom
ខូប្រា	Kopra
អត្ថបទ(ប្រើបា្រស់ភាសា)	Kontext
ជូគ័រលាង	Zhuge Liang
បំលែងឡាប្លាស	Laplacetransform
សញ្ញាជាតិតួរគី	Turkiets statsvapen
បឹងទន្លេសាប	Tonlé Sap
Dassault Mirage 2000	Dassault Mirage 2000
ចំនួនអវិជ្ជមាន	Negativa tal
សញ្ញាជាតិវៀតណាម	Vietnams statsvapen
ខ្មែរ (ជនជាតិ)	Khmerer
សញ្ញាជាតិកូរ៉េខាងត្បូង	Sydkoreas statsvapen
សញ្ញាជាតិឡាវ	Laos statsvapen
សញ្ញាជាតិប៉ាគីស្ថាន	Pakistans statsvapen
Tigranes the Great	Tigran II
អាណាចក្រខ្មែរ	Khmerriket
ត្រីពណ៌	Trikolor
សញ្ញាជាតិប៊្រុយណេ	Bruneis statsvapen
រង្វង់ត្រីកោណមាត្រ	Enhetscirkel
ចំរៀករង្វង់	Cirkelsektor
អនុគមន៍ដឺក្រេទី៣	Tredjegradsekvation
អនុគមន៍អ៊ីពែបូលីក	Hyperbolisk funktion
ឆាវ ឆាវ	Cao Cao
Sukhoi Su-30	Suchoj Su-30
កម្មវិធីស្បៀងអាហារពិភពលោក	Världslivsmedelsprogrammet
រៀល	Riel
សមុទ្រស្ទើរបិទ	Randhav
ច្រកសិង្ហបុរី	Singaporesundet
វិគីភីឌាភាសារុស្ស៊ី	Ryskspråkiga Wikipedia
សញ្ញាជាតិអូម៉ង់	Omans statsvapen
ភាសាកម្មវិធី Lua	Lua
ភ្លេងជាតិថៃ	Phleng Chat
ព្រះរតនត្រ័យ	De tre juvelerna
អាហារនៅប្រទេសម៉ិចស៊ិក	Mexikanska köket
ច្រកឡាប៉េរូស	La Pérousesundet
ផ្សារហិរញ្ញវត្ថុ	Finansmarknad
ព្រះឆាយាល័ក្ខកម្ពុជា	Kambodjas statsvapen
ទិវាអង្គការសហប្រជាជាតិ	FN-dagen
ខ្សែទឹកអាត្លង់ទិកខាងជើង	Nordatlantiska driften
ប្រវត្តិសាស្ត្រវៀតណាម	Vietnams historia
ខ្សែទឹកខាណារី	Kanarieströmmen
LinkedIn	Linkedin
បុណ្យវិសាខបូជា	Vesak
ទីក្រុងព្រែកឫស្សី	Can Tho
ជនជាតិចាម	Champa
រីស្ស៉ាត កាពុសស៊ីនស្គី	Ryszard Kapuściński
ប្រវត្តិសាស្ត្រភូមា	Burmas historia
ស៊ាន ឃីងស្តន	Sean Kingston
កងទ័ពជើងទឹកបារាំង	Frankrikes flotta
ចំប៉ី	Frangipanisläktet
អនុគមន៍បេសែ្សល	Besselfunktion
លោក អាប់ឌូ ឌីអោហ្វ	Abdou Diouf
វិធីហ្វៃណៃថ៍អ៊េលម៉ិន	Finita elementmetoden
ខេត្តព្រះសីហនុ	Sihanoukville
មានប្រ	Anggun
ដុនបូស្កូសាឡេស៊ាន្ត	Salesianer
ខ្នាតគោលនៅក្នុងប្រព័ន្ធខ្នាតអន្តរជាតិ	SI-enhet
អង្គរធំ	Angkor Thom
១៤១	141 (tal)
ព្រះបាទសុទ្ធោទន	Suddhodhana
វិទ្យុសម្លេងសហរដ្ឋអាមេរិក	Voice of America
ជេឃ្វីរី	Jquery
គម្ពីរបញ្ចតន្ត្រ	Panchatantra
ផ្លាយ អាស់	Flygaska
T-80	T-80
សញ្ញាជាតិកាតារ	Qatars statsvapen
មីហ៊្គោ	Meego
វិភាគចិត្តវិទ្យា	Analytisk psykologi
លីវ ប៉ី	Liu Bei
សង្គ្រាមគ្រីមៀ	Krimkriget
ក្ងោកបៃតង	Grön påfågel
នាវាចរណ៏	Navigatör
Pinterest	Pinterest
ទ្រឹស្តីបទទ្វេធាអាបែល	Abels binomialsats
អៀង ធីរិទ្ធ	Ieng Thirith
ភ្នំសេមេរូ	Semeru
កោះសមុយ	Koh Samui
អាំងតេក្រាលដោយផ្នែក	Partialintegration
ផ្សោតក្បាលត្រឡោក	Irrawadidelfin
Near Field Communication	Närfältskommunikation
កប៉ាល់ ជួង	Skeppsklocka
សាលាសំណាក់	Paviljong
ខ្សែទឹកកាលីហ្វរនៀ	Californiaströmmen
១៤៨	148 (tal)
AIDC F-CK-1 Ching-kuo	AIDC F-CK-1 Ching-Kuo
ប្រមោញ	Atherurus macrourus
ខេត្តសាឡៈវ៉ាន់	Saravane (provins)
WikiHow	Wikihow
ទិន្នន័យបើកចំហ	Öppna data
ទិន ហ្វី	Stephen Chow
ចម្ប៉ាខែក	Magnolia figo
ហាំង ង៉ោ	Haing S. Ngor
ព្រះបាទសូរ្យវរ្ម័នទី២	Suryavarman II
ហ្គោស ចុកតុង	Goh Chok Tong
ហិនរី វីលសុន	Henry Wilson
ហុងដា សូអ៊ិជិរ៉ូ	Soichiro Honda
ស៊ុន ឈាន	Sun Quan
ឆាវ ភី	Cao Pi
សមុទ្រកូរ៉ូ	Korohavet
ពិម្ពិសារ	Bimbisara
ដូមីនិក សាវីយ៉ូ	Domenico Savio
ក្រុមបាល់ទាត់ជម្រើសជាតិកម្ពុជា	Kambodjas herrlandslag i fotboll
ទ្រឹស្តីបទគ្រីន	Greens sats
គោព្រៃ	Kouprey
VCD	Video CD
ថ្ងៃបាស់ស្ទីល	Frankrikes nationaldag
កម្ពុជាប្រជាធិបតេយ្យ	Demokratiska Kampuchea
សាលាក្ដីខ្មែរក្រហម	Internationella domstolen i Kambodja
ណាសសែរ អាល់ មូហាមមេដ អាល់ អាហ៍មេដ អាល់ អាបាហ៍	Nasser al-Mohammed al-Ahmed al-Sabah
ខេត្តផុងសាលី	Phongsali (provins)
ខេត្តបកែវ	Bokeo (provins)
ខេត្តចំប៉ាសក្តិ	Champasack
កិលេស	Passion
កាំង ហ្កិច អ៊ាវ	Khang Khek Ieu
ចំនុចហ្គែរហ្គោន	Inskriven cirkel
ឋានន្តរសក្ដិរាជវង្សនិងអភិជន	Adelstitlar
ក្រុមហ៊ុនអាកាសចរណ៍ជាតិ កម្ពុជាអង្គរអ៊ែរ	Cambodia Angkor Air
វិសមភាពនេស្ប៉ីត	Nesbitts olikhet
ទ្រឹស្តីបទមេអំបៅ	Fjärilssatsen
កន្ថឹក	Tupaia belangeri
ហេង សំរិន	Heng Samrin
ខៀវ សំផន	Khieu Samphan
ជេកខប រីស	Jacob Riis
នួន ជា	Nuon Chea
អៀង សារី	Ieng Sary
ជយវម៌្មទី៣	Jayavarman II
ប្រវត្តិសាស្ត្រថៃ	Thailands historia
បុណ្យសែនព្រះខែ	Månfestivalen
គុណកិរិយា	Adverb
ឌីណាមិក HTML	DHTML
នូហាក់ ភូមសៈវ៉ាន់	Nouhak Phoumsavanh
កុំផ្លិចឆ្លាស់	Komplexkonjugat
ការកើនឡើងនៃចំនួនប្រជាជននៅលើពិភពលោក	Befolkningstillväxt
ប្រវត្តិសាស្ត្រលាវ	Laos historia
បន្ទាត់សេកង់	Sekant
ពហុកោណស្មើ	Liksidig
សម្ដេចប៉ាបហ្វ្រង់សូ័រ	Franciskus (påve)
គុណវិបត្តិនៃការជក់បារី	Rökningens effekter
ខ្វែងជ័យបុរី	Sainyabuli (provins)
ខ្វែងជើងខ្វែង	Xieng Khouang
ខេត្តឧត្តមជ័យ	Udomxai (provins)
ខេត្តកោះកុង	Koh Kong (provins)
ខេត្តកណ្ដាល	Kandal
ព្រះនាងយសោធរា	Yasodhara
អនុគមន៍បែតា	Betafunktionen
ទ្រឹស្តីបទតង់សង់	Tangenssatsen
លិង្គ	Lingam
ឌិត ប្រន	Dith Pran
មធ្យមនព្វន្ធ-ធរណីមាត្រ	Aritmetisk-geometriskt medelvärde
កូម៌ៈ	Kurma
អាកាសយានដ្ឋានអន្តរជាតិតានសូនណាត្ត	Tan Son Nhat internationella flygplats
ឧបទ្វីបកូរ៉េ	Koreahalvön
វីគីប្រជុំ	Wikimania
អាស៊ីហ្គេម	Asiatiska spelen
ទង់ជាតិសិង្ហបុរី	Singapores flagga
បង្អួចឆ្នាំ 2000	Windows 2000
សមីការដឺក្រេទី១	Linjär ekvation
សញ្ញាជាតិអាហ្វហ្គានីស្ថាន	Afghanistans statsvapen
E-commerce	E-handel
Sukhoi Superjet 100	Suchoj Superjet 100
អ្នក​មាន​ជាង​គេ​លើ​ពិភពលោក	Lista över världens rikaste personer
ឆកសមុទ្របូហៃ	Bohaibukten
T-ARA	T-ara
អាណាស្រុកម៉ូបាល (អាល់ឡាបាម៉ា)	Mobile County
ម្កាក់	Spondias dulcis
បារខែម	Barcamp
ដើមត្នោត	Palmyrapalm
ខេត្តកំពង់ធំ	Kompong Thom (provins)
ខេត្តព្រះវិហារ	Preah Vihear
ខេត្ត ហួ ផាន់	Hua Phan (provins)
ខ្វែងអាចម៍ក្រពើ	Attapeu (provins)
ខេត្តខាំមួន	Khammuan (provins)
ខេត្តប៉ៃលិន	Pailin
ឆាយាលក្សសារព័ត៌មាន	Bildjournalistik
រូបមន្តប្រេឆ្នៃដឺ	Bretschneiders formel
ក្រុមបាល់ទាត់ជម្រើសជាតិ កូរ៉េខាងត្បូង	Sydkoreas herrlandslag i fotboll
ប្រមា	Kortsvansat piggsvin
អេដូអារដូ អាម៉ាល់ឌី	Edoardo Amaldi
Chengdu J-20	Chengdu Jian-20
វេយ្យាករណ៍អង់គ្លេស	Engelsk grammatik
ស៊ីឡាត	Pencak silat
អាំងតេក្រាលហ្វ្រេនែល	Fresnels integraler
គោលនយោបាយសេដ្ឋកិច្ច	Ekonomisk politik
ទិវាសេរីភាពសារព័ត៌មានពិភពលោក	Världsdagen för pressfrihet
អាំងតេក្រាលផ្ទៃ	Ytintegral
បជាបតិគោតមី	Prajapati (buddhism)
ខេត្តហ៊ីរ៉ូស៊ីម៉ា	Hiroshima prefektur
បន្ទប់រៀន	Klassrum
ជំរំជនភៀសខ្លួន	Flyktingläger
ហ្គូតហ្គោល	Google Sites
ប្រភេទស្រាទំពាំងបាយជូរពីប្រទេសបារាំង	Franska viner
បទនគររាជ	Nokoreach
នគររាជសីមា	Nakhon Ratchasima
សង្គ្រាមកម្ពុជា-វៀតណាម	Kambodjansk-vietnamesiska kriget
១៥០	150 (tal)
ទ្រឹស្តីបទពីក	Picks sats
ខេត្តសៀមរាប	Siem Reap (provins)
ខេត្តកំពង់ស្ពឺ	Kampong Spoe (provins)
ប្រាសាទបាយ័ន	Bayon
អុនសេន	Onsen
ឧត្តមស្នងការអង្គការសហប្រជាជាតិទទួលបន្ទុកសិទ្ធិមនុស្ស	Kontoret för FN:s högkommissarie för mänskliga rättigheter
ត្រីតុកកែជ្រូក	Leopardabborre
ក្រុងហាកុណិ (ខេត្តកាណាហ្គាវ៉ា)	Hakone
ប្រវត្តិសាស្ត្រខ្មែរ	Kambodjas historia
ម៉ាជូ ពីជូ	Machu Picchu
គណនីធនាគារ	Bankkonto
ខ្សែទឹកប្រេស៊ីល	Brasilianska strömmen
ត្រកៀតប៉ោង	Vattenhyacint
ចតុកោណចារឹកក្នុងរង្វង់	Cyklisk fyrhörning
១៣៨	138 (tal)
គីឡូម៉ែត្រការ៉េ	Kvadratkilometer
ចេននី រីវឺរ៉ា	Jenni Rivera
១៤៤	144 (tal)
រលួស	Erythrina variegata
១៤០	140 (tal)
១៤៣	143 (tal)
១៤៧	147 (tal)
១៤៦	146 (tal)
១៤៩	149 (tal)
១៤២	142 (tal)
១៣៩	139 (tal)
១៤៥	145 (tal)
ប្រទេសមួយ ប្រព័ន្ធពីរ	Ett land, två system
ត្រកៀត	Vattenhyacintväxter
បណ្តាញផ្លូវហាយវេអាស៊ី	Asienväg
ច្រកចូហរ	Johorsundet
ព្រះសង្ឃ	Munk
នគរលូ	Lu (stat)
ត្រីរាជ	Mekongjättemal
Yeghishe Charents	Yeghishe Charents
ភាពលំអៀង	Metodfel
CAC/PAC JF-17 Thunder	CAC/PAC JF-17 Thunder
Gloomy Sunday	Gloomy Sunday
ខេត្តហ្លួងព្រះបាង	Louang Prabang (provins)
សង្គ្រាមឥណ្ឌូចិនលើកទី១	Indokinakriget
ខេត្តស្វាយរៀង	Svay Rieng (provins)
ISO 9362	ISO 9362
ប៉ាកាយ៉ា	Pacaya
ខ្លែងប្រម៉ង់	Rödbent pygméfalk
